Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AZN.L","ASTRAZENECA PLC","Health Care","Equity","281,370,319.61","9.88","281,370,319.61","1,910,440.00","147.28","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"SHEL.L","SHELL PLC","Energy","Equity","244,289,344.63","8.58","244,289,344.63","8,440,605.00","28.94","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"HSBA.L","HSBC HOLDINGS PLC","Financials","Equity","188,607,063.83","6.62","188,607,063.83","24,626,899.00","7.66","United Kingdom","London Stock Exchange","USD","0.80","GBP","Jan 01, 1998"
"ULVR.L","UNILEVER PLC","Consumer Staples","Equity","156,095,126.13","5.48","156,095,126.13","3,113,699.00","50.13","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"BP.L","BP PLC","Energy","Equity","129,326,042.79","4.54","129,326,042.79","21,829,275.00","5.92","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"DGE.L","DIAGEO PLC","Consumer Staples","Equity","115,868,105.39","4.07","115,868,105.39","2,779,295.00","41.69","United Kingdom","London Stock Exchange","USD","0.80","GBP","Jan 01, 1998"
"RIO.L","RIO TINTO PLC","Materials","Equity","89,178,204.13","3.13","89,178,204.13","1,387,677.00","64.26","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"GSK.L","GLAXOSMITHKLINE","Health Care","Equity","87,009,499.81","3.06","87,009,499.81","5,047,703.00","17.24","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"BATS.L","BRITISH AMERICAN TOBACCO PLC","Consumer Staples","Equity","84,723,526.31","2.98","84,723,526.31","2,618,333.00","32.36","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"REL.L","RELX PLC","Industrials","Equity","75,118,814.34","2.64","75,118,814.34","2,345,583.00","32.03","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"GLEN.L","GLENCORE PLC","Materials","Equity","71,979,454.95","2.53","71,979,454.95","13,157,308.00","5.47","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"RKT.L","RECKITT BENCKISER GROUP PLC","Consumer Staples","Equity","67,655,274.56","2.38","67,655,274.56","882,814.00","76.64","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"NG.L","NATIONAL GRID PLC","Utilities","Equity","59,659,609.18","2.10","59,659,609.18","4,532,983.00","13.16","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"CPG.L","COMPASS GROUP PLC","Consumer Discretionary","Equity","58,665,406.86","2.06","58,665,406.86","2,150,880.00","27.28","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"LSEG.L","LONDON STOCK EXCHANGE GROUP PLC","Financials","Equity","54,194,484.58","1.90","54,194,484.58","494,694.00","109.55","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"AAL.L","ANGLO AMERICAN PLC","Materials","Equity","48,288,875.18","1.70","48,288,875.18","1,566,366.00","30.83","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"PRU.L","PRUDENTIAL PLC","Financials","Equity","47,877,133.53","1.68","47,877,133.53","3,396,735.00","14.10","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"LLOY.L","LLOYDS BANKING GROUP PLC","Financials","Equity","46,406,631.16","1.63","46,406,631.16","81,674,655.00","0.57","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"BA.L","BAE SYSTEMS PLC","Industrials","Equity","44,290,732.65","1.56","44,290,732.65","3,763,854.00","11.77","United Kingdom","London Stock Exchange","USD","0.80","GBP","Jan 01, 1998"
