Name,Ticker,Weighting
"Coinbase Global, Inc. Class A",COIN,11.36%
Marathon Digital Holdings Inc,MARA,10.53%
"Riot Platforms, Inc.",RIOT,10.32%
"Block, Inc. Class A",SQ,10.14%
Applied Digital Corporation,APLD,5.37%
"Cleanspark, Inc.",CLSK,4.87%
Hut 8 Mining Corp.,HUT,4.65%
Bitfarms Ltd.,BITF,2.95%
StoneCo Ltd. Class A,STNE,2.69%
HIVE Blockchain Technologies Ltd,HIVE,2.65%
"Shopify, Inc. Class A",SHOP,2.53%
Galaxy Digital Holdings Ltd.,GLXY,2.43%
"Bakkt Holdings, Inc. Class A",BKKT,2.2%
"FLEETCOR Technologies, Inc.",FLT,1.9%
Flywire Corp.,FLYW,1.83%
Mastercard Incorporated Class A,MA,1.81%
Visa Inc. Class A,V,1.8%
Edenred SA,EDEN,1.77%
"Shift4 Payments, Inc. Class A",FOUR,1.65%
"Marqeta, Inc. Class A",MQ,1.63%
Cielo,CIEL3.SA,1.61%
WEX Inc.,WEX,1.55%
Global Payments Inc.,GPN,1.54%
Nexi S.p.A.,NEXI,1.54%
Worldline SA,WLN.PA,1.51%
"GMO Payment Gateway, Inc.",3769.T,1.35%
"Bread Financial Holdings, Inc.",BFH,1.3%
Nuvei Corp.,NVEI,1.17%
Green Dot Corporation Class A,GDOT,1.12%
DLocal Limited Class A,DLO,1.1%
Payoneer Global Inc.,PAYO,1.02%

