Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"9988","ALIBABA GROUP HOLDING LTD","Consumer Discretionary","Equity","464,919,357.22","9.05","464,919,357.22","44,276,300.00","10.50","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"700","TENCENT HOLDINGS LTD","Communication","Equity","457,595,756.48","8.91","457,595,756.48","10,835,500.00","42.23","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"3690","MEITUAN","Consumer Discretionary","Equity","438,006,936.01","8.53","438,006,936.01","28,202,720.00","15.53","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","319,314,955.67","6.22","319,314,955.67","492,961,320.00","0.65","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"1398","INDUSTRIAL AND COMMERCIAL BANK OF","Financials","Equity","239,416,295.55","4.66","239,416,295.55","439,726,995.00","0.54","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","232,406,918.03","4.53","232,406,918.03","34,883,500.00","6.66","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"9618","JD.COM CLASS A INC","Consumer Discretionary","Equity","225,048,587.51","4.38","225,048,587.51","12,482,000.00","18.03","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"9888","BAIDU CLASS A INC","Communication","Equity","210,733,942.40","4.10","210,733,942.40","12,732,600.00","16.55","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"9999","NETEASE INC","Communication","Equity","191,918,149.07","3.74","191,918,149.07","10,875,200.00","17.65","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"1211","BYD LTD H","Consumer Discretionary","Equity","184,841,665.02","3.60","184,841,665.02","5,752,500.00","32.13","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"3988","BANK OF CHINA LTD H","Financials","Equity","180,840,409.05","3.52","180,840,409.05","453,115,000.00","0.40","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"9987","YUM CHINA HOLDINGS INC","Consumer Discretionary","Equity","143,763,036.26","2.80","143,763,036.26","2,494,400.00","57.63","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"1810","XIAOMI CORP","Information Technology","Equity","120,758,829.72","2.35","120,758,829.72","87,206,000.00","1.38","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"2269","WUXI BIOLOGICS CAYMAN INC","Health Care","Equity","116,702,928.26","2.27","116,702,928.26","21,113,000.00","5.53","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"3968","CHINA MERCHANTS BANK LTD H","Financials","Equity","106,281,146.57","2.07","106,281,146.57","22,527,438.00","4.72","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"2015","LI AUTO CLASS A INC","Consumer Discretionary","Equity","95,987,300.05","1.87","95,987,300.05","6,242,000.00","15.38","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"386","CHINA PETROLEUM AND CHEMICAL CORP","Energy","Equity","95,164,556.94","1.85","95,164,556.94","147,496,600.00","0.65","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"857","PETROCHINA LTD H","Energy","Equity","87,149,131.34","1.70","87,149,131.34","124,042,000.00","0.70","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"1024","KUAISHOU TECHNOLOGY","Communication","Equity","83,591,816.44","1.63","83,591,816.44","11,665,000.00","7.17","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"2331","LI NING LTD","Consumer Discretionary","Equity","79,693,387.35","1.55","79,693,387.35","13,513,500.00","5.90","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"2020","ANTA SPORTS PRODUCTS LTD","Consumer Discretionary","Equity","79,155,198.25","1.54","79,155,198.25","7,456,800.00","10.62","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"2628","CHINA LIFE INSURANCE LTD H","Financials","Equity","76,034,570.39","1.48","76,034,570.39","44,302,000.00","1.72","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"1288","AGRICULTURAL BANK OF CHINA LTD H","Financials","Equity","70,070,066.50","1.36","70,070,066.50","183,176,000.00","0.38","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"1109","CHINA RESOURCES LAND LTD","Real Estate","Equity","68,858,792.40","1.34","68,858,792.40","16,389,333.00","4.20","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"1088","CHINA SHENHUA ENERGY LTD H","Energy","Equity","65,857,775.85","1.28","65,857,775.85","20,097,000.00","3.28","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"291","CHINA RESOURCES BEER HOLDINGS LTD","Consumer Staples","Equity","61,862,378.95","1.20","61,862,378.95","9,366,000.00","6.60","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"9633","NONGFU SPRING LTD H","Consumer Staples","Equity","56,195,484.89","1.09","56,195,484.89","10,382,000.00","5.41","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"688","CHINA OVERSEAS LAND INVESTMENT LTD","Real Estate","Equity","51,020,461.46","0.99","51,020,461.46","22,838,500.00","2.23","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"2899","ZIJIN MINING GROUP LTD H","Materials","Equity","49,649,463.50","0.97","49,649,463.50","34,156,000.00","1.45","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"6690","HAIER SMART HOME CLASS H LTD H","Consumer Discretionary","Equity","41,054,840.58","0.80","41,054,840.58","13,759,600.00","2.98","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"2601","CHINA PACIFIC INSURANCE (GROUP) LT","Financials","Equity","40,364,973.13","0.79","40,364,973.13","15,367,200.00","2.63","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"6618","JD HEALTH INTERNATIONAL INC","Consumer Staples","Equity","38,516,242.17","0.75","38,516,242.17","6,170,900.00","6.24","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"1658","POSTAL SAVINGS BANK OF CHINA LTD H","Financials","Equity","36,167,488.89","0.70","36,167,488.89","55,726,000.00","0.65","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"267","CITIC LTD","Industrials","Equity","35,619,575.27","0.69","35,619,575.27","29,190,000.00","1.22","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"998","CHINA CITIC BANK CORP LTD H","Financials","Equity","30,080,107.87","0.59","30,080,107.87","55,507,000.00","0.54","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"3328","BANK OF COMMUNICATIONS LTD H","Financials","Equity","28,545,260.41","0.56","28,545,260.41","43,385,200.00","0.66","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"6030","CITIC SECURITIES COMPANY LTD H","Financials","Equity","24,841,791.51","0.48","24,841,791.51","13,380,700.00","1.86","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"1339","THE PEOPLES INSURANCE CO (GROUP)","Financials","Equity","18,650,183.93","0.36","18,650,183.93","48,755,000.00","0.38","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"914","ANHUI CONCH CEMENT LTD H","Materials","Equity","18,473,264.44","0.36","18,473,264.44","7,050,000.00","2.62","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"2202","CHINA VANKE LTD H","Real Estate","Equity","18,457,019.72","0.36","18,457,019.72","13,159,100.00","1.40","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"HKD","HKD CASH","Cash and/or Derivatives","Cash","18,362,731.45","0.36","18,362,731.45","144,010,640.00","12.75","Hong Kong","-","USD","7.84","HKD","-"
"1919","COSCO SHIPPING HOLDINGS LTD H","Industrials","Equity","17,536,096.04","0.34","17,536,096.04","19,370,100.00","0.91","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"2359","WUXI APPTEC LTD H","Health Care","Equity","16,503,008.21","0.32","16,503,008.21","1,998,852.00","8.26","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"2333","GREAT WALL MOTOR LTD H","Consumer Discretionary","Equity","16,178,125.74","0.32","16,178,125.74","14,962,000.00","1.08","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"390","CHINA RAILWAY GROUP LTD H","Industrials","Equity","15,974,352.73","0.31","15,974,352.73","24,046,000.00","0.66","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"3908","CHINA INTERNATIONAL CAPITAL CORP L","Financials","Equity","15,798,942.95","0.31","15,798,942.95","8,800,000.00","1.80","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"1988","CHINA MINSHENG BANKING CORP LTD H","Financials","Equity","15,249,335.48","0.30","15,249,335.48","37,846,100.00","0.40","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"1772","GANFENG LITHIUM LTD H","Materials","Equity","14,898,041.33","0.29","14,898,041.33","2,190,040.00","6.80","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"1880","CHINA TOURISM GROUP DUTY FREE CLAS","Consumer Discretionary","Equity","6,219,128.98","0.12","6,219,128.98","410,900.00","15.14","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"6818","CHINA EVERBRIGHT BANK LTD H","Financials","Equity","5,803,112.51","0.11","5,803,112.51","18,576,000.00","0.31","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"6066","CSC FINANCIAL LTD H","Financials","Equity","5,555,692.98","0.11","5,555,692.98","5,320,000.00","1.04","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
