Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
SMCI,SUPER MICRO COMPUTER INC,Information Technology,Equity,"235,334,828.34",0.45,"235,334,828.34","1,052,199.00",223.66,United States,NASDAQ,USD,1,USD,-
SWAV,SHOCKWAVE MEDICAL INC,Health Care,Equity,"232,049,954.78",0.45,"232,049,954.78","798,218.00",290.71,United States,NASDAQ,USD,1,USD,-
INSP,INSPIRE MEDICAL SYSTEMS INC,Health Care,Equity,"197,865,439.28",0.38,"197,865,439.28","641,192.00",308.59,United States,New York Stock Exchange Inc.,USD,1,USD,-
APLS,APELLIS PHARMACEUTICALS INC,Health Care,Equity,"188,796,045.60",0.36,"188,796,045.60","2,102,640.00",89.79,United States,NASDAQ,USD,1,USD,-
EME,EMCOR GROUP INC,Industrials,Equity,"180,408,394.24",0.35,"180,408,394.24","1,059,232.00",170.32,United States,New York Stock Exchange Inc.,USD,1,USD,-
CELH,CELSIUS HOLDINGS INC,Consumer Staples,Equity,"179,293,967.04",0.35,"179,293,967.04","1,245,616.00",143.94,United States,NASDAQ,USD,1,USD,-
SAIA,SAIA INC,Industrials,Equity,"176,056,064.31",0.34,"176,056,064.31","595,609.00",295.59,United States,NASDAQ,USD,1,USD,-
IRDM,IRIDIUM COMMUNICATIONS INC,Communication,Equity,"172,251,402.24",0.33,"172,251,402.24","2,803,571.00",61.44,United States,NASDAQ,USD,1,USD,-
KRTX,KARUNA THERAPEUTICS INC,Health Care,Equity,"170,236,984.92",0.33,"170,236,984.92","726,639.00",234.28,United States,NASDAQ,USD,1,USD,-
TXRH,TEXAS ROADHOUSE INC,Consumer Discretionary,Equity,"167,025,108.76",0.32,"167,025,108.76","1,503,647.00",111.08,United States,NASDAQ,USD,1,USD,-
KNSL,KINSALE CAPITAL GROUP INC,Financials,Equity,"167,019,057.22",0.32,"167,019,057.22","485,323.00",344.14,United States,New York Stock Exchange Inc.,USD,1,USD,-
RXDX,PROMETHEUS BIOSCIENCES INC,Health Care,Equity,"155,075,132.80",0.3,"155,075,132.80","780,056.00",198.8,United States,NASDAQ,USD,1,USD,-
RMBS,RAMBUS INC,Information Technology,Equity,"151,523,925.84",0.29,"151,523,925.84","2,396,772.00",63.22,United States,NASDAQ,USD,1,USD,-
CROX,CROCS INC,Consumer Discretionary,Equity,"149,198,351.64",0.29,"149,198,351.64","1,360,554.00",109.66,United States,NASDAQ,USD,1,USD,-
STAG,STAG INDUSTRIAL REIT INC,Real Estate,Equity,"142,810,040.80",0.28,"142,810,040.80","4,039,888.00",35.35,United States,New York Stock Exchange Inc.,USD,1,USD,-
USD,USD CASH,Cash and/or Derivatives,Cash,"137,286,572.80",0.27,"137,286,572.80","137,286,573.00",100,United States,-,USD,1,USD,-
WING,WINGSTOP INC,Consumer Discretionary,Equity,"136,946,694.01",0.26,"136,946,694.01","672,329.00",203.69,United States,NASDAQ,USD,1,USD,-
CHRD,CHORD ENERGY CORP,Energy,Equity,"136,304,829.76",0.26,"136,304,829.76","931,744.00",146.29,United States,NASDAQ,USD,1,USD,-
LNTH,LANTHEUS HOLDINGS INC,Health Care,Equity,"134,224,311.60",0.26,"134,224,311.60","1,532,241.00",87.6,United States,NASDAQ,USD,1,USD,-
SPSC,SPS COMMERCE INC,Information Technology,Equity,"133,123,511.54",0.26,"133,123,511.54","813,266.00",163.69,United States,NASDAQ,USD,1,USD,-
LNW,LIGHT WONDER INC,Consumer Discretionary,Equity,"131,940,435.56",0.26,"131,940,435.56","2,118,164.00",62.29,United States,NASDAQ,USD,1,USD,-
RBC,RBC BEARINGS INC,Industrials,Equity,"131,896,443.96",0.25,"131,896,443.96","639,684.00",206.19,United States,New York Stock Exchange Inc.,USD,1,USD,-
NOVT,NOVANTA INC,Information Technology,Equity,"130,353,712.31",0.25,"130,353,712.31","796,637.00",163.63,United States,NASDAQ,USD,1,USD,-
ITCI,INTRA CELLULAR THERAPIES INC,Health Care,Equity,"129,864,565.74",0.25,"129,864,565.74","2,054,494.00",63.21,United States,NASDAQ,USD,1,USD,-
MUSA,MURPHY USA INC,Consumer Discretionary,Equity,"129,186,576.00",0.25,"129,186,576.00","451,575.00",286.08,United States,New York Stock Exchange Inc.,USD,1,USD,-
SIGI,SELECTIVE INSURANCE GROUP INC,Financials,Equity,"128,707,773.12",0.25,"128,707,773.12","1,338,336.00",96.17,United States,NASDAQ,USD,1,USD,-
ADC,AGREE REALTY REIT CORP,Real Estate,Equity,"128,061,101.52",0.25,"128,061,101.52","1,963,224.00",65.23,United States,New York Stock Exchange Inc.,USD,1,USD,-
MEDP,MEDPACE HOLDINGS INC,Health Care,Equity,"123,261,218.21",0.24,"123,261,218.21","569,257.00",216.53,United States,NASDAQ,USD,1,USD,-
CHX,CHAMPIONX CORP,Energy,Equity,"122,633,319.90",0.24,"122,633,319.90","4,492,063.00",27.3,United States,NASDAQ,USD,1,USD,-
MUR,MURPHY OIL CORP,Energy,Equity,"121,361,204.24",0.23,"121,361,204.24","3,305,944.00",36.71,United States,New York Stock Exchange Inc.,USD,1,USD,-
FIX,COMFORT SYSTEMS USA INC,Industrials,Equity,"121,067,016.12",0.23,"121,067,016.12","795,029.00",152.28,United States,New York Stock Exchange Inc.,USD,1,USD,-
