Name,Ticker,Weighting
"United Parcel Service, Inc. Class B",UPS,17.18%
Union Pacific Corporation,UNP,16.92%
"Uber Technologies, Inc.",UBER,10.67%
CSX Corporation,CSX,4.89%
FedEx Corporation,FDX,4.87%
Norfolk Southern Corporation,NSC,4.58%
"Delta Air Lines, Inc.",DAL,4.32%
"Old Dominion Freight Line, Inc.",ODFL,4.1%
"Expeditors International of Washington, Inc.",EXPD,3.27%
Southwest Airlines Co.,LUV,3.22%
"United Airlines Holdings, Inc.",UAL,2.84%
"J.B. Hunt Transport Services, Inc.",JBHT,2.56%
"C.H. Robinson Worldwide, Inc.",CHRW,1.9%
American Airlines Group Inc.,AAL,1.74%
Knight-Swift Transportation Holdings Inc. Class A,KNX,1.64%
"Saia, Inc.",SAIA,1.41%
GXO Logistics Inc,GXO,1.27%
"Landstar System, Inc.",LSTR,1.19%
"Alaska Air Group, Inc.",ALK,1.09%
"XPO, Inc.",XPO,1.0%
"Avis Budget Group, Inc.",CAR,0.84%
Kirby Corporation,KEX,0.81%
"Ryder System, Inc.",R,0.74%
"Lyft, Inc. Class A",LYFT,0.58%
"Matson, Inc.",MATX,0.51%
Forward Air Corporation,FWRD,0.49%
Hertz Global Holdings Inc,HTZ,0.48%
"RXO, Inc.",RXO,0.47%
"Werner Enterprises, Inc.",WERN,0.47%
"Hub Group, Inc. Class A",HUBG,0.45%
JetBlue Airways Corporation,JBLU,0.42%
"Joby Aviation, Inc.",JOBY,0.38%
ArcBest Corporation,ARCB,0.37%
"Spirit Airlines, Inc.",SAVE,0.3%
"SkyWest, Inc",SKYW,0.3%
Allegiant Travel Company,ALGT,0.3%
"Marten Transport, Ltd.",MRTN,0.23%
"Air Transport Services Group, Inc.",ATSG,0.19%
"Schneider National, Inc. Class B",SNDR,0.18%
"Heartland Express, Inc.",HTLD,0.13%
"Sun Country Airlines Holdings, Inc.",SNCY,0.11%
U-Haul Holding Company,UHAL,0.1%
Genco Shipping & Trading Ltd,GNK,0.09%
"Hawaiian Holdings, Inc.",HA,0.08%
Eagle Bulk Shipping Inc,EGLE,0.07%
"Daseke, Inc.",DSKE,0.07%
"Frontier Group Holdings, Inc.",ULCC,0.06%
