"% Net Assets","Name","CUSIP","Country","Ticker","Shares Held","Market ($)"
"10.74%","DELTA AIR LINES INC DEL","247361702","","DAL","5,012,216.00","191,617,017.68"
"10.59%","SOUTHWEST AIRLS CO","844741108","","LUV","6,135,195.00","188,902,654.05"
"10.59%","UNITED AIRLS HLDGS INC","910047109","","UAL","3,822,640.00","188,800,189.60"
"10.52%","AMERICAN AIRLS GROUP INC","02376R102","","AAL","12,373,108.00","187,576,317.28"
"4.58%","AIR CANADA","BSDHYK1","","AC.TO","4,933,355.00","81,666,215.34"
"4.17%","ALASKA AIR GROUP INC","011659109","","ALK","1,538,716.00","74,412,305.76"
"3.83%","ALLEGIANT TRAVEL CO","01748X102","","ALGT","629,621.00","68,238,323.98"
"3.74%","JETBLUE AWYS CORP","477143101","","JBLU","8,994,065.00","66,735,962.30"
"3.37%","HAWAIIAN HOLDINGS INC","419879101","","HA","6,635,197.00","60,048,532.85"
"2.15%","BOOKING HOLDINGS INC","09857L108","","BKNG","14,486.00","38,303,591.48"
"2.13%","BOEING CO","097023105","","BA","178,993.00","37,933,986.49"
"2.11%","EXPEDIA GROUP INC","30212P303","","EXPE","345,189.00","37,656,668.01"
"1.94%","GENERAL DYNAMICS CORP","369550108","","GD","161,573.00","34,605,705.14"
"1.87%","TEXTRON INC","883203101","","TXT","507,116.00","33,302,307.72"
"1.82%","Bombardier Inc","BN33PL2","","BBD-B.TO","736,864.00","32,456,284.90"
"1.67%","TRIPADVISOR INC","896945201","","TRIP","1,796,808.00","29,719,204.32"
"1.22%","COPA HOLDINGS SA","P31076105","","CPA","195,005.00","21,830,809.75"
"1.18%","SABRE CORP","78573M104","","SABR","6,114,027.00","21,032,252.88"
"1.13%","RYANAIR HOLDINGS PLC","783513203","","RYAAY","189,360.00","20,178,201.60"
"1.13%","INTL CONS AIRLINE","B5M6XQ7","","IAG.MC","10,146,718.00","20,144,340.13"
"1.08%","AIRBUS GROUP SE","4012250","","AIRA.SG","142,846.00","19,317,676.76"
"1.08%","JAPAN AIRLINES CO","B8BRV46","","9201.T","987,844.00","19,281,362.30"
"1.04%","TURK HAVA YOLLARI","B03MYK0","","THYAO.IS","2,503,193.00","18,594,670.62"
"1.02%","QANTAS AIRWAYS","6710347","","QAN.AX","4,313,657.00","18,188,132.46"
"0.95%","TRIP.COM GROUP","89677Q107","","TCOM","495,230.00","16,981,436.70"
"0.90%","PEGASUS HAVE TASIM","B9J4ZK0","","PGSUS.IS","680,112.00","16,005,736.35"
"0.89%","DEUTSCHE LUFTHANSA","5287488","","LHA.DE","1,623,552.00","15,859,225.87"
"0.85%","AZUL S A","05501U106","","8AZA.SG","1,283,750.00","15,186,762.50"
"0.63%","SINGAPORE AIRLINES","6811734","","C6L.SI","2,183,479.00","11,150,024.32"
