Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,
3M CO W/D,MMM,88579Y101,2595708,1.879370,-,4203977.000,USD,,,,
INTL BUSINESS MACHINES CORP,IBM,459200101,2005973,1.859519,-,3081199.000,USD,,,,
NNN REIT INC,NNN,637417106,2211811,1.739039,-,8879588.000,USD,,,,
WALGREENS BOOTS ALLIANCE INC,WBA,931427108,BTN1Y44,1.737083,-,12113064.000,USD,,,,
ESSEX PROPERTY TRUST INC,ESS,297178105,2316619,1.642691,-,1600369.000,USD,,,,
REALTY INCOME CORP,O,756109104,2724193,1.628299,-,5965788.000,USD,,,,
LEGGETT + PLATT INC,LEG,524660107,2510682,1.590051,-,11014419.000,USD,,,,
T ROWE PRICE GROUP INC,TROW,74144T108,2702337,1.513489,-,2970578.000,USD,,,,
FRANKLIN RESOURCES INC,BEN,354613101,2350684,1.503387,-,12841615.000,USD,,,,
FEDERAL REALTY INVS TRUST,FRT,313745101,BN7P9B2,1.465267,-,3457414.000,USD,,,,
STANLEY BLACK + DECKER INC,SWK,854502101,B3Q2FJ4,1.423506,-,3819625.000,USD,,,,
AVISTA CORP,AVA,05379B107,2942605,1.401110,-,7468023.000,USD,,,,
AMCOR PLC,AMCR,G0250X107,BJ1F307,1.362468,-,29955991.000,USD,,,,
OLD REPUBLIC INTL CORP,ORI,680223104,2659109,1.357749,-,11955240.000,USD,,,,
BLACK HILLS CORP,BKH,092113109,2101741,1.332287,-,4659944.000,USD,,,,
SOUTHERN CO/THE,SO,842587107,2829601,1.289285,-,4086341.000,USD,,,,
CULLEN/FROST BANKERS INC,CFR,229899109,2239556,1.215930,-,2452673.000,USD,,,,
CHEVRON CORP,CVX,166764100,2838555,1.193439,-,1684294.000,USD,,,,
KIMBERLY CLARK CORP,KMB,494368103,2491839,1.178985,-,1911358.000,USD,,,,
UGI CORP,UGI,902681105,2910118,1.177159,-,9110060.000,USD,,,,
ONE GAS INC,OGS,68235P108,BJ0KXV4,1.158107,-,3128492.000,USD,,,,
MEDTRONIC PLC,MDT,G5960L103,BTN1Y11,1.151389,-,3028120.000,USD,,,,
SONOCO PRODUCTS CO,SON,835495102,2821395,1.141591,-,4001222.000,USD,,,,
CONSOLIDATED EDISON INC,ED,209115104,2216850,1.105873,-,2631139.000,USD,,,,
PROSPERITY BANCSHARES INC,PB,743606105,2310257,1.099344,-,4003777.000,USD,,,,
NATIONAL FUEL GAS CO,NFG,636180101,2626103,1.089450,-,4601088.000,USD,,,,
ABBVIE INC,ABBV,00287Y109,B92SR70,1.084020,-,1759867.000,USD,,,,
EVERSOURCE ENERGY,ES,30040W108,BVVN4Q8,1.072028,-,3367172.000,USD,,,,
EXXON MOBIL CORP,XOM,30231G102,2326618,1.062943,-,2201645.000,USD,,,,
INTL FLAVORS + FRAGRANCES,IFF,459506101,2464165,1.034615,-,2812863.000,USD,,,,
FLOWERS FOODS INC,FLO,343498101,2744243,1.022215,-,9095503.000,USD,,,,
CLOROX COMPANY,CLX,189054109,2204026,1.001719,-,1388849.000,USD,,,,
JOHNSON + JOHNSON,JNJ,478160104,2475833,0.992266,-,1379221.000,USD,,,,
HORMEL FOODS CORP,HRL,440452100,2437264,0.979350,-,5325881.000,USD,,,,
COCA COLA CO/THE,KO,191216100,2206657,0.977489,-,3563525.000,USD,,,,
CARDINAL HEALTH INC,CAH,14149Y108,2175672,0.967979,-,2523421.000,USD,,,,
NEW JERSEY RESOURCES CORP,NJR,646025106,2630513,0.952500,-,4231605.000,USD,,,,
AFLAC INC,AFL,001055102,2026361,0.934603,-,3036605.000,USD,,,,
NU SKIN ENTERPRISES INC   A,NUS,67018T105,2616870,0.931911,-,5916697.000,USD,,,,
ATMOS ENERGY CORP,ATO,049560105,2315359,0.920261,-,1756827.000,USD,,,,
CINCINNATI FINANCIAL CORP,CINF,172062101,2196888,0.895842,-,1947062.000,USD,,,,
FASTENAL CO,FAST,311900104,2332262,0.894254,-,3643733.000,USD,,,,
COLGATE PALMOLIVE CO,CL,194162103,2209106,0.879797,-,2559708.000,USD,,,,
JM SMUCKER CO/THE,SJM,832696405,2951452,0.877286,-,1319053.000,USD,,,,
POLARIS INC,PII,731068102,2692933,0.875931,-,1656663.000,USD,,,,
PEPSICO INC,PEP,713448108,2681511,0.864701,-,1047136.000,USD,,,,
ESSENTIAL UTILITIES INC,WTRG,29670G102,BLCF3J9,0.862480,-,4631896.000,USD,,,,
SYSCO CORP,SYY,871829107,2868165,0.856560,-,2584440.000,USD,,,,
LOCKHEED MARTIN CORP,LMT,539830109,2522096,0.844288,-,404749.000,USD,,,,
UNITED BANKSHARES INC,UBSI,909907107,2905794,0.817579,-,5495492.000,USD,,,,
AIR PRODUCTS + CHEMICALS INC,APD,009158106,2011602,0.817546,-,645423.000,USD,,,,
C.H. ROBINSON WORLDWIDE INC,CHRW,12541W209,2116228,0.806394,-,1940019.000,USD,,,,
EMERSON ELECTRIC CO,EMR,291011104,2313405,0.805508,-,2145668.000,USD,,,,
PROCTER + GAMBLE CO/THE,PG,742718109,2704407,0.796055,-,1211331.000,USD,,,,
AUTOMATIC DATA PROCESSING,ADP,053015103,2065308,0.791546,-,802961.000,USD,,,,
NEXTERA ENERGY INC,NEE,65339F101,2328915,0.788727,-,2363232.000,USD,,,,
ABM INDUSTRIES INC,ABM,000957100,2024901,0.785911,-,3562045.000,USD,,,,
GENERAL DYNAMICS CORP,GD,369550108,2365161,0.758564,-,791149.000,USD,,,,
CATERPILLAR INC,CAT,149123101,2180201,0.755384,-,732676.000,USD,,,,
TARGET CORP,TGT,87612E106,2259101,0.746897,-,1237506.000,USD,,,,
L3HARRIS TECHNOLOGIES INC,LHX,502431109,BK9DTN5,0.742693,-,884959.000,USD,,,,
MCDONALD S CORP,MCD,580135101,2550707,0.741342,-,572839.000,USD,,,,
ILLINOIS TOOL WORKS,ITW,452308109,2457552,0.730286,-,701218.000,USD,,,,
GENUINE PARTS CO,GPC,372460105,2367480,0.727001,-,1049525.000,USD,,,,
LOWE S COS INC,LOW,548661107,2536763,0.721517,-,765770.000,USD,,,,
ARCHER DANIELS MIDLAND CO,ADM,039483102,2047317,0.711120,-,2159840.000,USD,,,,
MDU RESOURCES GROUP INC,MDU,552690109,2547323,0.700340,-,7536987.000,USD,,,,
MCCORMICK + CO NON VTG SHRS,MKC,579780206,2550161,0.690329,-,1683635.000,USD,,,,
RPM INTERNATIONAL INC,RPM,749685103,2756174,0.678800,-,1804435.000,USD,,,,
SJW GROUP,SJW,784305104,2811932,0.661362,-,1947380.000,USD,,,,
ABBOTT LABORATORIES,ABT,002824100,2002305,0.647991,-,1388336.000,USD,,,,
PPG INDUSTRIES INC,PPG,693506107,2698470,0.637113,-,1006172.000,USD,,,,
AMERICAN STATES WATER CO,AWR,029899101,2267171,0.621759,-,1509368.000,USD,,,,
PENTAIR PLC,PNR,G7S00T104,BLS09M3,0.615479,-,2291662.000,USD,,,,
CALIFORNIA WATER SERVICE GRP,CWT,130788102,2165383,0.611566,-,2354031.000,USD,,,,
BANK OZK,OZK,06417N103,BZ56Q65,0.611541,-,3431773.000,USD,,,,
LINCOLN ELECTRIC HOLDINGS,LECO,533900106,2516851,0.607979,-,727832.000,USD,,,,
SMITH (A.O.) CORP,AOS,831865209,2816023,0.606078,-,1941371.000,USD,,,,
MICROCHIP TECHNOLOGY INC,MCHP,595017104,2592174,0.603621,-,1712459.000,USD,,,,
