Name,Ticker,Weighting
"Entegris, Inc.",ENTG,5.62%
"Axcelis Technologies, Inc.",ACLS,5.56%
"Onto Innovation, Inc.",ONTO,5.31%
"Advanced Micro Devices, Inc.",AMD,5.08%
"SCREEN Holdings Co., Ltd",7735,5.07%
KLA Corporation,KLAC,4.61%
"Applied Materials, Inc.",AMAT,4.61%
Lam Research Corporation,LRCX,4.49%
Coherent Corp.,COHR,4.42%
"Taiwan Semiconductor Manufacturing Co., Ltd. Sponsored ADR",TSM,4.36%
ASML Holding NV,ASML,4.36%
Intel Corporation,INTC,3.88%
Bruker Corporation,BRKR,3.69%
"Moderna, Inc.",MRNA,3.65%
"Agilent Technologies, Inc.",A,3.3%
CureVac N.V.,CVAC,3.18%
"Ultra Clean Holdings, Inc.",UCTT,2.35%
Veeco Instruments Inc.,VECO,1.88%
"Lightwave Logic, Inc.",LWLG,1.4%
"nLIGHT, Inc.",LASR,0.97%
"Novavax, Inc.",NVAX,0.95%
SkyWater Technology Inc,SKYT,0.62%
