Name,Ticker,Weighting
Berkshire Hathaway Inc. Class B,BRK-B,3.5%
Exxon Mobil Corporation,XOM,2.85%
UnitedHealth Group Incorporated,UNH,2.72%
Johnson & Johnson,JNJ,2.52%
JPMorgan Chase & Co.,JPM,2.4%
Procter & Gamble Company,PG,2.18%
"Merck & Co., Inc.",MRK,1.73%
Chevron Corporation,CVX,1.71%
"AbbVie, Inc.",ABBV,1.58%
Meta Platforms Inc. Class A,META,1.58%
"PepsiCo, Inc.",PEP,1.55%
Broadcom Inc.,AVGO,1.54%
Coca-Cola Company,KO,1.48%
Pfizer Inc.,PFE,1.29%
Walmart Inc.,WMT,1.2%
Bank of America Corp,BAC,1.18%
Abbott Laboratories,ABT,1.13%
"Cisco Systems, Inc.",CSCO,1.03%
Comcast Corporation Class A,CMCSA,1.03%
"NextEra Energy, Inc.",NEE,0.92%
Philip Morris International Inc.,PM,0.92%
Wells Fargo & Company,WFC,0.89%
Verizon Communications Inc.,VZ,0.87%
Raytheon Technologies Corporation,RTX,0.87%
Oracle Corporation,ORCL,0.83%
Bristol-Myers Squibb Company,BMY,0.83%
Honeywell International Inc.,HON,0.79%
Amgen Inc.,AMGN,0.76%
Intel Corporation,INTC,0.76%
ConocoPhillips,COP,0.74%
Medtronic Plc,MDT,0.72%
AT&T Inc.,T,0.72%
Lockheed Martin Corporation,LMT,0.7%
"Prologis, Inc.",PLD,0.68%
International Business Machines Corporation,IBM,0.68%
Morgan Stanley,MS,0.67%
Caterpillar Inc.,CAT,0.67%
"Elevance Health, Inc.",ELV,0.66%
General Electric Company,GE,0.64%
"Mondelez International, Inc. Class A",MDLZ,0.62%
"Goldman Sachs Group, Inc.",GS,0.62%
"Gilead Sciences, Inc.",GILD,0.61%
Deere & Company,DE,0.6%
CVS Health Corporation,CVS,0.56%
"Analog Devices, Inc.",ADI,0.54%
"BlackRock, Inc.",BLK,0.54%
American Express Company,AXP,0.53%
"Marsh & McLennan Companies, Inc.",MMC,0.53%
Citigroup Inc.,C,0.51%
"Altria Group, Inc.",MO,0.5%
Chubb Limited,CB,0.49%
Charles Schwab Corp,SCHW,0.48%
Progressive Corporation,PGR,0.47%
Southern Company,SO,0.47%
Danaher Corporation,DHR,0.46%
Duke Energy Corporation,DUK,0.45%
Cigna Group,CI,0.44%
"Becton, Dickinson and Company",BDX,0.44%
Target Corporation,TGT,0.43%
"Micron Technology, Inc.",MU,0.41%
"EOG Resources, Inc.",EOG,0.41%
"Waste Management, Inc.",WM,0.4%
"Air Products and Chemicals, Inc.",APD,0.39%
CME Group Inc. Class A,CME,0.39%
Humana Inc.,HUM,0.39%
Illinois Tool Works Inc.,ITW,0.39%
Eaton Corp. Plc,ETN,0.39%
QUALCOMM Incorporated,QCOM,0.38%
"United Parcel Service, Inc. Class B",UPS,0.38%
Northrop Grumman Corp.,NOC,0.38%
CSX Corporation,CSX,0.37%
"Intercontinental Exchange, Inc.",ICE,0.36%
3M Company,MMM,0.35%
Union Pacific Corporation,UNP,0.35%
HCA Healthcare Inc,HCA,0.35%
"Freeport-McMoRan, Inc.",FCX,0.32%
Marathon Petroleum Corporation,MPC,0.32%
General Dynamics Corporation,GD,0.32%
FedEx Corporation,FDX,0.31%
"PNC Financial Services Group, Inc.",PNC,0.31%
"General Mills, Inc.",GIS,0.31%
U.S. Bancorp,USB,0.31%
Kimberly-Clark Corporation,KMB,0.29%
McKesson Corporation,MCK,0.29%
Sempra Energy,SRE,0.29%
"American Electric Power Company, Inc.",AEP,0.28%
Emerson Electric Co.,EMR,0.28%
Dominion Energy Inc,D,0.28%
Norfolk Southern Corporation,NSC,0.27%
Phillips 66,PSX,0.27%
Ford Motor Company,F,0.27%
Arthur J. Gallagher & Co.,AJG,0.26%
Truist Financial Corporation,TFC,0.26%
Biogen Inc.,BIIB,0.26%
Corteva Inc,CTVA,0.26%
General Motors Company,GM,0.26%
Trane Technologies plc,TT,0.25%
"Travelers Companies, Inc.",TRV,0.25%
Valero Energy Corporation,VLO,0.25%
Archer-Daniels-Midland Company,ADM,0.25%
Exelon Corporation,EXC,0.25%
Parker-Hannifin Corporation,PH,0.25%
"Regeneron Pharmaceuticals, Inc.",REGN,0.24%
Johnson Controls International plc,JCI,0.24%
"Dow, Inc.",DOW,0.23%
PACCAR Inc,PCAR,0.23%
Xcel Energy Inc.,XEL,0.23%
Occidental Petroleum Corporation,OXY,0.23%
TE Connectivity Ltd.,TEL,0.23%
Sysco Corporation,SYY,0.23%
"American International Group, Inc.",AIG,0.23%
Aflac Incorporated,AFL,0.23%
PG&E Corporation,PCG,0.22%
Newmont Corporation,NEM,0.22%
Nucor Corporation,NUE,0.22%
L3Harris Technologies Inc,LHX,0.22%
Capital One Financial Corp,COF,0.22%
Centene Corporation,CNC,0.22%
"Simon Property Group, Inc.",SPG,0.22%
"Williams Companies, Inc.",WMB,0.22%
Schlumberger N.V.,SLB,0.21%
Devon Energy Corporation,DVN,0.21%
"MetLife, Inc.",MET,0.21%
Otis Worldwide Corporation,OTIS,0.21%
"Fidelity National Information Services, Inc.",FIS,0.21%
"Constellation Brands, Inc. Class A",STZ,0.21%
Carrier Global Corp.,CARR,0.21%
"Consolidated Edison, Inc.",ED,0.21%
"D.R. Horton, Inc.",DHI,0.2%
Cummins Inc.,CMI,0.2%
Colgate-Palmolive Company,CL,0.2%
KKR & Co Inc,KKR,0.2%
VICI Properties Inc,VICI,0.2%
Bank of New York Mellon Corp,BK,0.19%
"PPG Industries, Inc.",PPG,0.19%
Public Service Enterprise Group Inc,PEG,0.19%
"Dollar Tree, Inc.",DLTR,0.19%
"Prudential Financial, Inc.",PRU,0.19%
"Ameriprise Financial, Inc.",AMP,0.19%
"AMETEK, Inc.",AME,0.19%
Kinder Morgan Inc Class P,KMI,0.19%
"Warner Bros. Discovery, Inc. Series A",WBD,0.18%
Allstate Corporation,ALL,0.18%
Lennar Corporation Class A,LEN,0.18%
"Republic Services, Inc.",RSG,0.18%
Cognizant Technology Solutions Corporation Class A,CTSH,0.18%
Kraft Heinz Company,KHC,0.18%
WEC Energy Group Inc,WEC,0.18%
AmerisourceBergen Corporation,ABC,0.17%
Ferguson Plc,FERG,0.17%
"American Water Works Company, Inc.",AWK,0.17%
"VMware, Inc. Class A",VMW,0.17%
"Zimmer Biomet Holdings, Inc.",ZBH,0.17%
"ONEOK, Inc.",OKE,0.17%
Edison International,EIX,0.17%
"Digital Realty Trust, Inc.",DLR,0.17%
GE Healthcare Technologies Inc.,GEHC,0.17%
"DuPont de Nemours, Inc.",DD,0.17%
Keurig Dr Pepper Inc.,KDP,0.16%
"Activision Blizzard, Inc.",ATVI,0.16%
Arch Capital Group Ltd.,ACGL,0.16%
HP Inc.,HPQ,0.16%
Eversource Energy,ES,0.16%
Discover Financial Services,DFS,0.16%
LyondellBasell Industries NV,LYB,0.15%
Corning Inc,GLW,0.15%
"AvalonBay Communities, Inc.",AVB,0.15%
Willis Towers Watson Public Limited Company,WTW,0.15%
International Flavors & Fragrances Inc.,IFF,0.15%
Kroger Co.,KR,0.15%
"Walgreens Boots Alliance, Inc.",WBA,0.15%
Constellation Energy Corporation,CEG,0.15%
T. Rowe Price Group,TROW,0.15%
"United Rentals, Inc.",URI,0.15%
eBay Inc.,EBAY,0.15%
