Name,Ticker,Weighting
Marathon Digital Holdings Inc,MARA,10.26%
"Cleanspark, Inc.",CLSK,9.94%
"Riot Platforms, Inc.",RIOT,9.35%
HIVE Blockchain Technologies Ltd,HIVE,8.62%
Bitfarms Ltd.,BITF,8.26%
"Bit Digital, Inc.",BTBT,7.64%
Hut 8 Mining Corp.,HUT,5.26%
Applied Digital Corporation,APLD,5.21%
TeraWulf Inc.,WULF,4.65%
Cipher Mining Inc,CIFR,4.14%
Iris Energy Ltd.,IREN,3.86%
Digihost Technology Inc,DGHI,3.59%
Mawson Infrastructure Group Inc,MIGI,3.43%
NVIDIA Corporation,NVDA,3.36%
Argo Blockchain PLC ADR,ARBK,3.27%
"Stronghold Digital Mining, Inc. Class A",SDIG,1.71%
"Samsung Electronics Co., Ltd. Sponsored GDR",SMSN,1.63%
"Taiwan Semiconductor Manufacturing Co., Ltd. Sponsored ADR",TSM,1.38%
"Advanced Micro Devices, Inc.",AMD,1.33%
Greenidge Generation Holdings Inc. Class A,GREE,0.97%
Bitdeer Technologies Group Class A,BTDR,0.7%
