Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SCA-B.ST","SVENSKA CELLULOSA B","Materials","Equity","16,235,238.64","7.85","16,235,238.64","1,171,412.00","13.86","Sweden","Nasdaq Omx Nordic","USD","10.82","SEK","-"
"WY","WEYERHAEUSER REIT","Real Estate","Equity","15,423,841.92","7.46","15,423,841.92","523,552.00","29.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPXB.DU","SUZANO SA","Materials","Equity","13,626,768.68","6.59","13,626,768.68","1,464,335.00","9.31","Brazil","XBSP","USD","4.92","BRL","-"
"SK3.IR","SMURFIT KAPPA GROUP PLC","Materials","Equity","11,701,542.17","5.66","11,701,542.17","312,376.00","37.46","Ireland","Irish Stock Exchange - All Market","USD","0.93","EUR","-"
"STERV.HE","STORA ENSO CLASS R","Materials","Equity","11,550,097.74","5.58","11,550,097.74","859,281.00","13.44","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.93","EUR","-"
"IP","INTERNATIONAL PAPER","Materials","Equity","11,002,422.75","5.32","11,002,422.75","346,533.00","31.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFG","WEST FRASER TIMBER LTD","Materials","Equity","9,520,085.73","4.60","9,520,085.73","125,859.00","75.64","Canada","Toronto Stock Exchange","USD","1.34","CAD","-"
"HOLM-B.ST","HOLMEN CLASS B","Materials","Equity","9,084,185.69","4.39","9,084,185.69","233,210.00","38.95","Sweden","Nasdaq Omx Nordic","USD","10.82","SEK","-"
"PCH","POTLATCHDELTIC CORP","Real Estate","Equity","9,068,619.15","4.38","9,068,619.15","188,341.00","48.15","United States","NASDAQ","USD","1.00","USD","-"
"RYN","RAYONIER REIT INC","Real Estate","Equity","8,523,666.58","4.12","8,523,666.58","281,402.00","30.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WRK","WESTROCK","Materials","Equity","8,081,462.00","3.91","8,081,462.00","271,190.00","29.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MNDI.L","MONDI PLC","Materials","Equity","7,849,920.00","3.79","7,849,920.00","497,826.00","15.77","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"1911.T","SUMITOMO FORESTRY LTD","Consumer Discretionary","Equity","7,751,315.61","3.75","7,751,315.61","332,300.00","23.33","Japan","Tokyo Stock Exchange","USD","138.99","JPY","-"
"3861.T","OJI HOLDINGS CORP","Materials","Equity","7,739,561.82","3.74","7,739,561.82","1,981,000.00","3.91","Japan","Tokyo Stock Exchange","USD","138.99","JPY","-"
"UPM.HE","UPM-KYMMENE","Materials","Equity","7,472,489.00","3.61","7,472,489.00","233,994.00","31.93","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.93","EUR","-"
"SJ.TO","STELLA JONES INC","Materials","Equity","4,471,406.75","2.16","4,471,406.75","93,769.00","47.69","Canada","Toronto Stock Exchange","USD","1.34","CAD","-"
"CFP.TO","CANFOR CORP","Materials","Equity","4,246,589.49","2.05","4,246,589.49","273,693.00","15.52","Canada","Toronto Stock Exchange","USD","1.34","CAD","-"
"SLVM","SYLVAMO CORP","Materials","Equity","4,061,815.06","1.96","4,061,815.06","93,461.00","43.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SAP.JO","SAPPI LTD","Materials","Equity","3,940,948.68","1.91","3,940,948.68","1,677,016.00","2.35","South Africa","Johannesburg Stock Exchange","USD","18.85","ZAR","-"
"BILL.ST","BILLERUD KORSNAS","Materials","Equity","3,656,218.35","1.77","3,656,218.35","435,319.00","8.40","Sweden","Nasdaq Omx Nordic","USD","10.82","SEK","-"
"2689.HK","NINE DRAGONS PAPER HOLDINGS LTD","Materials","Equity","3,422,209.60","1.65","3,422,209.60","5,575,000.00","0.61","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"IFP.TO","INTERFOR CORP","Materials","Equity","3,239,832.55","1.57","3,239,832.55","203,029.00","15.96","Canada","Toronto Stock Exchange","USD","1.34","CAD","-"
"3863.T","NIPPON PAPER INDUSTRIES LTD","Materials","Equity","3,158,481.13","1.53","3,158,481.13","364,300.00","8.67","Japan","Tokyo Stock Exchange","USD","138.99","JPY","-"
"3880.T","DAIO PAPER CORP","Materials","Equity","2,569,690.25","1.24","2,569,690.25","320,600.00","8.02","Japan","Tokyo Stock Exchange","USD","138.99","JPY","-"
"DXCO3.SA","DEXCO SA","Materials","Equity","1,459,341.62","0.71","1,459,341.62","812,103.00","1.80","Brazil","XBSP","USD","4.92","BRL","-"
"NVG.LS","THE NAVIGATOR COMPANY SA","Materials","Equity","1,395,022.51","0.67","1,395,022.51","399,268.00","3.49","Portugal","Nyse Euronext - Euronext Lisbon","USD","0.93","EUR","-"
"ALTRU.XC","ALTRI SGPS SA","Materials","Equity","1,318,960.94","0.64","1,318,960.94","301,330.00","4.38","Portugal","Nyse Euronext - Euronext Lisbon","USD","0.93","EUR","-"
"CLW","CLEARWATER PAPER CORP","Materials","Equity","1,241,348.59","0.60","1,241,348.59","37,537.00","33.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
