Name,Ticker,Weighting
Anglo American plc,AAL,6.51%
Attijariwafa Bank SA,ATW,4.9%
Airtel Africa Plc,AAF,4.54%
U.S. Dollar,Other,4.26%
MTN Nigeria Communications Plc,MTNN,4.04%
Banque Centrale Populaire SA,BCP,3.68%
Safaricom PLC,SCOM,3.52%
Ivanhoe Mines Ltd. Class A,IVN,3.53%
Commercial International Bank (Egypt) SAE Sponsored GDR RegS,CMGGF,3.11%
Guaranty Trust Holding Company Plc,GTCO,2.72%
Equity Group Holdings Limited,EQTY,2.72%
Naspers Limited Class N,NPN,2.69%
Zenith Bank PLC,ZENITHBANK,2.59%
Maroc Telecom SA,IAM,2.55%
Endeavour Mining PLC,EDV,2.49%
Perseus Mining Limited,PRU,2.34%
Kosmos Energy Ltd.,KOS,2.35%
First Quantum Minerals Ltd.,FM,2.23%
Barrick Gold Corporation,GOLD,1.94%
Gold Fields Limited Sponsored ADR,GFI,1.85%
Standard Bank Group Limited,SBK,1.76%
Bank of Africa SA,BOA,1.75%
FirstRand Limited,FSR,1.64%
AngloGold Ashanti Limited Sponsored ADR,AU,1.47%
CMOC Group Limited Class H,3993,1.47%
East African Breweries Plc,EABL,1.45%
MTN Group Limited,MTN,1.39%
COSUMAR SA,CSR,1.36%
Paladin Energy Ltd,PDN,1.33%
Capitec Bank Holdings Limited,CPI,1.18%
Sasol Limited Sponsored ADR,SSL,1.14%
Centamin plc,CEY,1.13%
Nestle Nigeria Plc,NESTLE,1.11%
Absa Group Limited,ABG,1.04%
Impala Platinum Holdings Limited,IMP,1.01%
Sanlam Limited,SLM,0.84%
Shoprite Holdings Limited,SHP,0.81%
Bid Corporation Limited,BID,0.79%
Sibanye Stillwater Limited Sponsored ADR,SBSW,0.73%
Helios Towers Plc,HTWS,0.72%
Nedbank Group Limited,NED,0.68%
AVZ Minerals Ltd.,AVZ,0.67%
MakeMyTrip Ltd.,MMYT,0.62%
Anglo American Platinum Limited,AMS,0.65%
Remgro Limited,REM,0.55%
Golden Agri-Resources Ltd,E5H,0.53%
Investec plc,INVP,0.51%
Aspen Pharmacare Holdings Limited,APN,0.47%
Clicks Group Limited,CLS,0.46%
Vodacom Group Limited,VOD,0.44%
Royal Caribbean Group,RCL,0.44%
Bidvest Group Limited,BVT,0.43%
Woolworths Holdings Limited,WHL,0.45%
Discovery Limited,DSY,0.38%
Growthpoint Properties Limited,GRT,0.35%
Old Mutual Ltd.,OMU,0.34%
Harmony Gold Mining Co. Ltd. Sponsored ADR,HMY,0.29%
B2Gold Corp.,BTG,0.28%
Mr Price Group Limited,MRP,0.27%
Northam Platinum Holdings Limited,NPH,0.27%
Kumba Iron Ore Limited,KIO,0.25%
Exxaro Resources Limited,EXX,0.22%
African Rainbow Minerals Limited,ARI,0.25%
Multichoice Group Ltd,MCG,0.19%
Momentum Metropolitan Holdings Limited,MTM,0.18%
Pepkor Holdings Ltd.,PPH,0.17%
Tiger Brands Limited,TBS,0.16%
AVI Limited Class Y,AVI,0.15%
Netcare Limited,NTC,0.15%
Thungela Resources Limited,TGA,0.15%
Scatec ASA,SCATC,0.13%
Life Healthcare Group Holdings Limited,LHC,0.13%
Spar Group Limited,SPP,0.12%
Foschini Group Limited,TFG,0.12%
Sappi Limited,SAP,0.11%
Resilient REIT Limited,RES,0.11%
Pick N Pay Stores Limited,PIK,0.08%
Delta Corporation Limited,DLTA,0.02%
