Name,Ticker,Weighting
"Magellan Midstream Partners, L.P.",MMP,14.6%
"Plains All American Pipeline, L.P.",PAA,13.28%
Enterprise Products Partners L.P.,EPD,12.57%
Energy Transfer LP,ET,12.38%
MPLX LP,MPLX,12.03%
"Western Midstream Partners, LP",WES,11.86%
EnLink Midstream LLC,ENLC,7.66%
Crestwood Equity Partners LP,CEQP,4.99%
"Cheniere Energy Partners, L.P.",CQP,4.12%
NuStar Energy L.P.,NS,3.94%
Hess Midstream LP Class A,HESM,2.81%
"Genesis Energy, L.P.",GEL,2.52%
"Holly Energy Partners, L.P.",HEP,1.89%
Delek Logistics Partners LP,DKL,1.09%

