Name,Ticker,Weighting
"MercadoLibre, Inc.",MELI,19.59%
YPF SA Sponsored ADR Class D,YPF,8.53%
Grupo Financiero Galicia SA Sponsored ADR Class B,GGAL,7.92%
Pampa Energia SA Sponsored ADR,PAM,7.16%
Banco Macro SA Sponsored ADR Class B,BMA,4.97%
Transportadora de Gas del Sur SA Sponsored ADR Class B RegS,TGS,4.37%
"Arcos Dorados Holdings, Inc. Class A",ARCO,4.21%
Adecoagro S.A.,AGRO,4.16%
Cencosud S.A.,CENCOSUD,3.82%
Embotelladora Andina SA Pfd  B,ANDINA.B,3.65%
Compania Cervecerias Unidas S.A.,CCU,3.63%
Lithium Americas Corp.,LAC,3.59%
Central Puerto S.A. Sponsored ADR,CEPU,3.56%
SSR Mining Inc,SSRM,3.44%
Telecom Argentina SA Sponsored ADR,TEO,2.59%
"Despegar.com, Corp.",DESP,2.29%
Banco BBVA Argentina SA Sponsored ADR,BBAR,1.95%
Loma Negra Compania Industrial Argentina SA Sponsored ADR,LOMA,1.93%
Bioceres Crop Solutions Corp.,BIOX,1.78%
Corporacion America Airports S.A.,CAAP,1.76%
Cresud SA Sponsored ADR,CRESY,1.4%
Edenor SA Sponsored ADR Class B,EDN,1.2%
IRSA Inversiones y Representaciones SA Sponsored ADR,IRS,1.05%
Grupo Supervielle SA Sponsored ADR Class B,SUPV,1.04%
U.S. Dollar,Other,0.41%
