Name,Ticker,Weighting
"Kweichow Moutai Co., Ltd. Class A",600519.SS,5.57%
"Contemporary Amperex Technology Co., Ltd. Class A",300750.SZ,2.95%
"Ping An Insurance (Group) Company of China, Ltd. Class A",601318.SS,2.82%
"China Merchants Bank Co., Ltd. Class A",600036.SS,2.19%
"Wuliangye Yibin Co., Ltd. Class A",000858.SZ,1.73%
Midea Group Co. Ltd. Class A,000333.SZ,1.49%
"Industrial Bank Co., Ltd. Class A",601166.SS,1.28%
BYD Company Limited Class A,BYDDY,1.27%
"China Yangtze Power Co., Ltd. Class A",600900.SS,1.17%
"Jiangsu Hengrui Pharmaceuticals Co., Ltd. Class A",600276.SS,1.06%
CITIC Securities Co. Ltd. Class A,600030.SS,1.04%
"Zijin Mining Group Co., Ltd. Class A",2899.HK,1.02%
"Inner Mongolia Yili Industrial Group Co., Ltd. Class A",600887.SS,1.0%
"East Money Information Co., Ltd Class A",300059.SZ,0.96%
Industrial and Commercial Bank of China Limited Class A,601398.SS,0.92%
"LONGi Green Energy Technology Co., Ltd. Class A",601012.SS,0.91%
Wanhua Chemical Group Co. Ltd. Class A,600309.SS,0.89%
"Bank of Communications Co., Ltd. Class A",601328.SS,0.88%
"Gree Electric Appliances, Inc. of Zhuhai Class A",000651.SZ,0.86%
"BOE Technology Group Co., Ltd. Class A",000725.SZ,0.86%
Luzhou Laojiao Company Limited Class A,000568.SZ,0.85%
"Beijing-Shanghai High-Speed Railway Co., Ltd. Class A",601816.SS,0.77%
"Shenzhen Mindray Bio-Medical Electronics Co., Ltd. Class A",300760.SZ,0.77%
Luxshare Precision Industry Co. Ltd. Class A,002475.SZ,0.75%
"WuXi AppTec Co., Ltd. Class A",603259.SS,0.73%
China State Construction Engineering Corp. Ltd. Class A,601668.SS,0.72%
"iflytek Co., Ltd. Class A",002230.SZ,0.71%
China Petroleum & Chemical Corporation Class A,600028.SS,0.68%
ZTE Corporation Class A,000063.SZ,0.64%
"S.F. Holding Co., Ltd. Class A",002352.SZ,0.63%
Agricultural Bank of China Limited Class A,601288.SS,0.63%
China Tourism Group Duty Free Corporation Limited Class A,601888.SS,0.62%
Ping An Bank Co. Ltd. Class A,000001.SS,0.60%
"Shenzhen Inovance Technology Co., Ltd Class A",300124.SZ,0.60%
"Sungrow Power Supply Co., Ltd. Class A",300274.SZ,0.59%
"Muyuan Foods Co., Ltd. Class A",002714.SZ,0.57%
China United Network Communications Limited Class A,600050.SS,0.56%
"Bank of Ningbo Co., Ltd. Class A",002142.SZ,0.55%
"China Pacific Insurance (Group) Co., Ltd. Class A",601601.SS,0.55%
"Qinghai Salt Lake Industry Co., Ltd. Class A",000792.SZ,0.55%
"China Minsheng Banking Corp., Ltd. Class A",600016.SS,0.53%
China Shenhua Energy Co. Ltd. Class A,601088.SS,0.53%
"TCL Zhonghuan Renewable Energy Technology Co., Ltd. Class A",002129.SZ,0.53%
Shanxi Xinghuacun Fen Wine Factory Co. Ltd. Class A,600809.SS,0.52%
"China Vanke Co., Ltd Class A",000002.SS,0.51%
"Sany Heavy Industry Co., Ltd. Class A",600031.SS,0.51%
Beijing Kingsoft Office Software. Inc. Class A,688111.SS,0.50%
"NARI Technology Co., Ltd. Class A",600406.SS,0.50%
"Aier Eye Hospital Group Co., Ltd. Class A",300015.SZ,0.50%
"Poly Developments & Holdings Group Co., Ltd. Class A",600048.SS,0.50%
"TBEA Co., Ltd. Class A",600089.SS,0.50%
PetroChina Company Limited Class A,601857.SS,0.49%
Tongwei Co. Ltd. Class A,600438.SS,0.48%
"Bank of Jiangsu Co., Ltd. Class A",600919.SS,0.48%
Bank of China Limited Class A,601988.SS,0.47%
CRRC Corporation Limited Class A,601766.SS,0.47%
"Haitong Securities Co., Ltd. Class A",600837.SS,0.47%
"Zhangzhou Pientzehuang Pharmaceutical Co., Ltd. Class A",600436.SS,0.47%
"Foxconn Industrial Internet Co., Ltd. Class A",601138.SS,0.47%
"Haier Smart Home Co., Ltd. Class A",600690.SS,0.47%
"Wen\'s Foodstuff Group Co., Ltd. Class A",300498.SZ,0.46%
Will Semiconductor Ltd. Class A,603501.SS,0.46%
NAURA Technology Group Co Ltd Class A,002371.SZ,0.46%
China Railway Group Limited Class A,601390.SS,0.46%
"Shanghai Pudong Development Bank Co., Ltd. Class A",600000.SS,0.45%
"Unisplendour Co., Ltd. Class A",000938.SZ,0.44%
"Foshan Haitian Flavouring & Food Co., Ltd. Class A",603288.SS,0.43%
"Jiangsu Yanghe Brewery Joint-Stock Co., Ltd. Class A",002304.SZ,0.43%
"China Three Gorges Renewables (Group) Co., Ltd. Class A",600905.SS,0.41%
Tianqi Lithium Corp. Class A,002466.SZ,0.41%
EVE Energy Co. Ltd. Class A,300014.SZ,0.39%
"Ganfeng Lithium Group Co., Ltd. Class A",002460.SZ,0.39%
Giga Device Semiconductor Inc. Class A,603986.SS,0.39%
"Bank of Beijing Co., Ltd. Class A",601169.SS,0.38%
"Shaanxi Coal Industry Co., Ltd. Class A",601225.SS,0.38%
Focus Media Information Technology Co Ltd Class A,002027.SZ,0.38%
"Huatai Securities Co., Ltd. Class A",601688.SS,0.37%
"Weichai Power Co., Ltd. Class A",000338.SZ,0.37%
Advanced Micro-Fabrication Equipment Inc. China Class A,688012.SS,0.37%
"COSCO SHIPPING Holdings Co., Ltd. Class A",601919.SS,0.36%
China National Nuclear Power Co. Ltd. Class A,601985.SS,0.36%
China CSSC Holdings Limited Class A,600150.SS,0.35%
Hundsun Technologies Inc. Class A,600570.SS,0.35%
"JA Solar Technology Co., Ltd. Class A",002459.SZ,0.35%
AECC Aviation Power Co Ltd Class A,600893.SS,0.35%
"Guotai Junan Securities Co., Ltd. Class A",601211.SS,0.35%
Chongqing Changan Automobile Company Limited Class A,000625.SZ,0.34%
"Unigroup Guoxin Microelectronics Co., Ltd. Class A",002049.SZ,0.34%
SAIC Motor Corporation Limited Class A,600104.SS,0.34%
China Life Insurance Co. Ltd. Class A,601628.SS,0.34%
"Zhejiang Huayou Cobalt Co., Ltd. Class A",603799.SS,0.33%
