Name,Ticker,Weighting
Erste Group Bank AG,EBS.VI,1.91%
OMV AG,OMV.VI,1.58%
VERBUND AG Class A,VER.VI,9.31%
voestalpine AG,VOE.VI,4.61%
Wienerberger AG,WIE.VI,4.48%
BAWAG Group AG,BG.VI,4.46%
ANDRITZ AG,ANDR.VI,4.21%
Raiffeisen Bank International AG,RBI.VI,4.19%
CA Immobilien Anlagen AG,CAI.VI,3.25%
Osterreichische Post AG,POST.VI,3.18%
DERIVATIVE SECURITIES (OTHER),Other.VI,3.03%
UNIQA Insurance Group AG,UQA.VI,2.89%
DO & CO Aktiengesellschaft,DOC.VI,2.74%
Vienna Insurance Group AG Wiener Versicherung Gruppe,VIG.VI,2.69%
AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,ATS.VI,2.43%
Lenzing AG,LNZ.VI,2.35%
EVN AG,EVN.VI,2.34%
IMMOFINANZ AG,IIA.VI,2.13%
Schoeller-Bleckmann Oilfield Equipment AG,SBO.VI,1.91%
PALFINGER AG,PAL.VI,1.87%
PORR AG,POS.VI,1.38%
AGRANA Beteiligungs-AG,AGR.VI,1.33%
Semperit AG Holding,SEM.VI,1.25%

