Name,Ticker,Weighting
Anheuser-Busch InBev SA/NV,ABI.BR,2.04%
arGEN-X SE,ARGX.BR,1.96%
KBC Group N.V.,KBC.BR,9.38%
Solvay SA,SOLB.BR,4.64%
UCB S.A.,UCB.BR,4.39%
Groupe Bruxelles Lambert SA,GBLB.BR,4.28%
ageas SA/NV,AGS.BR,3.69%
Umicore,UMI.BR,3.51%
Warehouses De Pauw SA,WDP.BR,2.71%
D\'Ieteren Group SA/NV,DIE.BR,2.57%
Elia Group SA/NV,ELI.BR,2.41%
Ackermans & van Haaren NV,ACKB.BR,2.28%
Sofina SA,SOF.BR,1.98%
Euronav NV,EURN.BR,1.69%
Aedifica SA,AED.BR,1.67%
Cofinimmo SA,COFB.BR,1.58%
Etablissementen Franz Colruyt N.V.,COLR.BR,1.25%
Galapagos NV,GLPG.BR,1.22%
Melexis NV,MELE.BR,1.21%
Barco NV,BAR.BR,1.17%
Bekaert SA,BEKB.BR,1.08%
KBC Ancora SCA,KBCA.BR,1.02%
VGP NV,VGP.BR,0.91%
Shurgard Self Storage Limited,SHUR.BR,0.84%
Fagron SA,FAGR.BR,0.83%
Proximus SA de droit public,PROX.BR,0.58%
MONTEA NV,MONT.BR,0.77%
DEME Group NV,DEME.BR,0.72%
Telenet Group Holding NV,TNET.BR,0.71%
Xior Student Housing N.V.,XIOR.BR,0.64%
Tessenderlo Group N.V.,TESB.BR,0.61%
Retail Estates NV,RET.BR,0.54%
Kinepolis Group NV,KIN.BR,0.48%
Ontex Group N.V.,ONTEX.BR,0.44%
Recticel SA,RECT.BR,0.43%
Intervest Offices & Warehouses SA,INTO.BR,0.44%
bpost SA,BPOST.BR,0.44%
EXMAR NV,EXM.BR,0.37%
Ion Beam Applications SA,IBAB.BR,0.36%
Agfa-Gevaert NV,AGFB.BR,0.32%
Immobel SA,IMMO.BR,0.25%
