Name,Ticker,Weighting
Sociedad Quimica y Minera de Chile SA Pfd Series B,SQM-B.SN,2.21%
Banco de Chile,CHILE.SN,1.35%
Enel Americas S.A.,ENELAM.SN,6.34%
Empresas CMPC S.A.,CMPC.SN,4.62%
Cencosud S.A.,CENCOSUD.SN,4.57%
Banco Santander-Chile,BSANTANDER.SN,4.49%
Empresas Copec S.A.,COPEC.SN,4.48%
Banco de Credito e Inversiones,BCI.SN,4.15%
Enel Chile SA,ENELCHILE.SN,3.58%
Falabella S.A.,FALABELLA.SN,3.45%
Colbun S.A.,COLBUN.SN,3.18%
Embotelladora Andina SA Pfd  B,ANDINA.B.SN,2.84%
Compania Cervecerias Unidas S.A.,CCU.SN,2.79%
Aguas Andinas SA Class A,AGUAS.A.SN,2.78%
Parque Arauco S.A.,PARAUCO.SN,2.68%
Compania Sud Americana de Vapores S.A.,VAPORES.SN,2.31%
Vina Concha Y Toro S.A.,CONCHATORO.SN,1.89%
SMU SA,SMU.SN,1.87%
Banco Itau Chile,ITAUCL.SN,1.86%
Empresa Nacional de Telecomunicaciones S.A.,ENTEL.SN,1.86%
CAP S.A.,CAP.SN,1.79%
Engie Energia Chile S.A.,ECL.SN,1.56%
Inversiones Aguas Metropolitanas S.A.,IAM.SN,1.39%
Grupo Security S.A.,SECURITY.SN,1.26%
Plaza SA,MALLPLAZA.SN,0.89%
