Name,Ticker,Weighting
Bancolombia SA Bancolombia Pfd,PFBCOLOM,15.85%
Ecopetrol SA,ECOPETROL,13.74%
Interconexion Electrica SA ESP,ISA,9.75%
Bancolombia S.A.,BCOLOMBIA,9.16%
GRUPO ENERGIA BOGOTA S.A. E.S.P,GEB,5.2%
Grupo Argos S.A.,GRUPOARGOS,4.67%
Tecnoglass Inc.,TGLS,4.09%
Grupo Aval Acciones y Valores SA Pfd,PFAVAL,3.73%
Banco Davivienda SA Pfd,PFDAVVNDA,3.63%
Corporacion Financiera Colombiana SA,CORFICOLCF,3.5%
Cementos Argos SA,CEMARGOS,3.26%
GeoPark Ltd,GPRK,3.12%
Grupo de Inversiones Suramericana S.A.,GRUPOSURA,2.8%
Celsia SA ESP,CELSIA,2.71%
Grupo de Inversiones Suramericana SA Pfd,PFGRUPSURA,1.98%
Canacol Energy Ltd.,CNE,1.9%
Parex Resources Inc.,PXT,1.83%
Enel Americas S.A.,ENELAM,1.82%
EQUITY OTHER,Other,1.8%
Empresas Copec S.A.,COPEC,1.79%
Companhia Brasileira de Distribuicao,PCAR3,1.78%
Millicom International Cellular SA Swedish Depository Receipt,TIGO,1.64%
U.S. Dollar,Other,0.24%
