Name,Ticker,Weighting
Novo Nordisk A/S Class B,NOVO-B.CO,2.27%
DSV A/S,DSV.CO,8.04%
Vestas Wind Systems A/S,VWS.CO,6.24%
Genmab A/S,GMAB.CO,5.39%
Orsted,ORSTED.CO,3.82%
Danske Bank A/S,DANSKE.CO,3.72%
Carlsberg AS Class B,CARL.CO,3.45%
Coloplast A/S Class B,COLO.CO,3.33%
Novozymes A/S Class B,NZYM.CO,2.46%
A.P. Moller - Maersk A/S Class B,MAERSK.CO,2.37%
Tryg A/S,TRYG.CO,2.13%
Chr. Hansen Holding A/S,CHR.CO,2.06%
Pandora A/S,PNDORA.CO,1.91%
A.P. Moller - Maersk A/S Class A,MAERSK-A.CO,1.73%
SimCorp A/S,SIM.CO,1.48%
Jyske Bank A/S,JYSK.CO,1.42%
Ringkjobing Landbobank A/S,RILBA.CO,1.42%
Royal Unibrew A/S,RBREW.CO,1.39%
Zealand Pharma A/S,ZEAL.CO,1.37%
Demant A/S,DEMANT.CO,1.31%
NKT A/S,NKT.CO,1.22%
Sydbank A/S,SYDB.CO,1.22%
ISS A/S,ISS.CO,1.22%
GN Store Nord A/S,GN.CO,1.18%
Ambu A/S Class B,AMBU.B.CO,1.15%
FLSmidth & Co. A/S,FLS.CO,1.12%
ROCKWOOL A/S Class B,ROCK.B.CO,1.11%
Topdanmark A/S,TOP.CO,1.08%
Bavarian Nordic A/S,BAVA.CO,1.08%
Netcompany Group A/S,NETC.CO,1.02%
ALK-abello A/S Class B,ALK.B.CO,0.94%
DFDS A/S,DFDS.CO,0.91%
Alm. Brand A/S,ALMB.CO,0.92%
D/S Norden A/S,DNORD.CO,0.89%
H. Lundbeck A/S Class B,HLUN.B.CO,0.88%
Spar Nord Bank A/S,SPNO.CO,0.84%
ChemoMetec A/S,CHEMM.CO,0.83%
Schouw & Co A/S,SCHO.CO,0.74%
Scandinavian Tobacco Group A/S,STG.CO,0.67%
Per Aarsleff Holding A/S Class B,PAAL.B.CO,0.26%
TORM PLC Class A,TRMD-A.CO,0.52%
NTG Nordic Transport Group A/S,NTG.CO,0.32%
Matas A/S,MATAS.CO,0.31%
Solar A/S Class B,SOLAR-B.CO,0.32%
U.S. Dollar,Other.CO,0.32%
Trifork Holding AG,TRIFOR.CO,0.19%
cBrain A/S,CBRAIN.CO,0.17%
Nilfisk Holding A/S,NLFSK.CO,0.16%
H. Lundbeck A/S Class A,HLUN-A.CO,0.15%
