Name,Ticker,Weighting
Polski Koncern Naftowy ORLEN S.A.,PKN.WA,2.91%
PKO Bank Polski S.A.,PKO.WA,0.41%
Powszechny Zaklad Ubezpieczen Spolka Akcyjna,PZU.WA,8.23%
Dino Polska SA,DNP.WA,6.65%
BANK POLSKA KASA OPIEKI SA,PEO.WA,6.29%
Santander Bank Polska SA,SPL.WA,4.64%
KGHM Polska Miedz S.A.,KGH.WA,4.39%
LPP S.A.,LPP.WA,4.29%
Allegro.eu Societe anonyme,ALE.WA,4.01%
CD Projekt S.A.,CDR.WA,3.54%
KRUK S.A.,KRU.WA,2.98%
Pepco Group BV,PCO.WA,2.87%
PGE Polska Grupa Energetyczna S.A.,PGE.WA,2.71%
mBank SA,MBK.WA,2.44%
Orange Polska S.A.,OPL.WA,2.14%
Asseco Poland S.A.,ACP.WA,2.03%
Budimex SA,BDX.WA,1.97%
Cyfrowy Polsat SA,CPS.WA,1.91%
Bank Millennium SA,MIL.WA,1.41%
TAURON Polska Energia S.A.,TPE.WA,1.34%
LIVECHAT Software S.A.,LVC.WA,1.22%
Jastrzebska Spolka Weglowa S.A.,JSW.WA,1.21%
CCC SA,CCC.WA,1.14%
AmRest Holdings SE,EAT.WA,1.05%
XTB SA,XTB.WA,1.03%
ENEA S.A.,ENA.WA,0.99%
Eurocash S.A.,EUR.WA,0.93%
Ciech SA,CIE.WA,0.86%
Grupa Azoty Spolka Akcyjna,ATT.WA,0.84%
Warsaw Stock Exchange,GPW.WA,0.78%
Grupa Pracuj spolka akcyjna,GPP.WA,0.78%
Alior Bank SA,ALR.WA,0.67%
