Symbol,Name,Inception,Structure,Tracks This Index,Index Description,Category,Provider,Expense Ratio,Dividend,Div Yield,Market Cap (millions),Shares (millions),Avg Vol,Beta,Asset Class,Asset Class Size,Asset Class Style,Region,Basic Materials,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Health Care,Industrials,Real Estate,Technology,Utilities,Leveraged,Inverse,Top Holdings,Chart,,,,,,,,,,,,,
AADR,WCM/BNY Mellon Focused Growth ADR ETF,2010-07-20,ETF,,This ETF is not linked to a specific benchmark.,Global Equities,AdvisorShares,1.25%,$0.01,0.47%,$10.30 ,0.3," 7,398 ", 2.59 ,Equity,Large-Cap,Growth,Global ex-U.S.,6.67%,0.00%,11.82%,23.27%,3.96%,7.60%,10.90%,11.26%,0.00%,20.79%,0.00%,,,click,click,,,,,,,,,,,,,
ACIM,SPDR MSCI ACWI IMI ETF,2012-02-28,ETF,MSCI ACWI IMI Index,The index is a free float-adjusted market capitalization-weighted index that is designed to measure the combined equity market performance of developed and emerging markets. The index covers approximately 98% of the global equity investment opportunity set.,Global Equities,State Street SPDR,0.25%,$0.71,2.09%,$12.30 ,0.2," 3,150 ", 2.35 ,Equity,,,Global,6.15%,4.79%,10.88%,8.67%,10.02%,17.34%,9.99%,10.89%,3.80%,10.94%,2.63%,,,click,click,,,,,,,,,,,,,
ACWI,MSCI All Country World Index Fund,2008-03-26,ETF,MSCI All Country World Index,The Index is designed to measure the performance of global equity markets.,Global Equities,iShares,0.35%,$0.46,1.92%,"$5,220.70 ",91.8," 1,345,256 ", 1.05 ,Equity,Large-Cap,Blend,Global,6.00%,5.20%,10.98%,10.03%,9.59%,18.35%,10.21%,10.04%,2.85%,11.59%,3.19%,,,click,click,,,,,,,,,,,,,
ACWV,MSCI All Country World Minimum Volatility ETF,2011-10-20,ETF,MSCI All Country World Minimum Volatility Index,"The index aims to re&amp;#64258;ect the performance characteristics of a minimum variance strategy applied to large and mid cap equities across 45 Developed and Emerging Markets countries . The index is calculated by optimizing the MSCI ACWI Index, its parent index, for the lowest absolute risk (within a given set of constraints). Historically, the index has shown lower beta and volatility characteristics relative to the MSCI ACWI Index.",Global Equities,iShares,0.35%,$0.85,2.49%,"$1,115.10 ",17.7," 51,375 ", (0.85),Equity,Large-Cap,Blend,Global,2.38%,9.29%,9.82%,16.47%,4.70%,9.85%,15.04%,10.41%,4.23%,4.80%,8.00%,,,click,click,,,,,,,,,,,,,
ACWX,MSCI ACWI ex US Index Fund,2008-03-26,ETF,MSCI All Country World ex-U.S. Index,"The index measures the performance of global equity markets, excluding the United States.",Global Equities,iShares,0.34%,$0.57,2.75%,"$1,617.40 ",35.4," 396,692 ", 1.12 ,Equity,Large-Cap,Blend,Global ex-U.S.,9.04%,6.03%,9.16%,10.17%,8.78%,21.73%,8.06%,9.40%,3.08%,6.84%,3.16%,,,click,click,,,,,,,,,,,,,
ADRE,BLDRS Emerging Markets 50 ADR Index Fund,2002-11-13,UIT,Bank of New York Mellon Emerging Markets 50 ADR Index,The Index is capitalization-weighted and designed to track the performance of approximately 50 emerging market-based depositary receipts.,Emerging Markets Equities,Invesco PowerShares,0.30%,$0.43,2.59%,$229.90 ,6.2," 29,273 ", (1.63),Equity,Mega-Cap,Blend,Emerging Markets,10.93%,19.34%,1.91%,9.33%,20.52%,17.33%,0.00%,1.37%,0.00%,15.51%,2.81%,,,click,click,,,,,,,,,,,,,
ADZ,DB Agriculture Short ETN,2008-04-14,ETN,Deutsche Bank Liquid Commodity Index-Optimum Yield Agriculture (-100%),"The index is designed to reflect the performance of certain corn, wheat, soybean and sugar futures contracts plus the returns from investing in 3 month United States Treasury Bills.",Inverse Commodities,Invesco PowerShares,0.75%,,,$2.00 ,0.1, 433 , (8.21),Commodity,,,,,,,,,,,,,,,,Yes,click,click,,,,,,,,,,,,,
AFK,Market Vectors-Africa Index ETF,2008-07-10,ETF,Dow Jones Africa Titans 50 Index,The Index provides exposure to publicly traded companies that are headquartered in Africa or that generate the majority of their revenues in Africa.,Emerging Markets Equities,Van Eck,0.78%,$0.83,2.73%,$106.20 ,3.5," 19,164 ", (1.28),Equity,,,Africa,11.44%,15.10%,0.93%,5.39%,12.52%,46.39%,0.93%,5.17%,0.00%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
AGEM,GEMS Composite ETF,2009-07-21,ETF,Dow Jones Emerging Markets Titans Composite Index,"The Dow Jones Emerging Markets Titans Composite Index is a stock market index comprised of a representative sample of 100 Emerging Markets companies that Dow Jones Indexes deems to be leading companies in each of the10 industrial sectors, as defined by the Industry Classification Benchmark (ICB) across the developing world.",Emerging Markets Equities,EG Shares,0.75%,$0.35,1.53%,$11.30 ,0.5," 8,445 ", 1.97 ,Equity,Large-Cap,,Emerging Markets,7.01%,18.52%,5.65%,11.69%,18.45%,24.48%,2.77%,2.55%,0.00%,5.83%,3.05%,,,click,click,,,,,,,,,,,,,
AGF,DB Agriculture Long ETN,2008-04-14,ETN,Deutsche Bank Liquid Commodity Index-Optimum Yield Agriculture,"The index is designed to reflect the performance of certain corn, wheat, soybean and sugar futures contracts plus the returns from investing in 3 month United States Treasury Bills.",Agricultural Commodities,Invesco PowerShares,0.75%,,,$3.90 ,0.2," 3,536 ", (6.18),Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
AGG,Core Total U.S. Bond Market ETF,2003-09-22,ETF,Barclays Capital U.S. Aggregate Bond Index,The index measures the performance of the U.S. investment grade bond market.,Total Bond Market,iShares,0.08%,$0.19,2.34%,"$15,196.40 ",143.2," 1,240,811 ", (0.33),Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
