Ticker,Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
SPY,SPDR S&P 500 ETF Trust,Equity,"$405,134,000,000",12.64%,"87,604,744",$429.13,0.60%,No,False,1.73%,4.00%,6.12%,12.05%,11.00%,"$8,767,433,249.10","-$775,798,563.70","$10,195,892,819.85","$16,711,846,359.00","$24,229,273,548.20","$7,846,538,462.60",Large Cap Growth Equities,1993-01-22,0.09%,N/A,$6.46,2023-03-17,$1.51,1.51%,17.86,1.00,504,30.38%,40%,20%,1099,$406.68,$430.53,$426.77,$430.55,63.29,A+,A-,B,B+,A-,A-,6.67,45.77%,58.40%,133.57,9.75%,6.22%
IVV,iShares Core S&P 500 ETF,Equity,"$316,080,000,000",12.65%,"3,978,708",$429.68,0.58%,No,False,1.72%,4.04%,6.14%,12.10%,11.11%,"-$6,081,544,368.50","$104,608,674.30","-$2,173,118,611.60","-$3,271,162,696.65","$47,820,059,983.35","$68,415,526,798.35",Large Cap Growth Equities,2000-05-15,0.03%,3 Platforms,$6.62,2023-06-07,$1.34,1.54%,19.66,1.00,503,30.03%,40%,20%,1099,$407.12,$431.14,$427.34,$431.11,63.36,A,A,B,B+,A-,A-,6.67,45.60%,58.38%,133.65,9.66%,6.17%
VOO,Vanguard S&P 500 ETF,Equity,"$304,486,000,000",12.71%,"3,690,368",$394.37,0.60%,No,False,1.75%,4.06%,6.16%,12.12%,11.06%,"$11,418,811,117.81","$1,836,428,539.36","$3,225,955,931.01","$27,571,980,587.59","$103,700,955,147.53","$140,477,113,052.07",Large Cap Growth Equities,2010-09-07,0.03%,Vanguard,$6.06,2023-03-24,$1.49,1.55%,20.10,1.00,505,27.79%,40%,20%,1099,$373.58,$395.62,$392.20,$395.64,63.45,A,A,B,B+,A-,A-,6.67,46.23%,58.43%,133.73,9.72%,6.21%
VTI,Vanguard Total Stock Market ETF,Equity,"$297,138,000,000",12.22%,"2,753,517",$213.70,0.47%,No,False,2.13%,4.40%,5.34%,11.39%,10.16%,"$6,527,921,171.55","$580,077,399.55","$1,306,136,203.92","$21,858,019,237.82","$98,131,521,680.77","$131,900,155,824.62",Large Cap Growth Equities,2001-05-24,0.03%,2 Platforms,$3.26,2023-03-23,$0.79,1.53%,19.10,1.02,3851,23.64%,40%,20%,1099,$201.71,$213.93,$212.53,$214.42,63.54,A,A,B-,B,B+,A,6.5,23.89%,52.27%,133.16,8.84%,6.40%
QQQ,Invesco QQQ Trust,Equity,"$187,514,000,000",32.83%,"56,951,124",$353.15,1.24%,No,False,0.32%,9.37%,15.67%,14.50%,15.98%,"-$1,014,405,750.00","-$2,210,864,150.00","-$1,076,142,600.00","$253,430,200.00","$29,621,086,150.00","$46,021,749,600.00",Large Cap Growth Equities,1999-03-10,0.20%,N/A,$2.17,2023-03-20,$0.47,0.62%,22.70,1.11,102,58.83%,40%,20%,1099,$319.23,$361.96,N/A,N/A,67.65,A,B+,A,C+,B-,B-,6.67,46.42%,58.45%,51.44,8.18%,9.24%
VTV,Vanguard Value ETF,Equity,"$97,678,000,000",0.24%,"2,329,628",$139.84,0.19%,No,False,3.08%,1.04%,0.44%,11.72%,8.38%,"-$861,284,000.32","$5,133,447.13","-$3,589,426,525.46","-$1,843,521,214.51","$29,991,572,984.80","$42,854,414,030.77",Large Cap Value Equities,2004-01-26,0.04%,2 Platforms,$3.56,2023-03-23,$0.82,2.55%,15.80,0.89,342,22.77%,40%,20%,1099,$134.16,$139.57,$139.19,$140.24,56.84,A,A,A-,B+,A-,B,6.53,26.12%,53.01%,226.48,13.32%,3.82%
BND,Vanguard Total Bond Market ETF,Bond,"$92,039,800,000",2.43%,"4,675,702",$72.70,0.50%,No,False,-0.48%,-1.24%,-1.24%,-3.66%,0.87%,"$6,629,868,000.00","$356,135,000.00","$1,080,689,000.00","$14,846,099,000.00","$53,320,363,000.00","$66,503,584,000.00",Total Bond Market,2007-04-03,0.03%,2 Platforms,$2.00,2023-06-01,$0.19,2.76%,0.00,0.14,17699,5.30%,40%,20%,1099,$71.87,$73.66,N/A,N/A,48.09,A,A,A-,C+,B+,A+,6.08,56.58%,41.55%,272.27,2.91%,1.01%
AGG,iShares Core U.S. Aggregate Bond ETF,Bond,"$90,321,500,000",2.52%,"6,611,635",$98.20,0.53%,No,False,-0.42%,-1.20%,-1.22%,-3.60%,0.85%,"$7,233,074,110.00","$28,429,190.00","$1,925,888,070.00","$11,518,964,000.00","$31,784,839,240.00","$43,943,182,250.00",Total Bond Market,2003-09-22,0.03%,2 Platforms,$2.71,2023-06-01,$0.26,2.76%,0.00,0.12,10967,8.69%,40%,20%,1099,$96.99,$99.41,N/A,N/A,48.72,A+,A,A-,C+,B+,A,6.07,54.45%,41.06%,281.2,2.57%,0.93%
VUG,Vanguard Growth ETF,Equity,"$87,614,100,000",26.91%,"931,012",$269.98,0.99%,No,False,0.63%,7.10%,11.26%,11.27%,13.08%,"$1,921,911,059.15","$194,926,291.31","$627,240,181.73","$6,688,212,083.69","$13,774,964,060.68","$20,422,794,447.62",Large Cap Growth Equities,2004-01-26,0.04%,2 Platforms,$1.63,2023-03-23,$0.43,0.61%,28.80,1.11,241,48.57%,40%,20%,1099,$249.99,$274.57,N/A,N/A,65.01,A,A,A,C+,B-,B+,6.71,57.31%,60.45%,46.35,6.06%,8.72%
IJR,iShares Core S&P Small-Cap ETF,Equity,"$68,352,600,000",5.54%,"4,575,620",$99.18,-0.63%,No,False,6.77%,6.64%,-0.90%,12.01%,4.70%,"$167,205,796.80","$47,931,146.05","$139,119,504.05","$3,848,539,234.40","$10,897,805,069.40","$17,179,750,944.40",Small Cap Blend Equities,2000-05-22,0.06%,2 Platforms,$1.55,2023-06-07,$0.35,1.63%,11.90,1.15,603,6.84%,40%,20%,1099,$89.63,$98.32,N/A,N/A,60.37,A+,A,B-,B+,A-,B+,5.34,22.71%,28.60%,110.81,3.75%,7.20%
