Name,Ticker,Weighting
BHP Group Ltd,BHP.AX,3.03%
Commonwealth Bank of Australia,CBA.AX,9.56%
CSL Limited,CSL.AX,8.82%
National Australia Bank Limited,NAB.AX,4.71%
Westpac Banking Corporation,WBC.AX,4.16%
ANZ Group Holdings Limited,ANZ.AX,4.04%
Woodside Energy Group Ltd,WDS.AX,3.92%
"Macquarie Group, Ltd.",MQG.AX,3.74%
Wesfarmers Limited,WES.AX,3.21%
Woolworths Group Ltd,WOW.AX,2.69%
Transurban Group Ltd.,TCL.AX,2.61%
Rio Tinto Limited,RIO.AX,2.44%
Fortescue Metals Group Ltd,FMG.AX,2.01%
Goodman Group,GMG.AX,1.99%
Santos Limited,STO.AX,1.46%
Coles Group Ltd.,COL.AX,1.47%
Newcrest Mining Limited,NCM.AX,1.39%
Aristocrat Leisure Limited,ALL.AX,1.32%
QBE Insurance Group Limited,QB.AXE,1.3%
Brambles Limited,BXB.AX,1.11%
Telstra Group Limited,TLS.AX,1.04%
South32 Ltd.,S32.AX,1.03%
James Hardie Industries PLC Chess Units of Foreign Securities,JHX.AX,1.01%
Suncorp Group Limited,SUN.AX,0.98%
Xero Limited,XRO.AX,0.95%
Cochlear Limited,COH.AX,0.94%
Sonic Healthcare Limited,SHL.AX,0.92%
Northern Star Resources Ltd,NST.AX,0.91%
Origin Energy Limited,ORG.AX,0.85%
Scentre Group,SCG.AX,0.84%
Wisetech Global Ltd.,WTC.AX,0.75%
Computershare Limited,CPU.AX,0.75%
Pilbara Minerals Limited,PLS.AX,0.74%
Insurance Australia Group Ltd,IAG.AX,0.74%
APA Group,APA.AX,0.71%
Mineral Resources Limited,MIN.AX,0.71%
ASX Limited,ASX.AX,0.77%
Lottery Corporation Limited,TLC.AX,0.65%
Ramsay Health Care Limited,RHC.AX,0.63%
Stockland,SGP.AX,0.61%
IGO Limited,IGO.AX,0.58%
Medibank Private Ltd.,MPL.AX,0.58%
Mirvac Group,MGR.AX,0.54%
Bluescope Steel Limited,BSL.AX,0.54%
Dexus,DXS.AX,0.53%
Endeavour Group Ltd,EDV.AX,0.52%
Treasury Wine Estates Limited,TWE.AX,0.48%
GPT Group,GPT.AX,0.47%
Seek Limited,SEK.AX,0.45%
Washington H. Soul Pattinson and Co. Ltd.,SOL.AX,0.45%
Vicinity Centres,VCX.AX,0.43%
Ampol Limited,ALD.AX,0.43%
REA Group Ltd,REA.AX,0.42%
Orica Limited,ORI.AX,0.74%
Aurizon Holdings Ltd.,AZJ.AX,0.39%
IDP Education Ltd.,IEL.AX,0.34%
Qantas Airways Limited,QAN.AX,0.33%
Lendlease Group,LLC.AX,0.37%
Reece Limited,REH.AX,0.25%

