Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SAP.DE","SAP","Information Technology","Equity","171,274,714.50","10.45","171,274,714.50","1,298,315.00","131.92","Germany","Xetra","USD","0.94","EUR","-"
"SIE.DE","SIEMENS N AG","Industrials","Equity","159,966,278.24","9.76","159,966,278.24","944,898.00","169.29","Germany","Xetra","USD","0.94","EUR","-"
"ALV.DE","ALLIANZ","Financials","Equity","112,845,163.50","6.88","112,845,163.50","501,456.00","225.04","Germany","Xetra","USD","0.94","EUR","-"
"DTE.DE","DEUTSCHE TELEKOM N AG","Communication","Equity","82,948,680.69","5.06","82,948,680.69","4,029,865.00","20.58","Germany","Xetra","USD","0.94","EUR","-"
"MBG.DE","MERCEDES-BENZ GROUP N AG","Consumer Discretionary","Equity","81,967,174.16","5.00","81,967,174.16","1,064,458.00","77.00","Germany","Xetra","USD","0.94","EUR","-"
"BAYN.DE","BAYER AG","Health Care","Equity","68,268,380.69","4.16","68,268,380.69","1,221,479.00","55.89","Germany","Xetra","USD","0.94","EUR","-"
"MUV2.DE","MUENCHENER RUECKVERSICHERUNGS-GESE","Financials","Equity","62,569,546.55","3.82","62,569,546.55","174,191.00","359.20","Germany","Xetra","USD","0.94","EUR","-"
"IFX.DE","INFINEON TECHNOLOGIES AG","Information Technology","Equity","61,638,387.84","3.76","61,638,387.84","1,623,688.00","37.96","Germany","Xetra","USD","0.94","EUR","-"
"DPW.DE","DEUTSCHE POST AG","Industrials","Equity","56,510,955.92","3.45","56,510,955.92","1,251,442.00","45.16","Germany","Xetra","USD","0.94","EUR","-"
"BAS.DE","BASF N","Materials","Equity","55,547,630.09","3.39","55,547,630.09","1,111,202.00","49.99","Germany","Xetra","USD","0.94","EUR","-"
"BMW.DE","BMW AG","Consumer Discretionary","Equity","46,957,424.83","2.86","46,957,424.83","411,663.00","114.07","Germany","Xetra","USD","0.94","EUR","-"
"DB1.DE","DEUTSCHE BOERSE AG","Financials","Equity","41,341,948.28","2.52","41,341,948.28","236,235.00","175.00","Germany","Xetra","USD","0.94","EUR","-"
"ADS.DE","ADIDAS N AG","Consumer Discretionary","Equity","34,383,412.48","2.10","34,383,412.48","201,419.00","170.71","Germany","Xetra","USD","0.94","EUR","-"
"VOW3.DE","VOLKSWAGEN NON-VOTING PREF AG","Consumer Discretionary","Equity","34,015,161.83","2.07","34,015,161.83","256,515.00","132.60","Germany","Xetra","USD","0.94","EUR","Jan 02, 1990"
"EOAN.DE","E.ON N","Utilities","Equity","33,571,776.71","2.05","33,571,776.71","2,791,411.00","12.03","Germany","Xetra","USD","0.94","EUR","-"
"RWE.DE","RWE AG","Utilities","Equity","33,201,394.47","2.02","33,201,394.47","786,052.00","42.24","Germany","Xetra","USD","0.94","EUR","-"
"MRK.DE","MERCK","Health Care","Equity","29,290,728.30","1.79","29,290,728.30","160,697.00","182.27","Germany","Xetra","USD","0.94","EUR","-"
"DBK.DE","DEUTSCHE BANK AG","Financials","Equity","25,197,485.91","1.54","25,197,485.91","2,409,033.00","10.46","Germany","Xetra","USD","0.94","EUR","-"
"SHL.DE","SIEMENS HEALTHINEERS AG","Health Care","Equity","19,993,562.83","1.22","19,993,562.83","350,622.00","57.02","Germany","Xetra","USD","0.94","EUR","-"
"DTG.DE","DAIMLER TRUCK HOLDING E AG","Industrials","Equity","19,415,182.49","1.18","19,415,182.49","614,175.00","31.61","Germany","Xetra","USD","0.94","EUR","-"
"SY1.DE","SYMRISE AG","Materials","Equity","17,703,180.00","1.08","17,703,180.00","165,102.00","107.23","Germany","Xetra","USD","0.94","EUR","-"
"P911.DE","DR ING HC F PORSCHE AG","Consumer Discretionary","Equity","17,600,973.69","1.07","17,600,973.69","141,566.00","124.33","Germany","Xetra","USD","0.94","EUR","-"
"VNA.DE","VONOVIA SE","Real Estate","Equity","17,108,241.74","1.04","17,108,241.74","890,552.00","19.21","Germany","Xetra","USD","0.94","EUR","-"
"HEN3.DE","HENKEL & KGAA PREF AG","Consumer Staples","Equity","16,823,583.83","1.03","16,823,583.83","210,387.00","79.96","Germany","Xetra","USD","0.94","EUR","-"
"ENR.DE","SIEMENS ENERGY N AG","Industrials","Equity","16,822,546.29","1.03","16,822,546.29","645,711.00","26.05","Germany","Xetra","USD","0.94","EUR","-"
"HNR1.DE","HANNOVER RUECK","Financials","Equity","16,059,763.54","0.98","16,059,763.54","74,925.00","214.34","Germany","Xetra","USD","0.94","EUR","-"
"BEI.DE","BEIERSDORF AG","Consumer Staples","Equity","15,972,496.98","0.97","15,972,496.98","125,290.00","127.48","Germany","Xetra","USD","0.94","EUR","-"
"MTX.DE","MTU AERO ENGINES HOLDING AG","Industrials","Equity","15,771,465.87","0.96","15,771,465.87","66,604.00","236.79","Germany","Xetra","USD","0.94","EUR","-"
"BNR.DE","BRENNTAG","Industrials","Equity","15,514,969.13","0.95","15,514,969.13","191,969.00","80.82","Germany","Xetra","USD","0.94","EUR","-"
"FRE.DE","FRESENIUS SE AND CO KGAA","Health Care","Equity","14,531,130.76","0.89","14,531,130.76","525,215.00","27.67","Germany","Xetra","USD","0.94","EUR","-"
"CBK.DE","COMMERZBANK AG","Financials","Equity","13,654,317.85","0.83","13,654,317.85","1,328,243.00","10.28","Germany","Xetra","USD","0.94","EUR","-"
"RHM.DE","RHEINMETALL AG","Industrials","Equity","13,607,711.67","0.83","13,607,711.67","54,119.00","251.44","Germany","Xetra","USD","0.94","EUR","-"
"HEI.DE","HEIDELBERG MATERIALS AG","Materials","Equity","13,509,468.88","0.82","13,509,468.88","180,064.00","75.03","Germany","Xetra","USD","0.94","EUR","-"
"QIA.DE","QIAGEN NV","Health Care","Equity","12,974,178.03","0.79","12,974,178.03","282,631.00","45.91","Germany","Xetra","USD","0.94","EUR","-"
"SRT3.DE","SARTORIUS PREF AG","Health Care","Equity","11,955,370.03","0.73","11,955,370.03","32,604.00","366.68","Germany","Xetra","USD","0.94","EUR","-"
"FME.DE","FRESENIUS MEDICAL CARE AG","Health Care","Equity","11,334,389.67","0.69","11,334,389.67","254,863.00","44.47","Germany","Xetra","USD","0.94","EUR","-"
"PAH3.DE","PORSCHE AUTOMOBIL HOLDING PREF","Consumer Discretionary","Equity","11,232,850.45","0.69","11,232,850.45","190,350.00","59.01","Germany","Xetra","USD","0.94","EUR","Jan 02, 1990"
"1COV.DE","COVESTRO AG","Materials","Equity","9,927,013.46","0.61","9,927,013.46","240,130.00","41.34","Germany","Xetra","USD","0.94","EUR","-"
"CON.DE","CONTINENTAL AG","Consumer Discretionary","Equity","9,749,618.70","0.59","9,749,618.70","136,771.00","71.28","Germany","Xetra","USD","0.94","EUR","-"
"HEN.DE","HENKEL AG","Consumer Staples","Equity","9,287,718.44","0.57","9,287,718.44","129,553.00","71.69","Germany","Xetra","USD","0.94","EUR","-"
"G1A.DE","GEA GROUP AG","Industrials","Equity","8,134,027.62","0.50","8,134,027.62","188,894.00","43.06","Germany","Xetra","USD","0.94","EUR","-"
"DHER.DE","DELIVERY HERO","Consumer Discretionary","Equity","7,969,025.44","0.49","7,969,025.44","215,349.00","37.01","Germany","Xetra","USD","0.94","EUR","-"
"BMW3.DE","BMW PREF AG","Consumer Discretionary","Equity","7,886,277.83","0.48","7,886,277.83","73,991.00","106.58","Germany","Xetra","USD","0.94","EUR","-"
"ZAL.DE","ZALANDO","Consumer Discretionary","Equity","7,622,292.79","0.46","7,622,292.79","279,497.00","27.27","Germany","Xetra","USD","0.94","EUR","-"
"LHA.DE","DEUTSCHE LUFTHANSA AG","Industrials","Equity","7,262,463.91","0.44","7,262,463.91","743,177.00","9.77","Germany","Xetra","USD","0.94","EUR","-"
"PUM.DE","PUMA","Consumer Discretionary","Equity","6,619,403.02","0.40","6,619,403.02","131,910.00","50.18","Germany","Xetra","USD","0.94","EUR","-"
"KBX.DE","KNORR BREMSE AG","Industrials","Equity","6,298,210.96","0.38","6,298,210.96","89,726.00","70.19","Germany","Xetra","USD","0.94","EUR","-"
"G24.DE","SCOUT24 N","Communication","Equity","6,035,347.77","0.37","6,035,347.77","93,222.00","64.74","Germany","Xetra","USD","0.94","EUR","-"
"AFX.DE","CARL ZEISS MEDITEC AG","Health Care","Equity","5,911,108.32","0.36","5,911,108.32","50,039.00","118.13","Germany","Xetra","USD","0.94","EUR","-"
"NEM.DE","NEMETSCHEK","Information Technology","Equity","5,748,503.87","0.35","5,748,503.87","71,811.00","80.05","Germany","Xetra","USD","0.94","EUR","-"
"LEG.DE","LEG IMMOBILIEN N","Real Estate","Equity","5,144,659.42","0.31","5,144,659.42","92,297.00","55.74","Germany","Xetra","USD","0.94","EUR","-"
"EVK.DE","EVONIK INDUSTRIES AG","Materials","Equity","5,112,185.11","0.31","5,112,185.11","259,679.00","19.69","Germany","Xetra","USD","0.94","EUR","-"
"TLX.DE","TALANX AG","Financials","Equity","4,450,596.48","0.27","4,450,596.48","79,147.00","56.23","Germany","Xetra","USD","0.94","EUR","-"
"RAA.DE","RATIONAL AG","Industrials","Equity","4,296,339.83","0.26","4,296,339.83","6,369.00","674.57","Germany","Xetra","USD","0.94","EUR","-"
"HFG.DE","HELLOFRESH","Consumer Staples","Equity","4,133,290.38","0.25","4,133,290.38","204,351.00","20.23","Germany","Xetra","USD","0.94","EUR","-"
"BC8.DE","BECHTLE AG","Information Technology","Equity","4,046,153.04","0.25","4,046,153.04","101,989.00","39.67","Germany","Xetra","USD","0.94","EUR","-"
"WCH.DE","WACKER CHEMIE AG","Materials","Equity","3,100,016.76","0.19","3,100,016.76","22,815.00","135.88","Germany","Xetra","USD","0.94","EUR","-"
"O2D.DE","TELEFONICA DEUTSCHLAND HOLDING AG","Communication","Equity","3,090,862.57","0.19","3,090,862.57","1,108,598.00","2.79","Germany","Xetra","USD","0.94","EUR","-"
