Name,Ticker,Weighting
Toyota Motor Corp.,7203.T,4.42%
Sony Group Corporation,6758.T,3.54%
Keyence Corporation,6861.T,2.79%
"Mitsubishi UFJ Financial Group, Inc.",8306.T,2.23%
"Daiichi Sankyo Company, Limited",4568.T,1.83%
Tokyo Electron Ltd.,8035.T,1.78%
Shin-Etsu Chemical Co Ltd,4063.T,1.74%
"Hitachi,Ltd.",6501.T,1.63%
"DAIKIN INDUSTRIES, LTD.",6367.T,1.57%
Mitsubishi Corporation,8058.T,1.55%
"Sumitomo Mitsui Financial Group, Inc.",8316.T,1.52%
Takeda Pharmaceutical Co. Ltd.,4502.T,1.45%
KDDI Corporation,9433.T,1.34%
"Honda Motor Co., Ltd.",7267.T,1.33%
"Recruit Holdings Co., Ltd.",6098.T,1.32%
HOYA CORPORATION,7741.T,1.31%
"Mitsui & Co.,Ltd",8031.T,1.31%
"Nintendo Co., Ltd.",7974.T,1.28%
SoftBank Group Corp.,9984.T,1.27%
Itochu Corporation,8001.T,1.26%
"FAST RETAILING CO., LTD.",9983.T,1.24%
"Tokio Marine Holdings, Inc.",8766.T,1.21%
"Oriental Land Co., Ltd.",4661.T,1.21%
"Mizuho Financial Group, Inc.",8411.T,1.03%
"Murata Manufacturing Co., Ltd.",6981.T,1.01%
Nippon Telegraph and Telephone Corporation,9432.T,0.99%
Fanuc Corporation,6954.T,0.99%
SMC Corporation,6273.T,0.96%
"Seven & I Holdings Co., Ltd.",3382.T,0.94%
SoftBank Corp.,9434.T,0.87%
Astellas Pharma Inc.,4503.T,0.84%
DENSO CORPORATION,6902.T,0.81%
Mitsubishi Electric Corp.,6503.T,0.78%
Japan Tobacco Inc.,2914.T,0.76%
Panasonic Holdings Corporation,6752.T,0.73%
Canon Inc.,7751.T,0.72%
Advantest Corp.,6857.T,0.69%
Fujitsu Limited,6702.T,0.69%
Bridgestone Corporation,5108.T,0.67%
FUJIFILM Holdings Corp,4901.T,0.67%
Komatsu Ltd.,6301.T,0.67%
Marubeni Corporation,8002.T,0.67%
Sumitomo Corporation,8053.T,0.64%
Renesas Electronics Corporation,6723.T,0.63%
Nidec Corporation,6594.T,0.62%
