Name,Ticker,Weighting
DBS Group Holdings Ltd,D05.SI,1.33%
Oversea-Chinese Banking Corporation Limited,O39.SI,1.53%
United Overseas Bank Ltd. (Singapore),U11.SI,9.44%
Sea Limited Sponsored ADR Class A,SE.SI,7.29%
Singapore Airlines Ltd.,C6L.SI,4.47%
Singapore Telecommunications Limited,Z74.SI,4.34%
CapitaLand Ascendas REIT,A17U.SI,4.08%
Keppel Corporation Limited,BN.SI4,4.0%
Grab Holdings Limited Class A,GRAB.SI,3.84%
Singapore Exchange Ltd.,S68.SI,3.76%
Wilmar International Limited,F34.SI,3.61%
Singapore Technologies Engineering Ltd,S63.SI,3.05%
Genting Singapore Limited,G13.SI,3.04%
Mapletree Logistics Trust,M44U.SI,2.96%
Seatrium Limited,S51.SI,2.59%
CapitaLand Integrated Commercial Trust,C38U.SI,2.48%
Mapletree Pan Asia Commercial Trust,N2IU.SI,2.36%
Venture Corporation Limited,V03.SI,2.29%
UOL Group Limited,U14.SI,2.11%
City Developments Limited,C09.SI,2.06%
Jardine Cycle & Carriage Limited,C07.SI,1.95%
CapitaLand Investment Limited,9CI.SI,1.94%
