Name,Ticker,Weighting
Nokia Oyj,NOKIA.HE,0.35%
Sampo Oyj Class A,SAMPO.HE,1.05%
Neste Corporation,NESTE.HE,8.03%
Kone Oyj Class B,KNEBV.HE,7.93%
UPM-Kymmene Oyj,UPM.HE,7.77%
Stora Enso Oyj Class R,STERV.HE,4.66%
Metso Corporation,METSO.HE,4.43%
Elisa Oyj Class A,ELISA.HE,4.07%
Fortum Oyj,FORTUM.HE,3.56%
Wartsila Oyj Abp,WRT1V.HE,3.45%
Kesko Oyj Class B,KESKOB.HE,3.23%
Valmet Corp,VALMT.HE,3.07%
Orion Oyj Class B,ORNBV.HE,2.81%
Huhtamaki Oyj,HUH1V.HE,2.05%
TietoEVRY Oyj,TIETO.HE,1.92%
Konecranes Oyj,KCR.HE,1.77%
Cargotec Oyj Class B,CGCBV.HE,1.49%
Outokumpu Oyj,OUT1V.HE,1.44%
Kemira Oyj,KEMIRA.HE,1.27%
Uponor Oyj Class A,UPONOR.HE,1.24%
Qt Group Plc,QTCOM.HE,1.22%
Metsa Board Oyj Class B,METSB.HE,1.05%
Kojamo Oyj,KOJAMO.HE,1.02%
Nokian Renkaat Oyj,TYRES.HE,0.95%
Caverion Oyj,CAV1V.HE,0.71%
Revenio Group Oyj,REG1V.HE,0.68%
Musti Group Oyj,MUSTI.HE,0.63%
Tokmanni Group Oyj,TOKMAN.HE,0.63%
Citycon Oyj,CTY1S.HE,0.61%
Aktia Pankki Oyj Class A,AKTIA.HE,0.62%
Kempower Oy,KEMPOWR.HE,0.57%
Rovio Entertainment Oyj,ROVIO.HE,0.53%
Puuilo Oyj,PUUILO.HE,0.51%
Finnair Oyj,FIA1S.HE,0.47%
Marimekko Oyj,MEKKO.HE,0.45%
YIT Oyj,YIT.HE,0.41%
Talenom Oyj,TNOM.HE,0.41%
F-Secure Oyj,FSECURE.HE,0.24%
Anora Group Oyj,ANORA.HE,0.38%
Incap Oyj,ICP1V.HE,0.38%
Oriola Corp Class B,OKDBV.HE,0.33%
