Name,Ticker,Weighting
LVMH Moet Hennessy Louis Vuitton SE,MC.PA,12.8%
TotalEnergies SE,TTE.PA,7.39%
Sanofi,SAN.PA,6.15%
L\'Oreal S.A.,OR.PA,5.49%
Schneider Electric SE,SU.PA,5.04%
L\'Air Liquide S.A.,AI.PA,4.65%
Airbus SE,AIR.PA,4.25%
BNP Paribas S.A. Class A,BNP.PA,3.62%
Hermes International SCA,RMS.PA,3.41%
VINCI SA,DG.PA,3.23%
AXA SA,CS.PA,2.82%
EssilorLuxottica SA,EL.PA,2.78%
Safran S.A.,SAF.PA,2.63%
Pernod Ricard SA,RI.PA,2.33%
Kering SA,KER.PA,2.13%
Danone SA,BN.PA,1.99%
STMicroelectronics NV,STMPA.PA,1.69%
Capgemini SE,CAP.PA,1.58%
Compagnie de Saint-Gobain SA,SGO.PA,1.57%
Dassault Systemes SA,DSY.PA,1.56%
ENGIE SA.,ENGI.PA,1.47%
Legrand SA,LR.PA,1.35%
Orange SA,ORA.PA,1.12%
Veolia Environnement SA,VIE.PA,1.12%
Cie Generale des Etablissements Michelin SA,ML.PA,1.06%
Societe Generale S.A. Class A,GLE.PA,0.95%
Publicis Groupe SA,PUB.PA,0.94%
Edenred SA,EDEN.PA,0.86%
Thales SA,HO.PA,0.77%
Credit Agricole SA,ACA.PA,0.75%
ArcelorMittal SA,MT.PA,0.69%
Carrefour SA,CA.PA,0.56%
Sodexo SA,SW.PA,0.51%
Alstom SA,ALO.PA,0.51%
Worldline SA,WLN.PA,0.51%
Eurofins Scientific SE,ERF.PA,0.47%
Teleperformance SA,TEP.PA,0.47%
Sartorius Stedim Biotech SA,DIM.PA,0.42%
Eiffage SA,FGR.PA,0.41%
Bureau Veritas SA,BVI.PA,0.41%
Renault SA,RNO.PA,0.36%
Bouygues SA,EN.PA,0.35%
Vivendi SE,VIV.PA,0.34%
Accor SA,AC.PA,0.34%
Getlink SE,GET.PA,0.32%
Euronext NV,ENX.PA,0.31%
Unibail-Rodamco-Westfield SE Stapled Secs Cons of 1 Sh Unibail Rodamco + 1 Sh WFD Unib Rod,URW.PA,0.31%
Bollore SE,BOL.PA,0.28%
Klepierre SA,LI.PA,0.27%
Arkema SA,AKE.PA,0.27%
Gecina SA,GFC.PA,0.26%
Valeo SE,FR.PA,0.24%
Ipsen SA,IPN.PA,0.24%
Aeroports de Paris ADP,ADP.PA,0.23%
Dassault Aviation SA,AM.PA,0.23%
La Francaise des Jeux SA,FDJ.PA,0.22%
bioMerieux SA,BIM.PA,0.22%
Remy Cointreau SA,RCO.PA,0.19%
Amundi SA,AMUN.PA,0.19%
Eurazeo SA,RF.PA,0.16%
Wendel SE,MF.PA,0.15%
Covivio SA,COV.PA,0.13%
SEB SA,SK.PA,0.12%
