Name,Ticker,Weighting
Eurobank Ergasias Services & Holdings SA,EUROB.AT,0.75%
National Bank of Greece S.A.,ETE.AT,8.52%
MYTILINEOS S.A.,MYTIL.AT,8.27%
Greek Organisation of Football Prognostics SA,OPAP.AT,7.97%
Hellenic Telecommunications Organization SA,HTO.AT,7.89%
Alpha Services & Holdings SA,ALPHA.AT,5.21%
Public Power Corporation S.A.,PPC.AT,5.06%
Piraeus Financial Holdings S.A.,TPEIR.AT,5.05%
MOTOR OIL (HELLAS) CORINTH REFINERIES S.A.,MOH.AT,4.49%
Terna Energy S.A.,TENERGY.AT,4.43%
Jumbo S.A.,BELA.AT,4.43%
GEK Terna Holding Real Estate Construction SA,GEKTERNA.AT,3.44%
Titan Cement International N.V.,TITC.AT,3.06%
HELLENiQ ENERGY Holdings S.A.,ELPE.AT,2.23%
Aegean Airlines SA,AEGN.AT,2.23%
LAMDA Development S.A.,LAMDA.AT,2.22%
Hellenic Exchanges - Athens Stock Exchange S.A.,EXAE.AT,1.29%
GasLog Partners LP,GLOP.AT,1.73%
Athens Water Supply and Sewerage Company S.A.,EYDAP.AT,1.68%
GR. SARANTIS S.A.,SAR.AT,1.66%
Tsakos Energy Navigation Limited,TNP.AT,1.65%
Ellaktor SA,ELLAKTOR.AT,1.59%
Admie Holdings SA,ADMIE.AT,1.54%
Capital Product Partners LP,CPLP,1.47%
Autohellas SA,OTOEL.AT,1.46%
Folli Follie Commercial Manufacturing and Technical S.A. Unsponsored ADR,FLLIY,0.0%
