Name,Ticker,Weighting
AIA Group Limited,1299.HK,2.78%
Hong Kong Exchanges & Clearing Ltd.,0388.HK,11.9%
Sun Hung Kai Properties Limited,0016.HK,4.82%
CK Hutchison Holdings Ltd,0001.HK,4.22%
Link Real Estate Investment Trust,0823.HK,3.95%
Galaxy Entertainment Group Limited,0027.HK,3.67%
"Techtronic Industries Co., Ltd.",0669.HK,3.42%
CLP Holdings Limited,0002.HK,3.15%
BOC Hong Kong (Holdings) Limited,2388.HK,3.03%
CK Asset Holdings Limited,1113.HK,2.98%
"Hang Seng Bank, Limited",0011.HK,2.91%
Hong Kong & China Gas Co. Ltd.,0003.HK,2.78%
Jardine Matheson Holdings Limited,J36.SI,2.48%
Wharf Real Estate Investment Company Limited,1997.HK,2.42%
Sands China Ltd.,1928.HK,2.35%
Power Assets Holdings Limited,0006.HK,2.06%
MTR Corporation Limited,0066.HK,2.01%
Hongkong Land Holdings Limited,H78.SI,1.37%
Sino Land Co. Ltd.,0083.HK,1.37%
Budweiser Brewing Co. APAC Ltd.,1876.HK,1.35%
HKT Trust and HKT Ltd,6823.HK,1.35%
WH Group Ltd. (HK),0288.HK,1.34%
Henderson Land Development Co. Ltd.,0012.HK,1.29%
New World Development Co. Ltd.,0017.HK,1.16%
ESR Group Limited,1821.HK,1.07%
Hang Lung Properties Limited,0101.HK,1.05%
Swire Pacific Limited Class A,0019.HK,1.03%
Swire Properties Limited,1972.HK,0.96%
CK Infrastructure Holdings Limited,1038.HK,0.96%
Xinyi Glass Holdings Limited,0868.HK,0.19%
"SITC International Holdings Co., Ltd.",1308.HK,0.81%
Futu Holdings Ltd. Sponsored ADR Class A,FUTU,0.78%
