Name,Ticker,Weighting
Reliance Industries Limited,500325,9.66%
ICICI Bank Limited,532174,6.16%
Housing Development Finance Corporation Limited,500010,5.86%
Infosys Limited,500209,5.41%
Tata Consultancy Services Limited,532540,3.76%
Hindustan Unilever Limited,500696,2.81%
Axis Bank Limited,532215,2.79%
Kotak Mahindra Bank Limited,500247,2.62%
Bajaj Finance Limited,500034,2.42%
Bharti Airtel Limited,532454,2.36%
Larsen & Toubro Ltd.,500510,2.04%
ITC Limited,500875,1.68%
Maruti Suzuki India Limited,532500,1.67%
Mahindra & Mahindra Ltd.,500520,1.63%
Asian Paints Ltd.,500820,1.56%
HCL Technologies Limited,532281,1.36%
State Bank of India,500112,1.33%
Titan Company Limited,500114,1.31%
Sun Pharmaceutical Industries Limited,524715,1.21%
UltraTech Cement Limited,532538,1.19%
Tata Motors Limited,500570,1.18%
Power Grid Corporation of India Limited,532898,1.07%
Tata Steel Limited,500470,1.03%
U.S. Dollar,Other,1.02%
NTPC Limited,532555,1.01%
Nestle India Ltd.,500790,0.95%
HDFC Life Insurance Co. Ltd.,540777,0.73%
Tech Mahindra Limited,532755,0.73%
Avenue Supermarts Ltd.,540376,0.73%
Bajaj Finserv Limited,532978,0.71%
SBI Life Insurance Co. Ltd.,540719,0.71%
Wipro Limited,507685,0.69%
Britannia Industries Ltd,500825,0.67%
Hindalco Industries Limited,500440,0.65%
Cipla Ltd,500087,0.64%
Dr. Reddy\'s Laboratories Ltd.,500124,0.64%
Apollo Hospitals Enterprise Limited,508869,0.63%
Eicher Motors Limited,505200,0.63%
Oil & Natural Gas Corp. Ltd.,500312,0.62%
JSW Steel Limited,500228,0.57%
Grasim Industries Ltd,500300,0.57%
Tata Consumer Products Limited,500800,0.57%
Godrej Consumer Products Limited,532424,0.55%
Max Healthcare Institute Ltd,543220,0.55%
Cholamandalam Investment and Finance Co. Ltd.,511243,0.55%
LTIMindtree Limited,540005,0.54%
Bharat Electronics Limited,500049,0.54%
Divi\'s Laboratories Limited,532488,0.53%
Adani Enterprises Limited,512599,0.53%
Pidilite Industries Limited,500331,0.51%
Adani Ports & Special Economic Zone Limited,532921,0.49%
Srf Limited,503806,0.47%
Varun Beverages Ltd.,540180,0.46%
Coal India Ltd.,533278,0.45%
UPL Limited,512070,0.43%
Havells India Limited,517354,0.43%
Dabur India Limited,500096,0.43%
InterGlobe Aviation Ltd,539448,0.42%
Siemens Limited,500550,0.41%
Indian Hotels Co. Ltd.,500850,0.41%
Zomato Ltd.,543320,0.41%
Hero Motocorp Limited,500182,0.41%
Bajaj Auto Limited,532977,0.41%
Tata Power Company Limited,500400,0.41%
TVS Motor Company Limited,532343,0.14%
Shriram Finance Limited,511218,0.41%
Adani Green Energy Limited,541450,0.39%
Tube Investments of India Limited,540762,0.39%
ICICI Lombard General Insurance Co. Ltd.,540716,0.38%
DLF Limited,532868,0.38%
Hindustan Aeronautics Limited,541154,0.38%
Info Edge India Ltd.,532777,0.37%
Trent Limited,500251,0.37%
Marico Limited,531642,0.36%
Bharat Petroleum Corporation Limited,500547,0.35%
PI Industries Limited,523642,0.35%
Ambuja Cements Limited,500425,0.34%
Tata Elxsi Limited,500408,0.34%
SBI Cards & Payment Services Ltd,543066,0.33%
United Spirits Limited,532432,0.32%
Indian Oil Corp. Ltd.,530965,0.32%
Page Industries Limited,532827,0.31%
GAIL (India) Limited,532155,0.13%
Shree Cement Limited,500387,0.29%
CG Power & Industrial Solutions Ltd,500093,0.29%
ABB India Limited,500002,0.28%
Yes Bank Limited,532648,0.27%
Adani Power Limited,533096,0.27%
Vedanta Limited,500295,0.26%
Bharat Forge Ltd,500493,0.26%
Bank of Baroda,532134,0.25%
Colgate-Palmolive (India) Limited,500830,0.25%
Jindal Steel & Power Ltd.,532286,0.24%
Samvardhana Motherson International Limited,517334,0.24%
Jubilant Foodworks Limited,533155,0.24%
Container Corporation of India Limited,531344,0.24%
Bandhan Bank Ltd.,541153,0.24%
MRF Limited,500290,0.24%
Bajaj Holdings & Investment Limited.,500490,0.23%
ICICI Prudential Life Insurance Co. Ltd.,540133,0.23%
Godrej Properties Limited,533150,0.23%
Torrent Pharmaceuticals Ltd,500420,0.23%
Aurobindo Pharma Ltd,524804,0.22%
Balkrishna Industries Limited,502355,0.22%
Petronet Lng Limited,532522,0.21%
Lupin Limited,500257,0.21%
Sona BLW Precision Forgings Ltd.,543300,0.21%
Indian Railway Catering & Tourism Corp. Ltd.,542830,0.12%
Berger Paints India Limited,509480,0.12%
Hindustan Petroleum Corporation Limited,500104,0.19%
Indraprastha Gas Limited,532514,0.19%
Mphasis Limited,526299,0.18%
Muthoot Finance Limited,533398,0.17%
AU Small Finance Bank Limited,540611,0.16%
ACC Limited,500410,0.15%
