Name,Ticker,Weighting
PT Bank Central Asia Tbk,BBCA.JK,20.7%
PT Bank Rakyat Indonesia (Persero) Tbk Class B,BBRI.JK,15.2%
PT Telkom Indonesia (Persero) Tbk Class B,TLKM.JK,8.25%
PT Astra International Tbk,ASII.JK,4.38%
PT Bank Mandiri (Persero) Tbk,BMRI.JK,4.36%
PT GoTo Gojek Tokopedia Tbk,GOTO.JK,3.93%
PT Bank Negara Indonesia (Persero) Tbk Class B,BBNI.JK,3.15%
PT Kalbe Farma Tbk,KLBF.JK,2.05%
PT Sumber Alfaria Trijaya,AMRT.JK,1.97%
PT Charoen Pokphand Indonesia Tbk,CPIN.JK,1.81%
PT Unilever Indonesia Tbk,UNVR.JK,1.74%
PT Indofood Sukses Makmur Tbk,INDF.JK,1.65%
PT Merdeka Copper Gold Tbk,MDKA.JK,1.63%
PT Adaro Energy Indonesia Tbk,ADRO.JK,1.57%
PT Indofood CBP Sukses Makmur Tbk,ICBP.JK,1.37%
PT Indah Kiat Pulp & Paper Tbk,INKP.JK,1.11%
PT Barito Pacific Tbk,BRPT.JK,1.12%
PT Semen Indonesia (Persero) Tbk,SMGR.JK,1.09%
PT Aneka Tambang Tbk,ANTM.JK,0.97%
PT Mitra Adiperkasa Tbk,MAPI.JK,0.95%
PT Perusahaan Gas Negara Tbk Class B,PGAS.JK,0.94%
PT Sarana Menara Nusantara Tbk,TOWR.JK,0.87%
PT Bukit Asam Tbk,PTBA.JK,0.82%
PT Indocement Tunggal Prakarsa Tbk,INTP.JK,0.76%
PT AKR Corporindo Tbk,AKRA.JK,0.74%
PT Ciputra Development Tbk,CTRA.JK,0.72%
PT Vale Indonesia Tbk,INCO.JK,0.68%
PT Indo Tambangraya Megah Tbk,ITMG.JK,0.64%
PT XL Axiata Tbk,EXCL.JK,0.63%
PT Pakuwon Jati Tbk,PWON.JK,0.62%
PT Bumi Serpong Damai Tbk,BSDE.JK,0.59%
PT Medco Energi Internasional Tbk,MEDC.JK,0.57%
PT Bank Tabungan Negara (Persero) Tbk,BBTN.JK,0.56%
PT Jasa Marga (Persero) Tbk Class B,JSMR.JK,0.54%
PT Summarecon Agung Tbk,SMRA.JK,0.52%
PT Bukalapak.com Tbk,BUKA.JK,0.51%
PT Pacific Strategic Financial Tbk Class A,APIC.JK,0.49%
U.S. Dollar,Other.JK,0.45%
PT Pabrik Kertas Tjiwi Kimia Tbk,TKIM.JK,0.41%
PT Industri Jamu dan Farmasi Sido Muncul Tbk,SIDO.JK,0.42%
PT BFI Finance Indonesia Tbk,BFIN.JK,0.39%
PT Metro Healthcare Indonesia Tbk,CARE.JK,0.37%
PT Panin Financial Tbk,PNLF.JK,0.36%
PT Erajaya Swasembada Tbk,ERAA.JK,0.36%
PT Japfa Comfeed Indonesia Tbk Class A,JPFA.JK,0.36%
PT Medikaloka Hermina Tbk,HEAL.JK,0.33%
PT ACE Hardware Indonesia Tbk,ACES.JK,0.32%
PT Bank Pembangunan Daerah Jawa Barat & Banten Tbk,BJBR.JK,0.32%
PT Bumi Resources Tbk Class A,BUMI.JK,0.32%
PT Perusahaan Perkebunan London Sumatra Indonesia Tbk,LSIP.JK,0.29%
PT Media Nusantara Citra Tbk,MNCN.JK,0.28%
PT Transcoal Pacific,TCPI.JK,0.27%
PT Bank BTPN Syariah Tbk,BTPS.JK,0.26%
PT Bank Aladin Syariah Tbk,BANK.JK,0.25%
PT Bank Pembangunan Daerah Jawa Timur Tbk Class B,BJTM.JK,0.25%
PT Bumi Resources Minerals Tbk,BRMS.JK,0.24%
PT Astrindo Nusantara Infrastruktur Tbk,BIPI.JK,0.24%
PT Smartfren Telecom Tbk Class A,FREN.JK,0.24%
PT Surya Citra Media Tbk,SCMA.JK,0.22%
PT Lippo Karawaci Tbk,LPKR.JK,0.22%
PT Bank KB Bukopin Tbk Class B,BBKP.JK,0.22%
PT Cisarua Mountain Dairy Tbk,CMRY.JK,0.22%
PT Surya Esa Perkasa Tbk,ESSA.JK,0.19%
PT MAP Aktif Adiperkasa Tbk,MAPA.JK,0.17%
PT Sawit Sumbermas Sarana Tbk,SSMS.JK,0.16%
PT United Tractors Tbk,UNTR.JK,0.16%
PT PP (Persero) Tbk,PTPP.JK,0.16%
PT Waskita Karya (Persero) Tbk Class B,WSKT.JK,0.16%
PT Harum Energy Tbk,HRUM.JK,0.15%
PT Berkah Beton Sadaya Tbk,BEBS.JK,0.15%
PT Wijaya Karya (Persero) Tbk,WIKA.JK,0.13%
PT Indika Energy Tbk,INDY.JK,0.13%
PT Matahari Department Store Tbk Class A,LPPF.JK,0.12%
PT Temas Tbk,TMAS.JK,0.11%
PT Metrodata Electronics Tbk,MTDL.JK,0.11%
PT Bank Neo Commerce Tbk,BBYB.JK,0.12%
PT Timah Tbk,TINS.JK,0.08%
PT Energi Mega Persada Tbk,ENRG.JK,0.07%
PT Digital Mediatama Maxima Tbk,DMMX.JK,0.06%
PT Astra Agro Lestari Tbk,AALI.JK,0.05%
