Name,Ticker,Weighting
CRH public limited company,CRG,2.23%
Flutter Entertainment Plc,FLTR.L,2.26%
Ryanair Holdings Plc Sponsored ADR,RYAAY,4.84%
ICON Plc,ICLR,4.74%
Bank of Ireland Group Plc,BIRG.IR,4.67%
Smurfit Kappa Group PLC,SK3.IR,4.51%
AIB Group plc,A5G.IR,4.42%
Kingspan Group Plc,KRX.IR,4.42%
Kerry Group Plc Class A,KRZ.IR,4.35%
Glanbia Plc,GL9.IR,3.53%
Grafton Group Plc,GFTU.IR,3.05%
Dalata Hotel Group Plc,DHG.IR,2.23%
Uniphar PLC,UPR.IR,1.98%
Cairn Homes PLC,C5H.IR,1.82%
Dole Plc,DOLE.IR,1.72%
C&C Group Plc,GCC.IR,1.62%
Glenveagh Properties Plc,GVR.IR,1.58%
Ardagh Metal Packaging S.A,AMBP.IR,1.35%
Irish Residential Properties REIT PLC,IRES.IR,1.22%
Origin Enterprises Plc,OIZ.IR,1.20%
Kenmare Resources Plc,KMR.IR,0.99%
permanent tsb Group Holdings PLC,PTSB.IR,0.74%
GH Research Plc,GHRS.IR,0.21%
FBD Holdings Plc,EG7.IR,0.18%
