Name,Ticker,Weighting
NICE Ltd.,NICE,8.05%
Check Point Software Technologies Ltd.,CHKP,7.04%
Bank Leumi Le-Israel Ltd.,LUMI.TA,6.95%
Bank Hapoalim BM,POLI.TA,6.63%
Teva Pharmaceutical Industries Limited Sponsored ADR,TEVA.TA,4.83%
Israel Discount Bank Limited Class A,DSCT.TA,3.85%
Mizrahi Tefahot Bank Ltd,MZTF.TA,3.23%
Elbit Systems Ltd,ESLT.TA,3.21%
Tower Semiconductor Ltd,TSEM.TA,2.51%
ICL Group Ltd.,ICL.TA,2.51%
Nova Ltd.,NVMI.TA,1.95%
Bezeq The Israel Telecommunication Corp. Ltd.,BEZQ.TA,1.59%
Azrieli Group Ltd.,AZRG.TA,1.44%
First International Bank of Israel Ltd,FIBI.TA,1.32%
Enlight Renewable Energy Ltd,ENLT.TA,1.13%
Phoenix Holdings Ltd.,PHOE.TA,1.11%
Melisron Limited,MLSR.TA,1.01%
Mivne Real Estate (K.D) Ltd.,MVNE.TA,0.96%
Perion Network Ltd,PERI.TA,0.88%
Shufersal Ltd Class B,SAE.TA,0.83%
ZIM Integrated Shipping Services Ltd.,ZIM,0.78%
Amot Investments Ltd.,AMOT.TA,0.74%
Strauss Group Ltd,STRS.TA,0.74%
Alony Hetz Properties & Investments Ltd.,ALHE.TA,0.72%
Paz Oil Co. Ltd.,PZOL.TA,0.64%
Delek Group Ltd.,DLEKG.TA,0.63%
BIG Shopping Centers Ltd.,BIG.TA,0.62%
Shapir Engineering and Industry Ltd,SPEN.TA,0.61%
Clal Insurance Enterprises Holdings Limited,CLIS.TA,0.16%
Airport City Ltd,ARPT.TA,0.57%
Israel Corporation Ltd.,ILCO.TA,0.57%
Harel Insurance Investments & Financial Services Ltd.,HARL.TA,0.56%
Electra Ltd,ELTR.TA,0.56%
Energix-Renewable Energies Ltd.,ENRG.TA,0.56%
Camtek Ltd,CAMT.TA,0.53%
Isracard Ltd.,ISCD.TA,0.15%
REIT 1 Ltd,RIT1.TA,0.15%
Sapiens International Corporation NV,SPNS.TA,0.47%
FIBI Holdings Ltd.,FIBIH.TA,0.44%
OPC Energy Ltd.,OPCE.TA,0.44%
Oil Refineries Ltd.,ORL.TA,0.43%
Fattal Holdings (1998) Ltd.,FTAL.TA,0.42%
Formula Systems (1985) Ltd.,FORTY.TA,0.42%
Hilan Ltd.,HLAN.TA,0.41%
Fox-Wizel Ltd.,FOX.TA,0.41%
Matrix IT Ltd.,MTRX.TA,0.41%
Maytronics Ltd.,MTRN.TA,0.38%
Equital Ltd.,EQTL.TA,0.37%
Ashtrom Group Ltd.,ASHG.TA,0.35%
Shikun & Binui Ltd.,SKBN.TA,0.35%
Rami Levi Chain Stores Hashikma Marketing 2006 Ltd,RMLI.TA,0.33%
Kenon Holdings Ltd.,KEN.TA,0.32%
Partner Communications Co. Ltd.,PTNR.TA,0.31%
Tel Aviv Stock Exchange Ltd.,TASE.TA,0.31%
One Software Technologies Ltd.,ONE.TA,0.13%
Migdal Insurance & Financial Holdings Ltd.,MGDL.TA,0.13%
Mega Or Holdings Ltd,MGOR.TA,0.29%
Delta Galil Industries Ltd.,DELG.TA,0.28%
Menora Mivtachim Holdings Ltd.,MMHD.TA,0.28%
Y. H. Dimri Building & Development Ltd.,DIMRI.TA,0.28%
Summit Real Estate Holdings Ltd,SMT.TA,0.28%
Delek Automotive Systems Ltd.,DLEA.TA,0.27%
Sella Capital Real Estate Ltd.,SLARL.TA,0.27%
Cellcom Israel Ltd.,CEL.TA,0.24%
Retailors Ltd,RTLS.TA,0.23%
Danel (Adir Yeoshua) Ltd.,DANE.TA,0.22%
Isras Investment Co. Ltd.,ISRS.TA,0.21%
O.Y. NOFAR ENERGY LTD,NOFR.TA,0.21%
Elco Ltd.,ELCO.TA,0.21%
Magic Software Enterprises Ltd.,MGIC.TA,0.12%
Arad Investment & Industrial Development Ltd.,ARAD.TA,0.19%
Blue Square Real Estate Ltd,BLSR.TA,0.19%
Africa Israel Residences Ltd,AFRE.TA,0.18%
Israel Canada (T.R) Ltd.,ISCN.TA,0.18%
G CITY LTD.,GCT.TA,0.18%
Electra Consumer Products Ltd.,ECP.TA,0.17%
Electra Real Estate Ltd.,ELCRE.TA,0.16%
Scope Metals Group Ltd,SCOP.TA,0.16%
M. Yochananof & Sons (1988) Ltd.,YHNF.TA,0.14%
Tadiran Group Ltd,TDRN.TA,0.14%
Azorim Investment Dev & Const Co. Ltd.,AZRM.TA,0.13%
Neto Malinda Trading Ltd,NTML.TA,0.13%
DORAL GROUP RENEWABLE ENERGY RESOURCES LTD,DORL.TA,0.12%
Danya Cebus Ltd,DNYA.TA,0.12%
I.D.I. Insurance Company Ltd.,IDIN.TA,0.11%
Prashkovsky Investments & Construction Ltd.,PRSK.TA,0.11%
Sisram Medical Ltd.,1696.HK,0.11%
Carasso Motors Ltd,CRSM.TA,0.09%
Nayax Ltd.,NYAX.TA,0.09%
AFI Properties Ltd,AFPR.TA,0.09%
ALTSHULER SHAHAM FINANCIAL LTD,ALTF.TA,0.09%
Naphtha Israel Petroleum Corp Ltd,NFTA.TA,0.08%
Property & Building Corp. Ltd.,PTBL.TA,0.08%
TURPAZ INDUSTRIES LTD,TRPZ.TA,0.06%
