Name,Ticker,Weighting
Enel SpA,ENEL.MI,1.97%
Intesa Sanpaolo S.p.A.,ISP.MI,8.99%
Stellantis N.V.,STLAM.MI,7.98%
Ferrari NV,RACE.MI,7.86%
UniCredit S.p.A.,UCG.MI,7.79%
CNH Industrial NV,CNHI.MI,4.45%
Moncler SpA,MONC.MI,4.45%
Eni S.p.A.,ENI.MI,4.39%
Assicurazioni Generali S.p.A.,G.MI,4.34%
Terna S.p.A.,TRN.MI,4.16%
Snam S.p.A.,SRG.MI,3.79%
Prysmian S.p.A.,PRY.MI,3.44%
Davide Campari-Milano N.V.,CPR.MI,3.03%
FinecoBank SpA,FBK.MI,3.02%
Mediobanca - Banca di Credito Finanziario S.p.A.,MB.MI,2.82%
Tenaris S.A.,TEN.MI,2.59%
Amplifon S.p.A.,AMP.MI,2.39%
Poste Italiane SpA,PST.MI,2.39%
Recordati Industria Chimica e Farmaceutica S.p.A.,REC.MI,2.34%
Infrastrutture Wireless Italiane S.p.A.,INW.MI,2.17%
Nexi S.p.A.,NEXI.MI,2.12%
DiaSorin S.p.A.,DIA.MI,1.48%
Telecom Italia S.p.A.,TIT.MI,1.48%

