Name,Ticker,Weighting
Albemarle Corporation,ALB,9.33%
"Tesla, Inc.",TSLA,6.02%
Panasonic Holdings Corporation,6752.T,5.89%
TDK Corporation,6762.T,5.39%
BYD Company Limited Class H,1211.HK,5.19%
"Contemporary Amperex Technology Co., Ltd. Class A",300750.SZ,4.31%
LG Energy Solution Ltd.,373220.KS,3.7%
Sociedad Quimica y Minera de Chile S.A. Sponsored ADR Pfd Series B,SQM,3.69%
Tianqi Lithium Corp. Class A,002466.SZ,3.66%
EVE Energy Co. Ltd. Class A,300014.SZ,3.64%
"Rivian Automotive, Inc. Class A",RIVN,3.6%
NAURA Technology Group Co Ltd Class A,002371.SZ,3.52%
"Ganfeng Lithium Group Co., Ltd. Class A",002460.SZ,3.38%
Pilbara Minerals Limited,PLS.AX,3.33%
Mineral Resources Limited,MIN.AX,2.79%
IGO Limited,IGO.AX,2.56%
"Guangzhou Tinci Materials Technology Co., Ltd",002709.SZ,2.26%
Allkem Limited,AKE.AX,2.19%
"Yunnan Energy New Material Co., Ltd. Class A",002812.SZ,2.05%
"L & F Co., Ltd.",066970.KQ,1.81%
Livent Corporation,LTHM,1.69%
EnerSys,ENS,1.52%
Wuxi Lead Intelligent Equipment Co. Ltd. Class A,300450.SZ,1.47%
"Lucid Group, Inc.",LCID,1.45%
"Shanghai Putailai New Energy Technology Co., Ltd. Class A",603659.SS,1.4%
Liontown Resources Limited,LTR.AX,1.13%
"Shenzhen Capchem Technology Co., Ltd. Class A",300037.SZ,1.12%
"SUNWODA Electronic Co., Ltd. Class A",300207.SZ,0.96%
Lithium Americas Corp.,LAC,0.9%
"Beijing Easpring Material Technology Co., Ltd. Class A",300073.SZ,0.88%
Sigma Lithium Corporation,SGML,0.8%
Simplo Technology Co. Ltd.,6121.TWO,0.62%
Enovix Corporation,ENVX,0.58%
QuantumScape Corporation Class A,QS.MX,0.57%
"Japan Steel Works, Ltd.",5631.T,0.5%
GS Yuasa Corporation,6674.T,0.48%
Core Lithium Ltd,CXO.AX,0.43%
FREYR Battery,FREY,0.33%
Sayona Mining Ltd.,SYA.AX,0.31%

