Name,Ticker,Weighting
Public Bank Bhd,1295.KL,1.33%
Malayan Banking Bhd.,1155.KL,1.21%
CIMB Group Holdings Bhd,1023.KL,7.54%
Tenaga Nasional Bhd,5347.KL,5.67%
PETRONAS Chemicals Group Bhd.,5183.KL,4.32%
Press Metal Aluminium Holdings Berhad,8869.KL,4.17%
CelcomDigi Berhad,6947.KL,3.66%
Petronas Gas Bhd.,6033.KL,3.14%
IHH Healthcare Bhd.,5225.KL,3.03%
Hong Leong Bank Bhd.,5819.KL,2.94%
Kuala Lumpur Kepong Bhd.,2445.KL,2.54%
PPB Group Bhd.,4065.KL,2.43%
MISC Bhd,3816.KL,2.34%
Maxis Bhd.,6012.KL,2.28%
IOI Corp. Bhd.,1961.KL,2.27%
Nestle (Malaysia) Bhd.,4707.KL,2.23%
Genting Bhd.,3182.KL,2.12%
Sime Darby Plantation Bhd.,5285.KL,2.11%
RHB Bank Bhd.,1066.KL,1.96%
Gamuda Bhd.,5398.KL,1.84%
Axiata Group Bhd.,6888.KL,1.81%
Genting Malaysia Bhd.,4715.KL,1.79%
Dialog Group Bhd.,7277.KL,1.76%
Petronas Dagangan Bhd.,5681.KL,1.58%
Inari Amertron Berhad,0166.KL,1.54%
AMMB Holdings Bhd.,1015.KL,1.43%
QL Resources Bhd.,7084.KL,1.45%
Telekom Malaysia Bhd.,4863.KL,1.38%
Sime Darby Bhd.,4197.KL,1.34%
Top Glove Corporation Bhd.,7113.KL,1.29%
MR. D.I.Y. Group (M) Bhd.,5296.KL,1.25%
Malaysia Airports Holdings Bhd.,5014.KL,1.24%
Hong Leong Financial Group Bhd.,1082.KL,0.95%
