Name,Ticker,Weighting
America Movil SAB de CV Class B,AMXB.MX.MX,5.41%
Grupo Financiero Banorte SAB de CV Class O,GFNORTEO.MX,9.23%
Wal-Mart de Mexico SAB de CV,WALMEX.MX,9.09%
Fomento Economico Mexicano SAB de CV Units Cons. Of 1 ShsB And 4 ShsD,FEMSAUBD.MX,8.98%
Grupo Mexico S.A.B. de C.V. Class B,GMEXICOB.MX,4.67%
Cemex SAB de CV Cert Part Ord Repr 2 ShsA & 1 ShsB,CEMEXCPO.MX,4.65%
Grupo Bimbo SAB de CV Class A,BIMBOA.MX,3.59%
Grupo Aeroportuario del Pacifico SAB de CV Class B,GAPB.MX,3.23%
Grupo Aeroportuario del Sureste SAB de CV Class B,ASURB.MX,2.82%
Grupo Financiero Inbursa SAB de CV Class O,GFINBURO.MX,2.78%
Arca Continental SAB de CV,AC.MX,2.45%
Fibra Uno Administracion SA de CV,FUNO11.MX,2.33%
Kimberly-Clark de Mexico SAB de CV Class A,KIMBERA.MX,1.78%
Gruma SAB de CV Class B,GRUMAB.MX,1.76%
Grupo Aeroportuario del Centro Norte SAB de CV Class B,OMAB.MX,1.66%
Grupo Carso SAB de CV Class A1,GCARSOA1.MX,1.66%
Industrias Penoles SAB de CV,PE&OLES.MX,1.47%
Coca-Cola Femsa SAB de CV Units Cons of 5 Shs -L- + 3 Shs Series -B-,KOFUBL.MX,1.45%
"Prologis Property Mexico, S.A. de C.V.",FIBRAPL14.MX,1.35%
Promotora y Operadora de Infraestructura SA,PINFRA.MX,1.32%
Banco del Bajio SA,BBAJIOO.MX,1.23%
"Grupo Televisa, S.A.B.",TLEVISACPO.MX,1.27%
Orbia Advance Corp. SAB de CV,ORBIA.MX,1.19%
Corporacion Inmobiliaria Vesta S.A.B. de C.V.,VESTA.MX,1.19%
"Regional, S.A.B. de C.V. Class A",RA.MX,1.07%
"Alfa, S.A.B. de C.V. Class A",ALFAA.MX,1.04%
"Alsea, S.A.B. de C.V.",ALSEA.MX,0.98%
GCC SAB de CV,GCC.MX,0.85%
Terrafina,TERRA13.MX,0.84%
Qualitas Controladora S.A.B. de C.V.,Q.MX,0.84%
FIBRA Macquarie Mexico,FIBRAMQ12.MX,0.78%
Gentera SAB de CV,GENTERA.MX,0.76%
Controladora Vuela Compania de Aviacion SAB de CV Class A,VOLARA.MX,0.74%
La Comer SAB de CV Ctf de Participacion Ordinario Cons of 3 Shs -B- + 1 Sh -C-,LACOMERUBC.MX,0.68%
Bolsa Mexicana de Valores SAB de CV Class A,BOLSAA.MX,0.62%
Genomma Lab Internacional SAB de CV Class B,LABB.MX,0.47%
Grupo Traxion SAB de CV Class A,TRAXIONA.MX,0.42%
Grupo Herdez SAB de CV,HERDEZ.MX,0.36%
Nemak SAB de CV,NEMAKA.MX,0.36%
Concentradora Fibra Danhos SA de CV,DANHOS13.MX,0.35%
Grupo Rotoplas SAB de CV,AGUA.MX,0.31%
Megacable Hldgs SAB de CV Cert Part Ord Cons of 2 A,MEGACPO.MX,0.27%
