Ticker,Name,Type,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BLDR","BUILDERS FIRSTSOURCE INC","EQUITY","Industrials","Equity","564,211,229.76","0.84","564,211,229.76","4,553,028.00","123.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HUBB","HUBBELL INC","EQUITY","Industrials","Equity","491,105,836.13","0.74","491,105,836.13","1,658,189.00","296.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RS","RELIANCE STEEL & ALUMINUM","EQUITY","Materials","Equity","445,013,854.20","0.67","445,013,854.20","1,815,642.00","245.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GGG","GRACO INC","EQUITY","Industrials","Equity","417,924,660.96","0.63","417,924,660.96","5,213,631.00","80.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DECK","DECKERS OUTDOOR CORP","EQUITY","Consumer Discretionary","Equity","400,828,259.16","0.60","400,828,259.16","815,454.00","491.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JBL","JABIL INC","EQUITY","Information Technology","Equity","382,737,811.51","0.57","382,737,811.51","4,122,997.00","92.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEN","PENUMBRA INC","EQUITY","Health Care","Equity","378,763,151.21","0.57","378,763,151.21","1,174,933.00","322.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSL","CARLISLE COMPANIES INC","EQUITY","Industrials","Equity","362,291,240.85","0.54","362,291,240.85","1,599,873.00","226.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MANH","MANHATTAN ASSOCIATES INC","EQUITY","Information Technology","Equity","357,092,884.90","0.53","357,092,884.90","1,933,367.00","184.70","United States","NASDAQ","USD","1.00","USD","-"
"ACM","AECOM","EQUITY","Industrials","Equity","357,039,141.14","0.53","357,039,141.14","4,298,569.00","83.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WSO","WATSCO INC","EQUITY","Industrials","Equity","355,028,685.18","0.53","355,028,685.18","1,029,009.00","345.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DT","DYNATRACE INC","EQUITY","Information Technology","Equity","353,168,292.16","0.53","353,168,292.16","6,706,576.00","52.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LSCC","LATTICE SEMICONDUCTOR CORP","EQUITY","Information Technology","Equity","343,233,261.75","0.51","343,233,261.75","4,240,065.00","80.95","United States","NASDAQ","USD","1.00","USD","-"
"TTC","TORO","EQUITY","Industrials","Equity","336,977,914.24","0.50","336,977,914.24","3,238,304.00","104.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SMCI","SUPER MICRO COMPUTER INC","EQUITY","Information Technology","Equity","336,577,438.35","0.50","336,577,438.35","1,443,609.00","233.15","United States","NASDAQ","USD","1.00","USD","-"
"OC","OWENS CORNING","EQUITY","Industrials","Equity","335,200,278.82","0.50","335,200,278.82","2,891,153.00","115.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LSI","LIFE STORAGE INC","EQUITY","Real Estate","Equity","332,865,240.25","0.50","332,865,240.25","2,629,475.00","126.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ARMK","ARAMARK","EQUITY","Consumer Discretionary","Equity","330,589,081.34","0.50","330,589,081.34","8,059,217.00","41.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RPM","RPM INTERNATIONAL INC","EQUITY","Materials","Equity","330,302,881.26","0.49","330,302,881.26","3,993,506.00","82.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FIVE","FIVE BELOW INC","EQUITY","Consumer Discretionary","Equity","329,925,103.36","0.49","329,925,103.36","1,717,376.00","192.11","United States","NASDAQ","USD","1.00","USD","-"
"LECO","LINCOLN ELECTRIC HOLDINGS INC","EQUITY","Industrials","Equity","328,049,451.48","0.49","328,049,451.48","1,786,178.00","183.66","United States","NASDAQ","USD","1.00","USD","-"
"SWAV","SHOCKWAVE MEDICAL INC","EQUITY","Health Care","Equity","324,898,798.94","0.49","324,898,798.94","1,118,066.00","290.59","United States","NASDAQ","USD","1.00","USD","-"
"DAR","DARLING INGREDIENTS INC","EQUITY","Consumer Staples","Equity","318,759,206.34","0.48","318,759,206.34","4,958,146.00","64.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UTHR","UNITED THERAPEUTICS CORP","EQUITY","Health Care","Equity","310,543,249.50","0.47","310,543,249.50","1,409,958.00","220.25","United States","NASDAQ","USD","1.00","USD","-"
"REXR","REXFORD INDUSTRIAL REALTY REIT INC","EQUITY","Real Estate","Equity","309,955,516.50","0.46","309,955,516.50","5,850,425.00","52.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCI","SERVICE","EQUITY","Consumer Discretionary","Equity","307,995,049.50","0.46","307,995,049.50","4,758,150.00","64.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CUBE","CUBESMART REIT","EQUITY","Real Estate","Equity","305,756,174.25","0.46","305,756,174.25","6,947,425.00","44.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WTRG","ESSENTIAL UTILITIES INC","EQUITY","Utilities","Equity","302,299,035.82","0.45","302,299,035.82","7,383,953.00","40.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RNR","RENAISSANCERE HOLDING LTD","EQUITY","Financials","Equity","300,005,601.90","0.45","300,005,601.90","1,553,226.00","193.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LII","LENNOX INTERNATIONAL INC","EQUITY","Industrials","Equity","299,302,079.86","0.45","299,302,079.86","998,539.00","299.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CGNX","COGNEX CORP","EQUITY","Information Technology","Equity","296,484,142.56","0.44","296,484,142.56","5,349,768.00","55.42","United States","NASDAQ","USD","1.00","USD","-"
"RRX","REGAL REXNORD CORP","EQUITY","Industrials","Equity","294,771,234.16","0.44","294,771,234.16","2,046,454.00","144.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RGA","REINSURANCE GROUP OF AMERICA INC","EQUITY","Financials","Equity","294,347,147.30","0.44","294,347,147.30","2,062,699.00","142.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","EQUITY","Financials","Equity","288,448,812.85","0.43","288,448,812.85","14,487,635.00","19.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NBIX","NEUROCRINE BIOSCIENCES INC","EQUITY","Health Care","Equity","285,090,900.01","0.43","285,090,900.01","2,988,061.00","95.41","United States","NASDAQ","USD","1.00","USD","-"
"USFD","US FOODS HOLDING CORP","EQUITY","Consumer Staples","Equity","284,121,156.60","0.43","284,121,156.60","6,789,036.00","41.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CHDN","CHURCHILL DOWNS INC","EQUITY","Consumer Discretionary","Equity","282,803,616.81","0.42","282,803,616.81","2,036,463.00","138.87","United States","NASDAQ","USD","1.00","USD","-"
"KNX","KNIGHT-SWIFT TRANSPORTATION HOLDIN","EQUITY","Industrials","Equity","281,324,112.71","0.42","281,324,112.71","4,971,269.00","56.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFGC","PERFORMANCE FOOD GROUP","EQUITY","Consumer Staples","Equity","274,121,851.75","0.41","274,121,851.75","4,830,341.00","56.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RGEN","REPLIGEN CORP","EQUITY","Health Care","Equity","269,523,788.64","0.40","269,523,788.64","1,597,462.00","168.72","United States","NASDAQ","USD","1.00","USD","-"
"KBR","KBR INC","EQUITY","Industrials","Equity","262,891,570.36","0.39","262,891,570.36","4,244,294.00","61.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BJ","BJS WHOLESALE CLUB HOLDINGS INC","EQUITY","Consumer Staples","Equity","262,048,571.41","0.39","262,048,571.41","4,158,841.00","63.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNM","UNUM","EQUITY","Financials","Equity","260,794,562.00","0.39","260,794,562.00","5,785,150.00","45.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FBIN","FORTUNE BRANDS INNOVATIONS INC","EQUITY","Industrials","Equity","258,906,324.30","0.39","258,906,324.30","3,967,305.00","65.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CASY","CASEYS GENERAL STORES INC","EQUITY","Consumer Staples","Equity","258,492,840.48","0.39","258,492,840.48","1,152,648.00","224.26","United States","NASDAQ","USD","1.00","USD","-"
"IBKR","INTERACTIVE BROKERS GROUP INC CLAS","EQUITY","Financials","Equity","258,351,372.18","0.39","258,351,372.18","3,182,451.00","81.18","United States","NASDAQ","USD","1.00","USD","-"
"EME","EMCOR GROUP INC","EQUITY","Industrials","Equity","257,477,937.15","0.39","257,477,937.15","1,474,251.00","174.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TTEK","TETRA TECH INC","EQUITY","Industrials","Equity","256,503,920.84","0.38","256,503,920.84","1,646,578.00","155.78","United States","NASDAQ","USD","1.00","USD","-"
"WSM","WILLIAMS SONOMA INC","EQUITY","Consumer Discretionary","Equity","255,105,960.12","0.38","255,105,960.12","2,059,299.00","123.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AFG","AMERICAN FINANCIAL GROUP INC","EQUITY","Financials","Equity","252,146,240.82","0.38","252,146,240.82","2,161,377.00","116.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JAZZ","JAZZ PHARMACEUTICALS PLC","EQUITY","Health Care","Equity","251,103,144.45","0.38","251,103,144.45","1,947,895.00","128.91","United States","NASDAQ","USD","1.00","USD","-"
"THC","TENET HEALTHCARE CORP","EQUITY","Health Care","Equity","251,033,694.30","0.38","251,033,694.30","3,344,886.00","75.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CLF","CLEVELAND CLIFFS INC","EQUITY","Materials","Equity","250,917,321.20","0.38","250,917,321.20","15,941,380.00","15.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CHE","CHEMED CORP","EQUITY","Health Care","Equity","249,445,302.75","0.37","249,445,302.75","460,019.00","542.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DKS","DICKS SPORTING INC","EQUITY","Consumer Discretionary","Equity","248,937,856.44","0.37","248,937,856.44","1,851,252.00","134.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RGLD","ROYAL GOLD INC","EQUITY","Materials","Equity","248,931,909.18","0.37","248,931,909.18","2,030,771.00","122.58","United States","NASDAQ","USD","1.00","USD","-"
"LAMR","LAMAR ADVERTISING COMPANY CLAS","EQUITY","Real Estate","Equity","248,710,002.15","0.37","248,710,002.15","2,699,555.00","92.13","United States","NASDAQ","USD","1.00","USD","-"
"MASI","MASIMO CORP","EQUITY","Health Care","Equity","248,615,250.80","0.37","248,615,250.80","1,496,060.00","166.18","United States","NASDAQ","USD","1.00","USD","-"
"IRDM","IRIDIUM COMMUNICATIONS INC","EQUITY","Communication","Equity","248,179,203.50","0.37","248,179,203.50","3,886,910.00","63.85","United States","NASDAQ","USD","1.00","USD","-"
"SAIA","SAIA INC","EQUITY","Industrials","Equity","247,068,909.44","0.37","247,068,909.44","818,624.00","301.81","United States","NASDAQ","USD","1.00","USD","-"
"PCTY","PAYLOCITY HOLDING CORP","EQUITY","Industrials","Equity","245,203,002.00","0.37","245,203,002.00","1,276,700.00","192.06","United States","NASDAQ","USD","1.00","USD","-"
"WEX","WEX INC","EQUITY","Financials","Equity","243,408,633.51","0.36","243,408,633.51","1,348,599.00","180.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LEA","LEAR CORP","EQUITY","Consumer Discretionary","Equity","243,308,276.48","0.36","243,308,276.48","1,829,248.00","133.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NYCB","NEW YORK COMMUNITY BANCORP INC","EQUITY","Financials","Equity","242,214,894.73","0.36","242,214,894.73","22,282,879.00","10.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NNN","NNN REIT INC","EQUITY","Real Estate","Equity","241,725,017.74","0.36","241,725,017.74","5,613,679.00","43.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CLH","CLEAN HARBORS INC","EQUITY","Industrials","Equity","238,465,513.28","0.36","238,465,513.28","1,555,751.00","153.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KNSL","KINSALE CAPITAL GROUP INC","EQUITY","Financials","Equity","237,678,953.19","0.36","237,678,953.19","671,163.00","354.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NVT","NVENT ELECTRIC PLC","EQUITY","Industrials","Equity","237,268,797.44","0.36","237,268,797.44","5,153,536.00","46.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ARW","ARROW ELECTRONICS INC","EQUITY","Information Technology","Equity","235,734,548.46","0.35","235,734,548.46","1,803,079.00","130.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TOL","TOLL BROTHERS INC","EQUITY","Consumer Discretionary","Equity","235,566,008.75","0.35","235,566,008.75","3,181,175.00","74.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MIDD","MIDDLEBY CORP","EQUITY","Industrials","Equity","234,976,514.08","0.35","234,976,514.08","1,666,973.00","140.96","United States","NASDAQ","USD","1.00","USD","-"
