Name,Ticker,Weighting
ASML Holding NV,ASML.AS,23.0%
Prosus N.V. Class N,PRX.AS,8.11%
ING Groep NV,INGA.AS,7.05%
Adyen NV,ADYEN.AS,4.85%
Wolters Kluwer N.V.,WKL.AS,4.47%
Koninklijke Ahold Delhaize N.V.,AD.AS,4.26%
Heineken NV,HEIA.AS,3.63%
ASM International N.V.,ASM.AS,2.95%
Koninklijke Philips N.V.,PHIA.AS,2.72%
DSM-Firmenich AG,DSFIR.AS,2.62%
Universal Music Group N.V.,UMG.AS,2.42%
Akzo Nobel N.V.,AKZA.AS,2.14%
Coca-Cola Europacific Partners plc,CCEP.AS,2.01%
Royal KPN NV,KPN.AS,1.73%
AerCap Holdings NV,AER.AS,1.66%
EXOR N.V.,EXO.AS,1.15%
NN Group N.V.,NN.AS,1.15%
Heineken Holding N.V.,HEIO.AS,1.48%
IMCD N.V.,IMCD.AS,1.42%
BE Semiconductor Industries N.V.,BESI.AS,1.39%
Aegon N.V.,AGN.AS,1.37%
ABN AMRO Bank N.V. Depositary receipts,ABN.AS,1.13%
Randstad NV,RAND.AS,1.06%
ASR Nederland N.V.,ASRNL.AS,1.02%
Aalberts N.V.,AALB.AS,0.83%
JDE Peet\'s NV,JDEP.AS,0.69%
Arcadis NV,ARCAD.AS,0.68%
Signify NV,LIGHT.AS,0.68%
Royal Vopak NV,VPK.AS,0.67%
InPost S.A.,INPST.AS,0.66%
AMG Critical Materials N.V.,AMG.AS,0.57%
Basic-Fit NV,BFIT.AS,0.57%
TKH Group N.V. Cert,TWEKA.AS,0.56%
Just Eat Takeaway.com N.V.,TKWY.AS,0.53%
Allfunds Group plc,ALLFG.AS,0.53%
OCI NV,OCI.AS,0.52%
Fugro NV,FUR.AS,0.48%
SBM Offshore NV,SBMO.AS,0.47%
Corbion NV,CRBN.AS,0.42%
Van Lanschot Kempen NV cert. of shs,VLK.AS,0.4%
Eurocommercial Properties NV,ECMPA.AS,0.38%
Alfen NV,ALFEN.AS,0.37%
Pharming Group NV,PHARM.AS,0.34%
Flow Traders Ltd,FLOW.AS,0.34%
Koninklijke BAM Groep NV,BAMNB.AS,0.3%
TomTom NV,TOM2.AS,0.28%
PostNL NV,PNL.AS,0.26%
Wereldhave N.V.,WHA.AS,0.26%
Ordina N.V.,ORDI.AS,0.25%
NSI N.V.,NSI.AS,0.23%
Sligro Food Group N.V.,SLIGR.AS,0.12%
Vastned Retail NV,VASTN.AS,0.13%
Brunel International N.V.,BRNL.AS,0.13%
Fastned BV Shs Depositary Receipt 1 Shs,FAST.AS,0.11%
Ebusco Holding N.V.,EBUS.AS,0.06%
B&S Group S.A.,BSGR.AS,0.06%
