Name,Ticker,Weighting
Fisher & Paykel Healthcare Corporation Limited,FPH.NZ,5.04%
Auckland International Airport Limited,AIA.NZ,1.31%
Spark New Zealand Limited,SPK.NZ,0.03%
Meridian Energy Limited,MEL.NZ,6.97%
Ryman Healthcare Ltd.,RYM.NZ,4.68%
Infratil Limited,IFT.NZ,4.66%
Fletcher Building Limited,FBU.NZ,4.61%
a2 Milk Company Ltd.,ATM.NZ,4.58%
Summerset Group Holdings Limited,SUM.NZ,4.53%
Contact Energy Limited,CEN.NZ,4.48%
Mercury NZ Ltd.,MCY.NZ,4.48%
Goodman Property Trust,GMT.NZ,4.45%
Genesis Energy Limited,GNE.NZ,3.95%
Kiwi Property Group Ltd.,KPG.NZ,3.92%
EBOS Group Limited,EBO.NZ,3.82%
Air New Zealand Limited,AIR.NZ,3.75%
Oceania Healthcare Ltd.,OCA.NZ,2.47%
Warehouse Group Ltd.,WHS.NZ,0.92%

