Name,Ticker,Weighting
Equinor ASA,EQNR,7.39%
DNB Bank ASA,DNB.OL,0.84%
Norsk Hydro ASA,NHY.OL,5.58%
Aker BP ASA,AKRBP.OL,4.76%
Telenor ASA,TEL.OL,4.66%
Mowi ASA,MOWI.OL,4.66%
Yara International ASA,YAR.OL,4.21%
Orkla ASA,ORK.OL,3.54%
TOMRA Systems ASA,TOM.OL,2.45%
Kongsberg Gruppen ASA,KOG.OL,2.37%
Storebrand ASA,STB.OL,2.32%
Gjensidige Forsikring ASA,GJF.OL,2.16%
Bakkafrost P/F,BAKKA.OL,2.11%
SalMar ASA,SALM.OL,1.86%
Subsea 7 S.A.,SUBC.OL,1.65%
Adevinta ASA,ADE.OL,1.38%
SpareBank 1 SR-Bank ASA,SRBNK.OL,1.31%
NEL ASA,NEL.OL,1.27%
Nordic Semiconductor ASA,NOD.OL,1.25%
Frontline Plc,FRO.OL,1.23%
Schibsted ASA Class B,SCHB.OL,1.15%
TGS ASA,TGS.OL,1.21%
SpareBank 1 SMN,MING.OL,1.06%
Borregaard ASA,BRG.OL,0.99%
Borr Drilling Limited,BORR.OL,0.98%
Schibsted Asa Class A,SCHA.OL,0.92%
Aker ASA Class A,AKER.OL,0.82%
Atea ASA,ATEA.OL,0.76%
Leroy Seafood Group ASA,LSG.OL,0.75%
U.S. Dollar,Other.OL,0.68%
Veidekke ASA,VEI.OL,0.67%
Europris ASA,EPR.OL,0.66%
Golden Ocean Group Ltd,GOGL.OL,0.65%
Protector Forsikring ASA,PROT.OL,0.62%
FLEX LNG Ltd,FLNG.OL,0.58%
Scatec ASA,SCATC.OL,0.54%
Aker Solutions ASA,AKSO.OL,0.54%
SpareBank 1 Nord-Norge,NONG.OL,0.52%
Elkem ASA,ELK.OL,0.25%
BW LPG Ltd.,BWLPG.OL,0.49%
Crayon Group Holding ASA,CRAYN.OL,0.48%
Norwegian Air Shuttle ASA,NAS.OL,0.47%
Austevoll Seafood ASA,AUSS.OL,0.44%
Kahoot ASA,KAHOT.OL,0.44%
Wallenius Wilhelmsen ASA,WAWI.OL,0.41%
Entra ASA,ENTRA.OL,0.38%
Hafnia Ltd.,HAFNI.OL,0.38%
PGS ASA,PGS.OL,0.36%
Bonheur ASA,BONHR.OL,0.34%
MPC Container Ships ASA,MPCC.OL,0.32%
Cadeler A/S,CADLR.OL,0.32%
DNO ASA Class A,DNO.OL,0.28%
Stolt-Nielsen Limited,SNI.OL,0.27%
Aker Carbon Capture ASA,ACC.OL,0.26%
Sparebank 1 Ostlandet,SPOL.OL,0.25%
REC Silicon ASA,RECSI.OL,0.25%
Grieg Seafood ASA,GSF.OL,0.21%
Hexagon Composites ASA,HEX.OL,0.22%
Norske Skog ASA,NSKOG.OL,0.19%
Hoegh Autoliners ASA,HAUTO.OL,0.17%
Nykode Therapeutics ASA,NYKD.OL,0.16%
Elopak ASA,ELO.OL,0.16%
BlueNord ASA,BNOR.OL,0.15%
BW Energy Ltd.,BWE.OL,0.14%
Meltwater N.V.,MWTR.OL,0.14%
Odfjell Drilling Ltd.,ODL.OL,0.14%
BW Offshore Limited,BWO.OL,0.14%
Bewi ASA,BEWI.OL,0.11%
Aker Horizons ASA,AKH.OL,0.11%
Cool Company Ltd,CLCO.OL,0.12%
Hexagon Purus ASA,HPUR.OL,0.12%
Belships ASA,BELCO.OL,0.08%
Kitron ASA,KIT.OL,0.08%
