Name,Ticker,Weighting
Credicorp Ltd.,BAP,22.73%
Southern Copper Corporation,SCCO,22.65%
Compania de Minas Buenaventura SAA Sponsored ADR,BVN,4.69%
Alicorp SAA,ALICORC1,4.48%
Sociedad Minera Cerro Verde SAA,CVERDEC1,3.41%
InRetail Peru Corp.,INRETC1,2.93%
Ferreycorp SA,FERREYC1,2.88%
Hochschild Mining plc,HOC,2.73%
PetroTal Corp.,PTAL,2.7%
Parque Arauco S.A.,PARAUCO,2.63%
Fortuna Silver Mines Inc.,FVI,2.45%
"Laureate Education, Inc.",LAUR,2.4%
Interconexion Electrica SA ESP,ISA,2.32%
Banco BBVA Peru SA,BBVAC1,2.28%
Wheaton Precious Metals Corp,WPM,2.26%
Falabella S.A.,FALABELLA,2.26%
MMG Ltd.,1208,2.23%
Pan American Silver Corp.,PAAS,2.09%
Cementos Pacasmayo SAA,CPACASC1,1.97%
Volcan Compania Minera S.A.A. Class B,VOLCABC1,1.94%
Intercorp Financial Services Inc.,IFS,1.72%
Casa Grande SAA,CASAGRC1,1.34%
Corporacion Aceros Arequipa SA,CORAREI1,0.82%
Aenza S.A.A.,AENZAC1,0.68%
U.S. Dollar,Other,0.67%
DERIVATIVE SECURITIES (OTHER),Other,0.53%
Banco de Credito del Peru SA,CREDITC1,0.24%
