Name,Ticker,Weighting
"SM Prime Holdings, Inc.",SMPH,10.49%
"BDO Unibank, Inc.",BDO,9.39%
SM Investments Corporation,SM,6.37%
Ayala Corp.,AC,5.4%
Ayala Land Inc.,ALI,5.04%
"International Container Terminal Services, Inc.",ICT,4.57%
Bank of the Philippine Islands,BPI,4.44%
Jollibee Foods Corp.,JFC,4.06%
"PLDT, Inc.",TEL,3.92%
Metropolitan Bank & Trust Co.,MBT,3.88%
Manila Electric Co.,MER,3.65%
Aboitiz Equity Ventures Inc.,AEV,3.63%
JG Summit Holdings Inc.,JGS,3.5%
Universal Robina Corp.,URC,3.18%
"GT Capital Holdings, Inc.",GTCAP,2.16%
Metro Pacific Investments Corporation,MPI,2.03%
Bloomberry Resorts Corporation,BLOOM,1.85%
Alliance Global Group Inc.,AGI,1.82%
"Wilcon Depot, Inc.",WLCON,1.77%
Security Bank Corp. (Philippines),SECB,1.72%
Puregold Price Club Inc.,PGOLD,1.55%
"Century Pacific Food, Inc.",CNPF,1.5%
DMCI Holdings Inc.,DMC,1.47%
Semirara Mining & Power Corp.,SCC,1.35%
Converge Information & Communications Technology Solutions Inc,CNVRG,1.31%
Megaworld Corp.,MEG,1.27%
"LT Group, Inc.",LTG,1.22%
DERIVATIVE SECURITIES (OTHER),Other,1.18%
Manila Water Co. Inc.,MWC,1.06%
"D&L Industries, Inc.",DNL,0.98%
"MREIT, Inc.",MREIT,0.97%
"Synergy Grid & Development Philippines, Inc.",SGP,0.94%
"Robinsons Retail Holdings, Inc.",RRHI,0.9%
AREIT Inc.,AREIT,0.3%
"RL Commercial REIT, Inc.",RCR,0.29%
Cebu Air Inc.,CEB,0.28%
Robinsons Land Corp.,RLC,0.28%
U.S. Dollar,Other,0.16%
ACEN Corporation,ACEN,0.11%
