Name,Ticker,Weighting
"Jeronimo Martins, SGPS S.A.",JMT.LS,2.24%
EDP-Energias de Portugal SA,EDP.LS,1.81%
"Galp Energia, SGPS S.A. Class B",GALP.LS,4.51%
Redes Energeticas Nacionais SA,RENE.LS,4.42%
Sonae SGPS SA,SON.LS,4.32%
EDP Renovaveis SA,EDPR.LS,4.31%
NOS SGPS SA,NOS.LS,4.21%
Navigator Company SA,NVG.LS,4.15%
Banco Comercial Portugues S.A.,BCP.LS,4.14%
Fosun International Limited,656.LS,4.11%
Corticeira Amorim SGPS SA,COR.LS,4.04%
Greenvolt - Energias Renovaveis SA,GVOLT.LS,3.57%
ALTRI SGPS SA,ALTR.LS,3.10%
CTT - Correios de Portugal SA,CTT.LS,2.99%
Semapa Sociedade de Investimento e Gestao SGPS SA,SEM.LS,2.31%
Mota-Engil SGPS SA,EGL.LS,2.08%
"Ibersol, SGPS S.A.",IBS.LS,1.33%
"Ramada Investimentos e Industria,S.A.",RAM.LS,0.43%
PHarol SGPS S.A.,PHR.LS,0.13%
Fusion Fuel Green Plc Class A,HTOO.LS,0.28%

