Name,Ticker,Weighting
Qatar National Bank QPSC,QNBK.QA,2.94%
Qatar Islamic Bank,QIBK.QA,0.36%
Industries of Qatar Co.,IQCD.QA,5.94%
Commercial Bank (Q.S.C.),CBQK.QA,5.73%
Masraf Al-Rayan QSC,MARK.QA,4.44%
Qatar Gas Transport Co.,QGTS.QA,4.37%
Mesaieed Petrochemical Holding Company Q.S.C.,MPHC.QA,3.92%
Ooredoo Q.P.S.C,ORDS.QA,3.81%
Qatar Fuel Q.S.C (WOQOD),QFLS.QA,3.77%
Qatar International Islamic Bank,QIIK.QA,3.72%
Qatar Electricity & Water Co.,QEWS.QA,3.45%
Qatar Navigation QSC,QNNS.QA,2.76%
Dukhan Bank Q.P.S.C.,DUBK.QA,2.56%
Barwa Real Estate Co.,BRES.QA,2.38%
Qatar Aluminium Manufacturing Company,QAMC.QA,2.11%
Qatar Insurance Co.,QATI.QA,1.96%
Vodafone Qatar QSC,VFQS.QA,1.75%
Doha Bank,DHBK.QA,1.14%
United Development Co.,UDCD.QA,1.27%
Gulf International Services QSC,GISS.QA,1.13%
Ezdan Holding Group,ERES.QA,1.11%
Aamal Company Q.S.C.,AHCS.QA,1.11%
Almeera Consumer Goods Co. QSC,MERS.QA,1.08%
Qatar National Cement Co.,QNCD.QA,0.96%
Baladna Q.P.S.C,BLDN.QA,0.94%
Medicare Group QSC,MCGS.QA,0.91%
Lesha Bank L.L.C,QFBQ.QA,0.88%
Gulf Warehousing Co.,GWCS.QA,0.86%
Salam International Investment Ltd.,SIIS.QA,0.71%
Mazaya Real Estate Development Company,MRDS.QA,0.69%
Qatari Investors Group,QIGD.QA,0.68%
Estithmar Holding Q.P.S.C,IGRD.QA,0.61%
Mannai Corporation Q.P.S.C.,MCCS.QA,0.59%

