Name,Ticker,Weighting
"Super Micro Computer, Inc.",SMCI,0.98%
"Shockwave Medical, Inc.",SWAV,0.82%
"Inspire Medical Systems, Inc.",INSP,0.7%
"Apellis Pharmaceuticals, Inc.",APLS,0.67%
"EMCOR Group, Inc.",EME,0.66%
Iridium Communications Inc.,IRDM,0.63%
"Saia, Inc.",SAIA,0.62%
"Kinsale Capital Group, Inc.",KNSL,0.61%
"Celsius Holdings, Inc.",CELH,0.61%
"Karuna Therapeutics, Inc.",KRTX,0.59%
"Texas Roadhouse, Inc.",TXRH,0.58%
"Crocs, Inc.",CROX,0.56%
"Prometheus Biosciences, Inc",RXDX,0.55%
"SPS Commerce, Inc.",SPSC,0.5%
"Intra-Cellular Therapies, Inc.",ITCI,0.48%
Novanta Inc,NOVT,0.47%
Lantheus Holdings Inc,LNTH,0.47%
Rambus Inc.,RMBS,0.46%
"Chart Industries, Inc.",GTLS,0.45%
"Axcelis Technologies, Inc.",ACLS,0.45%
Matador Resources Company,MTDR,0.45%
"Murphy USA, Inc.",MUSA,0.45%
"Wingstop, Inc.",WING,0.45%
"Comfort Systems USA, Inc.",FIX,0.44%
"Simpson Manufacturing Co., Inc.",SSD,0.44%
ChampionX Corporation,CHX,0.44%
HealthEquity Inc,HQY,0.43%
Atkore Inc,ATKR,0.43%
"Onto Innovation, Inc.",ONTO,0.43%
"Medpace Holdings, Inc.",MEDP,0.42%
"Power Integrations, Inc.",POWI,0.42%
"Applied Industrial Technologies, Inc.",AIT,0.41%
"IVERIC bio, Inc.",ISEE,0.41%
"e.l.f. Beauty, Inc.",ELF,0.41%
Option Care Health Inc,OPCH,0.41%
"Ensign Group, Inc.",ENSG,0.4%
RLI Corp.,RLI,0.4%
Alkermes Public Limited Company,ALKS,0.4%
"Qualys, Inc.",QLYS,0.39%
ATI Inc.,ATI,0.39%
"ExlService Holdings, Inc.",EXLS,0.39%
"Exponent, Inc.",EXPO,0.39%
Workiva Inc. Class A,WK,0.38%
"MAXIMUS, Inc.",MMS,0.38%
"Watts Water Technologies, Inc. Class A",WTS,0.38%
Silicon Laboratories Inc.,SLAB,0.38%
"BellRing Brands, Inc.",BRBR,0.38%
Brookfield Infrastructure Corp. (New York) Class A,BIPC,0.37%
Weatherford International plc,WFRD,0.37%
"UFP Industries, Inc.",UFPI,0.37%
"Casella Waste Systems, Inc. Class A",CWST,0.37%
"Houlihan Lokey, Inc. Class A",HLI,0.37%
"Insperity, Inc.",NSP,0.36%
"Franklin Electric Co., Inc.",FELE,0.36%
Denbury Inc.,DEN,0.36%
"AMN Healthcare Services, Inc.",AMN,0.36%
"Halozyme Therapeutics, Inc.",HALO,0.36%
"Tenable Holdings, Inc.",TENB,0.35%
"Badger Meter, Inc.",BMI,0.35%
Haemonetics Corporation,HAE,0.35%
Livent Corporation,LTHM,0.34%
Balchem Corp,BCPC,0.34%
Visteon Corporation,VC,0.33%
"Vaxcyte, Inc.",PCVX,0.33%
"AAON, Inc.",AAON,0.33%
Fabrinet,FN,0.33%
"Box, Inc. Class A",BOX,0.32%
"Merit Medical Systems, Inc.",MMSI,0.32%
Cabot Corporation,CBT,0.32%
"TriNet Group, Inc.",TNET,0.32%
"Advanced Energy Industries, Inc.",AEIS,0.31%
"Shoals Technologies Group, Inc. Class A",SHLS,0.31%
"Hilton Grand Vacations, Inc.",HGV,0.31%
CONMED Corporation,CNMD,0.31%
Fox Factory Holding Corp.,FOXF,0.31%
Altair Engineering Inc. Class A,ALTR,0.31%
"Phillips Edison & Company, Inc.",PECO,0.3%
"Insight Enterprises, Inc.",NSIT,0.3%
"Duolingo, Inc. Class A",DUOL,0.3%
John Bean Technologies Corporation,JBT,0.3%
Fluor Corporation,FLR,0.3%
Chord Energy Corporation,CHRD,0.3%
First Financial Bankshares Inc,FFIN,0.3%
Valaris Ltd.,VAL,0.29%
"TG Therapeutics, Inc.",TGTX,0.29%
Magnolia Oil & Gas Corp. Class A,MGY,0.29%
Neogen Corp,NEOG,0.29%
"Arrowhead Pharmaceuticals, Inc.",ARWR,0.29%
"Sprouts Farmers Market, Inc.",SFM,0.28%
Blueprint Medicines Corp.,BPMC,0.28%
"Amicus Therapeutics, Inc.",FOLD,0.28%
SM Energy Company,SM,0.28%
Federal Signal Corporation,FSS,0.28%
ASGN Inc,ASGN,0.28%
Skyline Champion Corp.,SKY,0.27%
"Madrigal Pharmaceuticals, Inc.",MDGL,0.27%
Array Technologies Inc,ARRY,0.27%
"Federated Hermes, Inc. Class B",FHI,0.26%
Denali Therapeutics Inc.,DNLI,0.26%
