Name,Ticker,Weighting
"Synopsys, Inc.",SNPS,0.69%
"Cadence Design Systems, Inc.",CDNS,0.64%
"Chipotle Mexican Grill, Inc.",CMG,0.58%
"O\'Reilly Automotive, Inc.",ORLY,0.58%
"DexCom, Inc.",DXCM,0.49%
"Motorola Solutions, Inc.",MSI,0.47%
Phillips 66,PSX,0.47%
Amphenol Corporation Class A,APH,0.47%
Parker-Hannifin Corporation,PH,0.47%
"Fortinet, Inc.",FTNT,0.45%
Biogen Inc.,BIIB,0.45%
"AutoZone, Inc.",AZO,0.45%
Arthur J. Gallagher & Co.,AJG,0.44%
Microchip Technology Incorporated,MCHP,0.44%
Cintas Corporation,CTAS,0.43%
Aflac Incorporated,AFL,0.43%
Trane Technologies plc,TT,0.42%
TransDigm Group Incorporated,TDG,0.42%
Lululemon Athletica Inc,LULU,0.41%
Corteva Inc,CTVA,0.41%
"Arista Networks, Inc.",ANET,0.41%
ON Semiconductor Corporation,ON,0.4%
PACCAR Inc,PCAR,0.4%
Welltower Inc.,WELL,0.39%
Realty Income Corporation,O,0.39%
Hess Corporation,HES,0.39%
Carrier Global Corp.,CARR,0.39%
"Yum! Brands, Inc.",YUM,0.39%
IQVIA Holdings Inc,IQV,0.39%
"Copart, Inc.",CPRT,0.38%
Nucor Corporation,NUE,0.38%
Hilton Worldwide Holdings Inc,HLT,0.38%
Hershey Company,HSY,0.38%
MSCI Inc. Class A,MSCI,0.38%
"IDEXX Laboratories, Inc.",IDXX,0.38%
"Williams Companies, Inc.",WMB,0.38%
"Cheniere Energy, Inc.",LNG,0.38%
"D.R. Horton, Inc.",DHI,0.37%
"Paychex, Inc.",PAYX,0.37%
"Simon Property Group, Inc.",SPG,0.37%
Otis Worldwide Corporation,OTIS,0.37%
"Ross Stores, Inc.",ROST,0.36%
Xcel Energy Inc.,XEL,0.36%
"Rockwell Automation, Inc.",ROK,0.36%
"AMETEK, Inc.",AME,0.36%
Apollo Global Management Inc.,APO,0.36%
"Agilent Technologies, Inc.",A,0.35%
Verisk Analytics Inc,VRSK,0.35%
Electronic Arts Inc.,EA,0.35%
"Warner Bros. Discovery, Inc. Series A",WBD,0.34%
Bank of New York Mellon Corp,BK,0.34%
"PPG Industries, Inc.",PPG,0.34%
"Trade Desk, Inc. Class A",TTD,0.34%
"Ameriprise Financial, Inc.",AMP,0.34%
"Consolidated Edison, Inc.",ED,0.34%
Cummins Inc.,CMI,0.33%
"W.W. Grainger, Inc.",GWW,0.33%
"CoStar Group, Inc.",CSGP,0.33%
Devon Energy Corporation,DVN,0.33%
"CrowdStrike Holdings, Inc. Class A",CRWD,0.33%
"DuPont de Nemours, Inc.",DD,0.33%
VICI Properties Inc,VICI,0.33%
Fastenal Company,FAST,0.32%
ResMed Inc.,RMD,0.32%
Public Service Enterprise Group Inc,PEG,0.32%
"Prudential Financial, Inc.",PRU,0.32%
KKR & Co Inc,KKR,0.32%
Discover Financial Services,DFS,0.31%
Kroger Co.,KR,0.31%
"Old Dominion Freight Line, Inc.",ODFL,0.31%
Constellation Energy Corporation,CEG,0.31%
AmerisourceBergen Corporation,ABC,0.3%
Allstate Corporation,ALL,0.3%
Keysight Technologies Inc,KEYS,0.3%
Halliburton Company,HAL,0.3%
HP Inc.,HPQ,0.3%
"Republic Services, Inc.",RSG,0.3%
PG&E Corporation,PCG,0.29%
"American Water Works Company, Inc.",AWK,0.29%
"ANSYS, Inc.",ANSS,0.29%
Lennar Corporation Class A,LEN,0.29%
"Zimmer Biomet Holdings, Inc.",ZBH,0.29%
Baker Hughes Company Class A,BKR,0.29%
Mettler-Toledo International Inc.,MTD,0.29%
WEC Energy Group Inc,WEC,0.29%
Vulcan Materials Company,VMC,0.28%
"Dollar Tree, Inc.",DLTR,0.28%
Equifax Inc.,EFX,0.28%
"United Rentals, Inc.",URI,0.28%
Palantir Technologies Inc. Class A,PLTR,0.28%
Global Payments Inc.,GPN,0.27%
"AvalonBay Communities, Inc.",AVB,0.27%
"Seagen, Inc.",SGEN,0.27%
Aptiv PLC,APTV,0.27%
"ONEOK, Inc.",OKE,0.27%
Veeva Systems Inc Class A,VEEV,0.27%
"Quanta Services, Inc.",PWR,0.27%
"Gartner, Inc.",IT,0.27%
"Martin Marietta Materials, Inc.",MLM,0.27%
U.S. Dollar,Other,0.26%
Ingersoll Rand Inc.,IR,0.26%
"Delta Air Lines, Inc.",DAL,0.26%
Albemarle Corporation,ALB,0.26%
State Street Corporation,STT,0.26%
Arch Capital Group Ltd.,ACGL,0.26%
Datadog Inc Class A,DDOG,0.26%
Edison International,EIX,0.26%
Xylem Inc.,XYL,0.26%
"CBRE Group, Inc. Class A",CBRE,0.26%
"West Pharmaceutical Services, Inc.",WST,0.26%
T. Rowe Price Group,TROW,0.26%
eBay Inc.,EBAY,0.26%
Tractor Supply Company,TSCO,0.25%
