Name,Ticker,Weighting
NVIDIA Corporation,NVDA,11.23%
Broadcom Inc.,AVGO,9.11%
"Advanced Micro Devices, Inc.",AMD,8.19%
Texas Instruments Incorporated,TXN,6.69%
QUALCOMM Incorporated,QCOM,4.97%
"Marvell Technology, Inc.",MRVL,4.47%
Intel Corporation,INTC,4.23%
Lam Research Corporation,LRCX,4.2%
KLA Corporation,KLAC,4.13%
"Applied Materials, Inc.",AMAT,3.94%
ON Semiconductor Corporation,ON,3.87%
"Micron Technology, Inc.",MU,3.81%
"Taiwan Semiconductor Manufacturing Co., Ltd. Sponsored ADR",TSM,3.56%
ASML Holding NV ADR,ASML,3.5%
NXP Semiconductors NV,NXPI,3.49%
"Analog Devices, Inc.",ADI,3.34%
Microchip Technology Incorporated,MCHP,3.32%
"Monolithic Power Systems, Inc.",MPWR,2.26%
"Skyworks Solutions, Inc.",SWKS,1.68%
"Teradyne, Inc.",TER,1.65%
"Entegris, Inc.",ENTG,1.64%
STMicroelectronics NV ADR RegS,STM,1.28%
Lattice Semiconductor Corporation,LSCC,1.11%
"Qorvo, Inc.",QRVO,0.99%
Wolfspeed Inc,WOLF,0.67%
United Microelectronics Corp. Sponsored ADR,UMC,0.63%
"MKS Instruments, Inc.",MKSI,0.59%
"ASE Technology Holding Co., Ltd. Sponsored ADR",ASX,0.56%
Silicon Laboratories Inc.,SLAB,0.48%
Synaptics Incorporated,SYNA,0.32%

