"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
23.13,WPM,"WHEATON PRECIOUS",BDG1S92,45.31,"4,730,594.00","214,343,214.14"
13.29,PAAS,"PAN AMERICAN SILVER CORP",2703396,15.60,"7,892,096.00","123,116,697.60"
7.23,HL,"HECLA MINING CO",2418601,5.47,"12,241,473.00","66,960,857.31"
5.06,SSRM,"SSR MINING INC",BF7MQ72,14.57,"3,220,777.00","46,926,720.89"
5.00,BVN,BUENAVENTURA-ADR,2210476,7.57,"6,119,749.00","46,326,499.93"
4.95,"010130.KS","KOREA ZINC CO LTD",6495428,380.07,"120,771.00","45,901,687.89"
4.12,"FR.TO","FIRST MAJESTIC S",2833583,5.86,"6,520,997.00","38,216,688.38"
4.10,"FRES.L","FRESNILLO PLC",B2QPKJ1,8.48,"4,481,502.00","38,018,056.58"
3.33,"MAG.TO","MAG SILVER CORP",2581332,12.54,"2,463,999.00","30,891,046.93"
2.75,"FVI.TO","FORTUNA SILVER MINES INC",2383033,3.53,"7,207,574.00","25,462,931.24"
2.53,CDE,"COEUR MINING INC",2208136,3.21,"7,306,215.00","23,452,950.15"
2.46,"SIL.TO","SILVERCREST METALS INC",BYVY3D2,6.41,"3,551,974.00","22,757,305.07"
2.36,"TFPM.TO","TRIPLE FLAG PRECIOUS MET",BJ171P4,14.09,"1,549,130.00","21,821,508.63"
1.70,"AYA.TO","AYA GOLD & SILVER INC",BK94091,7.04,"2,238,132.00","15,746,746.60"
1.64,EXK,"ENDEAVOUR SILVER CORP",B018TM7,3.21,"4,730,873.00","15,186,102.33"
1.48,"ADT.AX","ADRIATIC METALS PLC-CDI",BD215T5,1.99,"6,889,738.00","13,725,222.09"
1.44,"SVM.TO","SILVERCORP METALS INC",2784261,3.14,"4,247,716.00","13,331,797.09"
0.90,"GGD.TO","GOGOLD RESOURCES INC",B60BNP0,1.22,"6,815,109.00","8,314,529.90"
0.89,"HOC.L","HOCHSCHILD MINING PLC",B1FW502,1.04,"7,914,910.00","8,244,284.54"
0.84,MUX,"MCEWEN MINING INC",BQGD8H7,7.97,"980,381.00","7,813,636.57"
0.56,GATO,"GATOS SILVER INC",BN44WZ7,4.43,"1,169,291.00","5,179,959.13"
0.55,"NUAG.TO","NEW PACIFIC METALS CORP",BMW5909,2.43,"2,096,057.00","5,098,750.23"
0.50,"VZLA.V","VIZSLA SILVER CORP",BM8VBZ0,1.20,"3,899,701.00","4,670,125.82"
0.46,"SVL.AX","SILVER MINES LTD",B1HMJH5,0.13,"32,331,622.00","4,228,850.46"
0.45,"DSV.TO","DISCOVERY SILVER CORP",BND9899,0.66,"6,286,177.00","4,140,440.67"
0.44,"KCN.AX","KINGSGATE CONSOL",6492731,0.84,"4,879,362.00","4,107,399.91"
0.19,"DV.V","DOLLY VARDEN SILVER LTD",BYPYQH3,0.60,"2,922,786.00","1,750,105.76"
0.19,GORO,"GOLD RESOURCE CORP",B1DZ912,0.80,"2,160,317.00","1,717,452.02"
0.11,"BRC.V","BLACKROCK SILVER CORP",BNGHFP5,0.25,"4,144,458.00","1,023,667.63"
0.04,AUMN,"GOLDEN MINERALS CO",BQS9KL1,2.75,"137,550.40","378,951.35"

