Name,Ticker,Weighting
Naspers Limited Class N,NPN.JO,15.9%
FirstRand Limited,FSR.JO,8.14%
Gold Fields Limited,GFI.JO,6.48%
Standard Bank Group Limited,SBK.JO,5.42%
MTN Group Limited,MTN.JO,5.25%
AngloGold Ashanti Limited,ANG.JO,4.73%
Sasol Limited,SOL.JO,3.55%
Absa Group Limited,ABG.JO,3.37%
Bid Corporation Limited,BID.JO,3.32%
Impala Platinum Holdings Limited,IMP.JO,3.23%
Capitec Bank Holdings Limited,CPI.JO,3.04%
Shoprite Holdings Limited,SHP.JO,2.62%
Sanlam Limited,SLM.JO,2.52%
Nedbank Group Limited,NED.JO,2.47%
Sibanye Stillwater Limited,SSW.JO,2.37%
Discovery Limited,DSY.JO,1.92%
Bidvest Group Limited,BVT.JO,1.81%
Remgro Limited,REM.JO,1.81%
Vodacom Group Limited,VOD.JO,1.81%
Anglo American Platinum Limited,AMS.JO,1.84%
Aspen Pharmacare Holdings Limited,APN.JO,1.63%
Woolworths Holdings Limited,WHL.JO,1.57%
Clicks Group Limited,CLS.JO,1.49%
Old Mutual Ltd.,OMU.JO,1.39%
Reinet Investments S.C.A.,RNI.JO,1.35%
Northam Platinum Holdings Limited,NPH.JO,1.34%
NEPI Rockcastle N.V,NRP.JO,1.31%
Harmony Gold Mining Co. Ltd.,HAR.JO,1.18%
Growthpoint Properties Limited,GRT.JO,1.02%
Exxaro Resources Limited,EXX.JO,1.01%
Mr Price Group Limited,MRP.JO,0.86%
Multichoice Group Ltd,MCG.JO,0.86%
Pepkor Holdings Ltd.,PPH.JO,0.77%
Kumba Iron Ore Limited,KIO.JO,0.75%
Foschini Group Limited,TFG.JO,0.73%
OUTsurance Group Limited,OUT.JO,0.69%
African Rainbow Minerals Limited,ARI.JO,0.58%

