Name,Ticker,Weighting
"Samsung Electronics Co., Ltd.",005930.KS,2.44%
SK hynix Inc.,000660.KS,5.71%
"Samsung SDI Co., Ltd",006400.KS,3.89%
LG Chem Ltd.,051910.KS,3.44%
POSCO Holdings Inc.,005490.KS,2.81%
Hyundai Motor Company,005380.KS,2.27%
NAVER Corp.,035420.KS,2.46%
Kia Corp.,000270.KS,2.16%
KB Financial Group Inc.,105560.KS,1.92%
LG Energy Solution Ltd.,373220.KS,1.92%
"Celltrion, Inc.",068270.KS,1.74%
"Shinhan Financial Group Co., Ltd.",055550.KS,1.68%
Kakao Corp.,035720.KS,1.62%
LG Electronics Inc.,066570.KS,1.47%
"SAMSUNG BIOLOGICS Co., Ltd.",207940.KS,1.45%
"Hyundai Mobis Co., Ltd",012330.KS,1.43%
Hana Financial Group Inc.,086790.KS,1.32%
POSCO Future M,003670.KS,1.31%
"Ecopro BM Co., Ltd.",247540.KQ,1.21%
"SK Innovation Co., Ltd",096770.KS,1.19%
KT & G Corporation,033780.KS,1.02%
SAMSUNG C&T CORP,028260.KS,1.02%
"Samsung Electro-Mechanics Co., Ltd",009150.KS,0.93%
LG Corp,003550.KS,0.88%
"Samsung Fire & Marine Insurance Co., Ltd",000810.KS,0.85%
"Woori Financial Group, Inc.",316140.KS,0.76%
"Doosan Enerbility Co., Ltd.",034020.KS,0.73%
"Celltrion Healthcare Co., Ltd.",091990.KQ,0.71%
SK Inc.,034730.KS,0.71%
Meritz Financial Group Inc.,138040.KS,0.68%
HANWHA SOLUTIONS CORPORATION,009830.KS,0.63%
"Samsung Engineering Co., Ltd.",028050.KS,0.63%
"L & F Co., Ltd.",066970.KQ,0.62%
NCsoft Corporation,036570.KS,0.62%
"Samsung Life Insurance Co., Ltd.",032830.KS,0.57%
"LG Innotek Co., Ltd",011070.KS,0.56%
Korea Electric Power Corporation,015760.KS,0.56%
"Korea Zinc Co., Ltd.",010130.KS,0.56%
DB INSURANCE CO. LTD,005830.KS,0.56%
"Korea Aerospace Industries, Ltd.",047810.KS,0.54%
"HLB Co., Ltd.",028300.KQ,0.54%
"LG H&H Co., Ltd.",051900.KS,0.53%
"Krafton, Inc.",259960.KS,0.53%
Hyundai Motor Co Ltd Pfd. Shs 2,005387.KS,0.52%
"Samsung Heavy Industries Co., Ltd",010140.KS,0.52%
"Korean Air Lines Co., Ltd.",003490.KS,0.51%
Doosan Bobcat Inc.,241560.KS,0.51%
HD KOREA SHIPBUILDING & OFFSHORE ENGINEERING CO. LTD.,009540.KS,0.25%
LG Chem Ltd Pfd Registered Shs Issue 01,051915.KS,0.49%
Yuhan Corporation,000100.KS,0.49%
"HMM CO.,LTD",011200.KS,0.49%
"SAMSUNG SDS CO., LTD.",018260.KS,0.49%
"LG Display Co., Ltd",034220.KS,0.48%
Lotte Chemical Corp.,011170.KS,0.46%
"HYUNDAI GLOVIS Co., Ltd.",086280.KS,0.46%
"HYBE Co., Ltd.",352820.KS,0.46%
S-Oil Corporation,010950.KS,0.43%
"SK Square Co., Ltd.",402340.KS,0.42%
"Hyundai Engineering & Construction Co., Ltd",000720.KS,0.41%
ORION CORP.,271560.KS,0.41%
KakaoBank Corp.,323410.KS,0.24%
"Kumho Petrochemical Co., Ltd.",011780.KS,0.42%
Hyundai Motor Co Ltd Pfd Shs Non-Voting,005385.KS,0.39%
CJ CheilJedang Corporation,097950.KS,0.39%
"MIRAE ASSET SECURITIES CO., LTD.",006800.KS,0.39%
"HD HYUNDAI CO.,LTD.",267250.KS,0.39%
"HANKOOK TIRE & TECHNOLOGY Co., Ltd.",161390.KS,0.39%
Amorepacific Corp.,090430.KS,0.39%
Hyundai Steel Company,004020.KS,0.39%
Industrial Bank Of Korea,024110.KS,0.37%
"Hanwha Aerospace Co., Ltd.",012450.KS,0.35%
"Hanmi Pharmaceutical Co., Ltd.",128940.KS,0.34%
"Samsung Securities Co., Ltd.",016360.KS,0.34%
"Cosmo AM&T Co., Ltd.",005070.KS,0.34%
"HOTEL SHILLA CO., LTD.",008770.KS,0.32%
LG Uplus Corp,032640.KS,0.32%
KOREA INVESTMENT HOLDINGS CO LTD,071050.KS,0.31%
"Coway Co., Ltd.",021240.KS,0.31%
"Pan Ocean Co., Ltd.",028670.KS,0.28%
GS Holdings Corp.,078930.KS,0.28%
"Kangwon Land, Inc.",035250.KS,0.28%
PearlAbyss Corp.,263750.KQ,0.26%
Hanon Systems,018880.KS,0.26%
HD HYUNDAI HEAVY INDUSTRIES CO. LTD.,329180.KS,0.26%
"BGF retail CO., LTD.",282330.KS,0.26%
E-MART Inc.,139480.KS,0.25%
NH INVESTMENT & SECURITIES CO.LTD.,005940.KS,0.24%
"Sk Ie Technology Co., Ltd.",361610.KS,0.23%
"SK Biopharmaceuticals Co., Ltd.",326030.KS,0.22%
CJ Corporation,001040.KS,0.22%
"F&F Co., Ltd.",383220.KS,0.21%
Netmarble Corp.,251270.KS,0.21%
"SKC Co., Ltd.",011790.KS,0.21%
"SK bioscience Co.,Ltd.",302440.KS,0.22%
POSCO INTERNATIONAL Corporation,047050.KS,0.19%
KT Corporation,030200.KS,0.19%
"Hyundai Mipo Dockyard Co., Ltd",010620.KS,0.18%
Celltrion Pharm Inc.,068760.KS,0.16%
kakaopay Corp.,377300.KS,0.14%
Kakao Games Corp.,293490.KQ,0.14%
LOTTE ENERGY MATERIALS CORPORATION,020150.KS,0.13%
