Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,
APPLE INC,AAPL,037833100,2046251,7.578839,-,166560477.000,USD,,,,
MICROSOFT CORP,MSFT,594918104,2588173,6.760112,-,83764633.000,USD,,,,
AMAZON.COM INC,AMZN,023135106,2000019,3.144767,-,100561588.000,USD,,,,
NVIDIA CORP,NVDA,67066G104,2379504,2.780302,-,27861094.000,USD,,,,
ALPHABET INC CL A,GOOGL,02079K305,BYVY8G0,1.945219,-,66928529.000,USD,,,,
TESLA INC,TSLA,88160R101,B616C79,1.796781,-,30350264.000,USD,,,,
META PLATFORMS INC CLASS A,META,30303M102,B7TL820,1.704387,-,24920922.000,USD,,,,
ALPHABET INC CL C,GOOG,02079K107,BYY88Y7,1.683856,-,57571019.000,USD,,,,
UNITEDHEALTH GROUP INC,UNH,91324P102,2917766,1.234036,-,10488474.000,USD,,,,
JOHNSON + JOHNSON,JNJ,478160104,2475833,1.176527,-,29276112.000,USD,,,,
EXXON MOBIL CORP,XOM,30231G102,2326618,1.166606,-,45546603.000,USD,,,,
JPMORGAN CHASE + CO,JPM,46625H100,2190385,1.125402,-,32921074.000,USD,,,,
VISA INC CLASS A SHARES,V,92826C839,B2PZN04,1.013207,-,18230054.000,USD,,,,
ELI LILLY + CO,LLY,532457108,2516152,0.986763,-,8873998.000,USD,,,,
PROCTER + GAMBLE CO/THE,PG,742718109,2704407,0.968851,-,26545047.000,USD,,,,
BROADCOM INC,AVGO,11135F101,BDZ78H9,0.948847,-,4702124.000,USD,,,,
MASTERCARD INC   A,MA,57636Q104,B121557,0.873775,-,9426467.000,USD,,,,
HOME DEPOT INC,HD,437076102,2434209,0.862657,-,11408193.000,USD,,,,
MERCK + CO. INC.,MRK,58933Y105,2778844,0.793881,-,28585366.000,USD,,,,
CHEVRON CORP,CVX,166764100,2838555,0.742576,-,19632073.000,USD,,,,
PEPSICO INC,PEP,713448108,2681511,0.703701,-,15497059.000,USD,,,,
ABBVIE INC,ABBV,00287Y109,B92SR70,0.659498,-,19898241.000,USD,,,,
COCA COLA CO/THE,KO,191216100,2206657,0.658468,-,43794129.000,USD,,,,
COSTCO WHOLESALE CORP,COST,22160K105,2701271,0.641841,-,4992888.000,USD,,,,
ADOBE INC,ADBE,00724F101,2008154,0.608576,-,5167635.000,USD,,,,
WALMART INC,WMT,931142103,2936921,0.600877,-,15779325.000,USD,,,,
MCDONALD S CORP,MCD,580135101,2550707,0.585091,-,8240715.000,USD,,,,
PFIZER INC,PFE,717081103,2684703,0.576199,-,63597238.000,USD,,,,
CISCO SYSTEMS INC,CSCO,17275R102,2198163,0.570000,-,46223054.000,USD,,,,
SALESFORCE INC,CRM,79466L302,2310525,0.561690,-,11029247.000,USD,,,,
THERMO FISHER SCIENTIFIC INC,TMO,883556102,2886907,0.557110,-,4345299.000,USD,,,,
BANK OF AMERICA CORP,BAC,060505104,2295677,0.538839,-,78105528.000,USD,,,,
ABBOTT LABORATORIES,ABT,002824100,2002305,0.522834,-,19618612.000,USD,,,,
