Name,Ticker,Weighting
Atlas Copco AB Class A,ATCO-A.ST,7-61%
Investor AB Class B,INVE-B.ST,6-91%
Nordea Bank Abp,NDA-SE.ST,6-69%
Volvo AB Class B,VOLV-B.ST,5-75%
ASSA ABLOY AB Class B,ASSA-B.ST,4-58%
Evolution AB,EVO.ST,4-57%
Hexagon AB Class B,HEXA-B.ST,4-43%
Sandvik AB,SAND.ST,4-01%
Atlas Copco AB Class B,ATCO-B.ST,3-85%
Skandinaviska Enskilda Banken AB Class A,SEB-A.ST,3-42%
Essity AB Class B,ESSITY-B.ST,3-12%
Telefonaktiebolaget LM Ericsson Class B,ERIC-B.ST,2-92%
NIBE Industrier AB Class B,NIBE-B.ST,2-87%
Swedbank AB Class A,SWED-A.ST,2-86%
Epiroc AB Class A,EPI-A.ST,2-37%
Svenska Handelsbanken AB Class A,SHB-A.ST,2-35%
Alfa Laval AB,ALFA.ST,2-07%
Investor AB Class A,INVE-A.ST,1-88%
H&M Hennes & Mauritz AB Class B,HM-B.ST,1-85%
Boliden AB,BOL.ST,1-75%
Svenska Cellulosa AB SCA Class B,SCA-B.ST,1-62%
EQT AB,EQT.ST,1-38%
SKF AB Class B,SKF-B.ST,1-55%
Indutrade AB,INDT.ST,1-28%
Epiroc AB Class B,EPI-B.ST,1-52%
Telia Company AB,TELIA.ST,1-16%
Getinge AB Class B,GETI-B.ST,1-01%
Lifco AB Class B,LIFCO-B.ST,0-95%
Tele2 AB Class B,TEL2-B.ST,0-95%
Skanska AB Class B,SKA-B.ST,0-59%
Industrivarden AB Class C,INDU-C.ST,0-81%
Volvo AB Class A,VOLV-A.ST,0-79%
AB Sagax Class B,SAGA-B.ST,0-77%
Securitas AB Class B,SECU-B.ST,0-75%
Holmen AB Class B,HOLM-.STB,0-7%
Industrivarden AB Class A,INDU-A.ST,0-69%
Kinnevik AB Class B,KINV-B.ST,0-69%
Swedish Orphan Biovitrum AB,SOBI.ST,0-67%
L E Lundbergforetagen AB Class B,LUND-B.ST,0-63%
Husqvarna AB Class B,HUSQ-B.ST,0-63%
Latour AB Investment Class B,LATO-B.ST,0-59%
Beijer Ref AB Class B,BEIJ-B.ST,0-49%
Fastighets AB Balder Class B,BALD-B.ST,0-48%
Volvo Car AB Class B,VOLCAR-B.ST,0-46%
Saab AB Class B,SAAB-B.ST,0-45%
Embracer Group AB Class B,EMBRAC-B.ST,0-29%
