Name,Ticker,Weighting
"Taiwan Semiconductor Manufacturing Co., Ltd.",2330.TW,2.91%
"Hon Hai Precision Industry Co., Ltd.",2317.TW,4.48%
MediaTek Inc,2454.TW,3.91%
"Delta Electronics, Inc.",2308.TW,2.31%
United Microelectronics Corp.,2303.TW,2.16%
"Chunghwa Telecom Co., Ltd",2412.TW,1.76%
"Fubon Financial Holding Co., Ltd.",2881.TW,1.73%
CTBC Financial Holding Company Ltd.,2891.TW,1.65%
"Mega Financial Holding Co., Ltd.",2886.TW,1.61%
"ASE Technology Holding Co., Ltd.",3711.TW,1.52%
"Cathay Financial Holdings Co., Ltd.",2882.TW,1.48%
Nan Ya Plastics Corporation,1303.TW,1.48%
"E.SUN Financial Holding Co., Ltd.",2884.TW,1.43%
Formosa Plastics Corporation,1301.TW,1.41%
Uni-President Enterprises Corp.,1216.TW,1.39%
China Steel Corporation,2002.TW,1.38%
Quanta Computer Inc.,2382.TW,1.37%
First Financial Holding Co. Ltd.,2892.TW,1.24%
Chailease Holding Co. Ltd.,5871.TW,1.23%
"Taiwan Cooperative Financial Holding Co., Ltd.",5880.TW,1.19%
Novatek Microelectronics Corp.,3034.TW,1.11%
"Hotai Motor Co., Ltd.",2207.TW,1.11%
Yuanta Financial Holding Co. Ltd.,2885.TW,1.04%
"Taishin Financial Holdings Co., Ltd.",2887.TW,0.97%
Lite-On Technology Corp.,2301.TW,0.97%
Formosa Chemicals & Fibre Corporation,1326.TW,0.96%
Asustek Computer Inc.,2357.TW,0.95%
"Hua Nan Financial Holdings Co., Ltd.",2880.TW,0.92%
"SinoPac Financial Holdings Co., Ltd.",2890.TW,0.91%
Unimicron Technology Corp.,3037.TW,0.91%
China Development Financial Holding Corp.,2883.TW,0.89%
Taiwan Cement Corp.,1101.TW,0.89%
"LARGAN Precision Co., Ltd.",3008.TW,0.86%
Accton Technology Corp.,2345.TW,0.85%
Realtek Semiconductor Corp,2379.TW,0.83%
"Shanghai Commercial & Savings Bank, Ltd.",5876.TW,0.81%
"Taiwan Mobile Co., Ltd.",3045.TW,0.79%
Yageo Corporation,2327.TW,0.78%
President Chain Store Corporation,2912.TW,0.77%
"Advantech Co., Ltd.",2395.TW,0.76%
Airtac International Group,1590.TW,0.73%
Pegatron Corporation,4938.TW,0.73%
E Ink Holdings Inc.,8069.TW,0.72%
"Micro-Star International Co., Ltd.",2377.TW,0.71%
Shin Kong Financial Holding Co. Ltd.,2888.TW,0.68%
"Far Eastone Telecommunications Co., Ltd.",4904.TW,0.68%
"Compal Electronics, Inc.",2324.TW,0.68%
Inventec Corporation,2356.TW,0.68%
Wiwynn Corp.,6669.TW,0.65%
"Catcher Technology Co., Ltd.",2474.TW,0.64%
Evergreen Marine Corp. (Taiwan) Ltd.,2603.TW,0.64%
Acer Incorporated,2353.TW,0.62%
Far Eastern New Century Corporation,1402.TW,0.61%
WPG Holding Co Ltd,3702.TW,0.61%
AUO Corporation,2409.TW,0.59%
Innolux Corp.,3481.TW,0.58%
"Chang Hwa Commercial Bank, Ltd.",2801.TW,0.58%
Asia Cement Corporation,1102.TW,0.57%
Winbond Electronics Corp.,2344.TW,0.55%
"Eclat Textile Co., Ltd.",1476.TW,0.55%
Formosa Petrochemical Corp,6505.TW,0.55%
"GlobalWafers Co., Ltd.",6488.TW,0.54%
"eMemory Technology, Inc.",3529.TW,0.53%
Nanya Technology Corporation,2408.TW,0.53%
"Feng Tay Enterprise Co., Ltd.",9910.TW,0.51%
Pou Chen Corporation,9904.TW,0.51%
Synnex Technology International Corp.,2347.TW,0.51%
Voltronic Power Technology Corp.,6409.TW,0.49%
Silergy Corp.,6415.TW,0.49%
Taiwan High Speed Rail Corporation,2633.TW,0.49%
Vanguard International Semiconductor Corp,5347.TW,0.46%
"Cheng Shin Rubber Ind. Co., Ltd.",2105.TW,0.45%
Zhen Ding Technology Holding Limited,4958.TW,0.44%
"Ruentex Development Co., Ltd.",9945.TW,0.43%
"Nien Made Enterprise Co., Ltd.",8464.TW,0.42%
Nan Ya Printed Circuit Board Corporation,8046.TW,0.41%
Walsin Lihwa Corporation,1605.TW,0.41%
"Giant Manufacturing Co., Ltd.",9921.TW,0.39%
Eva Airways Corporation,2618.TW,0.33%
"Parade Technologies, Ltd.",4966.TW,0.31%
Win Semiconductors Corp.,310.TW5,0.3%
Powerchip Semiconductor Manufacturing Corp.,6770.TW,0.29%
Taiwan Business Bank,2834.TW,0.25%
PharmaEssentia Corp.,6446.TW,0.25%
China Airlines Ltd.,2610.TW,0.22%
Wistron Corporation,3231.TW,0.17%
momo.com Incorporated,8454.TW,0.15%
Global Unichip Corp.,3443.TW,0.14%
