Name,Ticker,Weighting
CP All Public Co. Ltd. NVDR,CPALL.BK,6.16%
Delta Electronics (Thailand) Public Co. Ltd. NVDR,DELTA.BK,5.41%
Bangkok Dusit Medical Services Public Co. Ltd. NVDR,BDMS.BK,5.31%
"PTT Public Co., Ltd. NVDR",PTT.BK,5.31%
Airports of Thailand Public Co. Ltd. NVDR,AOT.BK,5.11%
Siam Cement Public Co. Ltd. NVDR,SCC.BK,4.41%
"Advanced Info Service Public Co., Ltd. NVDR",ADVANC.BK,4.32%
PTT Exploration & Production Plc NVDR,PTTEP.BK,3.54%
Central Pattana Public Co. Ltd. NVDR,CPN.BK,2.33%
"Bumrungrad Hospital Public Co., Ltd. NVDR",BH.BK,2.33%
Gulf Energy Development Public Co. Ltd. NVDR,GULF.BK,2.32%
"Minor International Public Co., Ltd. NVDR",MINT.BK,1.85%
Energy Absolute Public Co. Ltd. NVDR,EA.BK,1.83%
SCB X Public Company Limited NVDR,SCB.BK,1.52%
PTT Global Chemical Public Company Limited NVDR,PTTGC.BK,1.45%
Charoen Pokphand Foods Public Co. Ltd. NVDR,CPF.BK,1.39%
"Home Product Center Public Co., Ltd. NVDR",HMPRO.BK,1.36%
Siam Makro Public Co. Ltd. NVDR,MAKRO.BK,1.36%
Kasikornbank Public Co. Ltd. NVDR,KBANK.BK,1.32%
Central Retail Corporation Public Company Limited NVDR,CRC.BK,1.24%
Intouch Holdings Public Company Limited NVDR,INTUCH.BK,1.21%
"Land & Houses Public Co., Ltd. NVDR",LH.BK,1.21%
True Corporation Public Company Limited NVDR,TRUE.BK,1.2%
"Krung Thai Bank Public Co., Ltd. NVDR",KTB.BK,1.14%
Banpu Public Co. Ltd. NVDR,BANPU.BK,1.1%
Bangkok Expressway and Metro Public Company Limited NVDR,BEM.BK,1.07%
PTT Oil and Retail Business Public Co Limited NVDR,OR.BK,1.03%
BTS Group Holdings Public Co. Ltd. NVDR,BTS.BK,0.97%
Thai Oil Public Co. Ltd. NVDR,TOP.BK,0.95%
Indorama Ventures Public Co. Ltd. NVDR,IVL.BK,0.94%
KrungThai Card Public Co. Ltd. NVDR,KTC.BK,0.91%
"SCG Packaging Public Co., Ltd. NVDR",SCGP.BK,0.85%
Global Power Synergy Public Company Ltd NVDR,GPSC.BK,0.69%
