Name,Ticker,Weighting
Turk Hava Yollari A.O.,THYAO.IS,6.59%
Koc Holding A.S.,KCHOL.IS,5.61%
Turkiye Petrol Rafinerileri A.S.,TUPRS.IS,5.52%
BIM Birlesik Magazalar A.S.,BIMAS.IS,5.37%
Sasa Polyester Sanayi A.S.,SASA.IS,4.9%
Turkiye Sise ve Cam Fabrikalari A.S.,SISE.IS,4.59%
Akbank T.A.S.,AKBNK.IS,4.3%
Ford Otomotiv Sanayi A.S.,FROTO.IS,3.79%
Turkiye Is Bankasi Anonim Sirketi Class C,ISCTR.IS,3.51%
Turkcell Iletisim Hizmetleri A.S.,TCELL.IS,3.39%
Eregli Demir Ve Celik Fabrikalari T.A.S.,EREGL.IS,3.37%
Haci Omer Sabanci Holding A.S.,SAHOL.IS,3.28%
DERIVATIVE SECURITIES (OTHER),Other,3.17%
Aselsan Elektronik Sanayi ve Ticaret A.S. Class B,ASELS.IS,2.99%
Hektas Ticaret T.A.S.,HEKTS.IS,2.7%
Yapi ve Kredi Bankasi A.S.,YKBNK.IS,2.39%
Koza Altin Isletmeleri A.S.,KOZAL.IS,1.98%
Pegasus Hava Tasimaciligi Anonim Sirketi,PGSUS.IS,1.88%
Tofas Turk Otomobil Fabrikasi A.S.,TOASO.IS,1.74%
TAV Havalimanlari Holding A.S.,TAVHL.IS,1.46%
Kardemir Karabiik Demir celik Sanayi ve Ticaret A.S. Class D,KRDMD.IS,1.45%
Emlak Konut Gayrimenkul Yatirim Ortakligi A.g.,EKGYO.IS,1.45%
Migros Ticaret A.S.,MGROS.IS,1.43%
Petkim Petrokimya Holding Anonim Sirketi,PETKM.IS,1.4%
OYAK Cimento Fabrikalari A.S.,OYAKC.IS,1.3%
Anadolu Efes Biracilik ve Malt Sanayii A.S.,AEFES.IS,1.21%
Alarko Holding A.S.,ALARK.IS,1.05%
Dogan Sirketler Grubu Holding A.S.,DOHOL.IS,1.0%
Turk Traktor ve Ziraat Makineleri A.S.,TTRAK.IS,0.91%
Koza Anadolu Metal Madencilik Isletmeleri A.S.,KOZAA.IS,0.9%
Aksa Akrilik Kimya Sanayii A.S.,AKSA.IS,0.9%
Mavi Giyim Sanayi ve Ticaret A.S.,MAVI.IS,0.83%
Sok Marketler Ticaret AS,SOKM.IS,0.79%
Nuh Cimento Sanayi A.S.,NUHCM.IS,0.78%
ENERJISA ENERJI A.S,ENJSA.IS,0.76%
Tekfen Holding Anonim Sirketi,TKFEN.IS,0.7%
MLP Saglik Hizmetleri AS Class B,MPARK.IS,0.64%
Vestel Elektronik Sanayi ve Ticaret A.S.,VESTL.IS,0.59%
Ulker Biskuvi Sanayi A.S.,ULKER.IS,0.58%
Kontrolmatik Teknoloji Enerji ve Muhendislik AS,KONTR.IS,0.57%
Vestel Beyaz Esya Sanayi ve Ticaret A.S.,VESBE.IS,0.48%
ODAS Elektrik Uretim Sanayi Ticaret A.S.,ODAS.IS,0.42%
Is Yatirim Menkul Degerler AS,ISMEN.IS,0.41%
Otokar Otomotiv ve Savunma Sanayi A.S.,OTKAR.IS,0.39%
Turkiye Sinai Kalkinma Bankasi A.S.,TSKB.IS,0.38%
Sarkuysan Elektrolitik Bakir Sanayi ve Ticaret A.S.,SARKY.IS,0.35%
Qua Granite Hayal Yapi ve Urunleri Sanayi Ticaret AS,QUAGR.IS,0.3%
Borusan Mannesmann Boru Sanayi Ve Ticaret Anonim Sirketi,BRSAN.IS,0.29%
Kordsa Teknik Tekstil A.S.,KORDS.IS,0.29%
Aygaz A.S.,AYGAZ.IS,0.29%
GIRISIM ELEKTRIK SANAYI TAAHHUT VE TICARET A.S.,GESAN.IS,0.28%
"EIS Eczacibasi Ilac, Sinai ve Finansal Yatirimlar Sanayi ve Ticaret A.S.",ECILC.IS,0.28%
Oyak Yatirim Menkul Degerler A.S.,OYYAT.IS,0.28%
Is Gayrimenkul Yatirim Ortakligi A.S.,ISGYO.IS,0.27%
Dogus Otomotiv Servis ve Ticaret Anonim Sirketi,DOAS.IS,0.27%
Zorlu Enerji Elektrik Uretim A.S.,ZOREN.IS,0.26%
Smart Gunes Enerjisi Teknolojileri Arastirma Gelistirme Uretim Sanayi ve Ticaret,SMRTG.IS,0.26%
Ziraat Gayrimenkul Yatirim Ortakligi AS,ZRGYO.IS,0.24%
Cimsa Cimento Sanayi ve Ticaret A.S.,CIMSA.IS,0.24%
KILER HOLDING A.S.,KLRHO.IS,0.24%
MARGUN ENERJI URETIM SANAYI VE TICARET A.S.,MAGEN.IS,0.24%
Kimteks Poliuretan Sanayi ve Ticaret AS,KMPUR.IS,0.23%
CAN2 TERMIK A.S.,CANTE.IS,0.23%
Ege Endustri ve Ticaret A.S.,EGEEN.IS,0.23%
Aksa Enerji Uretim A.S.,AKSEN.IS,0.22%
Gen Ilac ve Saglik Urunleri Sanayi ve Ticaret A.S.,GENIL.IS,0.2%
Selcuk Ecza Deposu Ticaret ve Sanayi A.S.,SELEC.IS,0.2%
Ahlatci Dogal Gaz Dagitim Enerji ve Yatirim AS,AHGAZ.IS,0.2%
Enka Insaat ve Sanayi A.S.,ENKAI.IS,0.0%
