Name,Ticker,Weighting
Emaar Properties (P.J.S.C),EMAAR.AE,9.81%
Emirates NBD Bank (P.J.S.C),EMIRATESNBD.AE,4.45%
Dubai Islamic Bank PJSC,DIB.AE,4.24%
Air Arabia PJSC,AIRARABIA.AE,2.21%
Dubai Investment (P.J.S.C),DIC.AE,1.97%
Emirates Central Cooling Systems Corporation PJSC,EMPOWER.AE,1.61%
Dubai Financial Market (DFM) - PJSC,DFM.AE,1.35%
Ajman Bank PJSC,AJMANBANK.AE,1.32%
Aramex (P.J.S.C),ARMX.AE,1.23%
National Central Cooling Co. (P.S.C.) (Tabreed),TABREED.AE,1.02%
Amanat Holding PJSC,AMANAT.AE,0.94%
Taaleem Holdings PJSC,TAALEEM.AE,0.87%
Union Properties (P.J.S.C),UPP.AE,0.65%
Amlak Finance PJSC,AMLAK.AE,0.48%
Shuaa Capital (P.S.C),SHUAA.AE,0.37%
Deyaar Development (P.J.S.C),DEYAAR.AE,0.16%
Emaar Development PJSC,EMAARDEV.AE,0.15%

