Name,Ticker,Weighting
Cameco Corporation,CCJ,16.22%
National Atomic Company Kazatomprom JSC Sponsored GDR RegS,KAP.IL,13.45%
Sprott Physical Uranium Trust,U-UN.TO,12.89%
NexGen Energy Ltd.,NXE,4.88%
Denison Mines Corp.,DNN,4.88%
Energy Fuels Inc.,UUUU,4.84%
Paladin Energy Ltd,PDN,4.67%
Boss Energy Limited,BOE.AX,4.51%
Yellow Cake Plc,YCA.L,4.33%
CGN Mining Co. Ltd.,1164.HK,4.13%
Uranium Energy Corp.,UEC,3.86%
Global Atomic Corporation,GLO.TO,2.38%
Deep Yellow Limited,DYL.AX,2.26%
Fission Uranium Corp.,FCU.TO,1.93%
enCore Energy Corp.,EU,1.74%
Ur-Energy Inc.,URG,1.62%
IsoEnergy Ltd.,ISO.V,1.45%
Lotus Resources Limited,LOT.AX,1.02%
Bannerman Energy Ltd,BMN.AX,0.92%
Peninsula Energy Limited,PEN.AX,0.91%
Uranium Royalty Corp,UROY,0.83%
Berkeley Energia Limited,BKY.MC,0.77%
Consolidated Uranium Inc,CUR.V,0.6%
Alligator Energy Ltd,AGE.AX,0.49%
F3 Uranium Corp,FUU.V,0.48%
GoviEx Uranium Inc Class A,GXU.V,0.43%
Forsys Metals Corp.,FSY.TO,0.42%
Aura Energy Limited,AEE.AX,0.41%
Laramide Resources Ltd.,LAM.TO,0.4%
Elevate Uranium Ltd,EL8.AX,0.35%
Western Uranium & Vanadium Corp.,WUC.CN,0.31%
Baselode Energy Corp.,FIND.V,0.31%
Mega Uranium Ltd.,MGA.TO,0.31%
Skyharbour Resources Ltd.,SYH.V,0.28%
CanAlaska Uranium Ltd.,CVV.V,0.26%
Toro Energy Limited,TOE.AX,0.26%
Appia Rare Earths & Uranium Corp,API.CN,0.18%

