Name,Ticker,Weighting
Vinhomes JSC,VHM,8.21%
Vingroup Joint Stock Company,VIC,7.08%
Hoa Phat Group JSC,HPG,6.27%
Vietnam Dairy Products Corp.,VNM,6.13%
Joint Stock Commercial Bank for Foreign Trade of Vietnam,VCB,5.83%
SSI Securities Corp.,SSI,5.51%
VNDirect Securities Corp.,VND,4.66%
Masan Group Corporation,MSN,4.56%
No Va Land Investment Group Corp.,NVL,3.39%
Vincom Retail JSC,VRE,2.96%
Saigon Beer Alcohol Beverage Corp.,SAB,2.92%
Viet Capital Securities JSC,VCI,2.79%
Sai Gon - Hanoi Commercial Joint Stock Bank,SHB,2.57%
Duc Giang Chemicals Group Joint Stock Company,DGC,2.11%
Vietjet Aviation JSC,VJC,1.95%
VIX Securities Joint Stock Company,VIX,1.93%
Petrovietnam Power Corp.,POW,1.85%
Kinh Bac City Development Holding Corporation,KBC,1.75%
Gelex Group Joint Stock Co,GEX,1.7%
Van Phu - Invest Investment JSC,VPI,1.66%
Vinh Hoan Corp,VHC,1.6%
Development Investment Joint Stock Corporation,DIG,1.59%
IDICO Corp. JSC,IDC,1.58%
Phat Dat Real Estate Development Corp.,PDR,1.4%
KIDO Group Corporation,KDC,1.33%
Thanh Thanh Cong - Bien Hoa JSC,SBT,1.29%
Bao Viet Holdings,BVH,1.21%
PetroVietnam Technical Services Corporation,PVS,1.21%
Saigon - Hanoi Securities JSC,SHS,1.19%
Petrovietnam Fertilizer & Chemicals Corp.,DPM,1.14%
Vietnam Construction & Import-Export Joint Stock Corporation,VCG,1.1%
Hoa Sen Group,HSG,1.09%
Hoang Anh Gia Lai Joint Stock Company,HAG,1.02%
PetroVietnam Drilling & Well Services JSC,PVD,0.98%
PetroVietnam Ca Mau Fertilizer Joint Stock Company,DCM,0.94%
U.S. Dollar,Other,0.9%
TASCO Joint Stock Company,HUT,0.87%
Hoang Huy Investment Financial Services JSC,TCH,0.83%
Khang Dien House Trading & Investment JSC,KDH,0.81%
Ha Do Group Joint Stock Company,HDG,0.75%
Dat Xanh Group JSC,DXG,0.71%
Hoang Anh Gia Lai Agriculture JSC,HNG,0.61%
DCVFMVN DIAMOND ETF,FUEVFVND,0.01%
