Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,
LINDE PLC,LIN,G54950103,BNZHB81,19.946221,-,3122025.000,USD,,,,
AIR PRODUCTS + CHEMICALS INC,APD,009158106,2011602,6.962679,-,1407718.000,USD,,,,
SHERWIN WILLIAMS CO/THE,SHW,824348106,2804211,6.379205,-,1494780.000,USD,,,,
FREEPORT MCMORAN INC,FCX,35671D857,2352118,6.072517,-,9060066.000,USD,,,,
ECOLAB INC,ECL,278865100,2304227,4.831006,-,1570740.000,USD,,,,
CORTEVA INC,CTVA,22052L104,BK73B42,4.623711,-,4518371.000,USD,,,,
DOW INC,DOW,260557103,BHXCF84,4.173060,-,4468029.000,USD,,,,
NUCOR CORP,NUE,670346105,2651086,4.087317,-,1603691.000,USD,,,,
NEWMONT CORP,NEM,651639106,2636607,3.751968,-,5031271.000,USD,,,,
PPG INDUSTRIES INC,PPG,693506107,2698470,3.683466,-,1489771.000,USD,,,,
DUPONT DE NEMOURS INC,DD,26614N102,BK0VN47,3.663699,-,2903898.000,USD,,,,
VULCAN MATERIALS CO,VMC,929160109,2931205,3.039019,-,842452.000,USD,,,,
MARTIN MARIETTA MATERIALS,MLM,573284106,2572079,2.922424,-,393575.000,USD,,,,
ALBEMARLE CORP,ALB,012653101,2046853,2.810592,-,742606.000,USD,,,,
LYONDELLBASELL INDU CL A,LYB,N53745100,B3SPXZ3,2.544676,-,1609930.000,USD,,,,
INTL FLAVORS + FRAGRANCES,IFF,459506101,2464165,2.321137,-,1616136.000,USD,,,,
BALL CORP,BALL,058498106,2073022,1.930575,-,1989848.000,USD,,,,
STEEL DYNAMICS INC,STLD,858119100,2849472,1.864474,-,1057235.000,USD,,,,
AMCOR PLC,AMCR,G0250X107,BJ1F307,1.672591,-,9417904.000,USD,,,,
FMC CORP,FMC,302491303,2328603,1.562813,-,798455.000,USD,,,,
AVERY DENNISON CORP,AVY,053611109,2066408,1.526904,-,513227.000,USD,,,,
CF INDUSTRIES HOLDINGS INC,CF,125269100,B0G4K50,1.473313,-,1243565.000,USD,,,,
PACKAGING CORP OF AMERICA,PKG,695156109,2504566,1.349713,-,586545.000,USD,,,,
MOSAIC CO/THE,MOS,61945C103,B3NPHP6,1.326180,-,2158196.000,USD,,,,
CELANESE CORP,CE,150870103,B05MZT4,1.296898,-,632304.000,USD,,,,
INTERNATIONAL PAPER CO,IP,460146103,2465254,1.234399,-,2254480.000,USD,,,,
EASTMAN CHEMICAL CO,EMN,277432100,2298386,1.102921,-,753031.000,USD,,,,
WESTROCK CO,WRK,96145D105,BYR0914,0.838790,-,1614148.000,USD,,,,
SEALED AIR CORP,SEE,81211K100,2232793,0.651723,-,916960.000,USD,,,,
