Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,
META PLATFORMS INC CLASS A,META,30303M102,B7TL820,25.452088,-,12118770.000,USD,,,,
ALPHABET INC CL A,GOOGL,02079K305,BYVY8G0,13.734634,-,14072185.000,USD,,,,
ALPHABET INC CL C,GOOG,02079K107,BYY88Y7,12.016843,-,12268111.000,USD,,,,
NETFLIX INC,NFLX,64110L106,2857817,5.094619,-,1599492.000,USD,,,,
COMCAST CORP CLASS A,CMCSA,20030N101,2044545,4.263433,-,13261615.000,USD,,,,
ACTIVISION BLIZZARD INC,ATVI,00507V109,2575818,3.852694,-,6006883.000,USD,,,,
WALT DISNEY CO/THE,DIS,254687106,2270726,3.689393,-,5004951.000,USD,,,,
CHARTER COMMUNICATIONS INC A,CHTR,16119P108,BZ6VT82,3.660734,-,1364560.000,USD,,,,
VERIZON COMMUNICATIONS INC,VZ,92343V104,2090571,3.586895,-,12767823.000,USD,,,,
ELECTRONIC ARTS INC,EA,285512109,2310194,3.386858,-,3367290.000,USD,,,,
T MOBILE US INC,TMUS,872590104,B94Q9V0,3.384784,-,3356985.000,USD,,,,
AT+T INC,T,00206R102,2831811,3.260023,-,25414134.000,USD,,,,
WARNER BROS DISCOVERY INC,WBD,934423104,BM8JYX3,2.985636,-,28561671.000,USD,,,,
TAKE TWO INTERACTIVE SOFTWRE,TTWO,874054109,2122117,2.159232,-,2049199.000,USD,,,,
OMNICOM GROUP,OMC,681919106,2279303,1.964147,-,2619780.000,USD,,,,
INTERPUBLIC GROUP OF COS INC,IPG,460690100,2466321,1.584824,-,5021769.000,USD,,,,
LIVE NATION ENTERTAINMENT IN,LYV,538034109,B0T7YX2,1.215581,-,1842390.000,USD,,,,
MATCH GROUP INC,MTCH,57667L107,BK80XH9,1.130977,-,3610113.000,USD,,,,
FOX CORP   CLASS A,FOXA,35137L105,BJJMGL2,1.019731,-,3837692.000,USD,,,,
PARAMOUNT GLOBAL CLASS B,PARA,92556H206,BKTNTR9,0.852915,-,6527433.000,USD,,,,
NEWS CORP   CLASS A,NWSA,65249B109,BBGVT40,0.765070,-,4942072.000,USD,,,,
FOX CORP   CLASS B,FOX,35137L204,BJJMGY5,0.442565,-,1781484.000,USD,,,,
NEWS CORP   CLASS B,NWS,65249B208,BBGVT51,0.237312,-,1523541.000,USD,,,,
DISH NETWORK CORP A,DISH,25470M109,2303581,0.201379,-,3248734.000,USD,,,,
