Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,
JPMORGAN CHASE + CO,JPM,46625H100,2190385,8.976476,-,19296855.000,USD,,,,
VISA INC CLASS A SHARES,V,92826C839,B2PZN04,8.144872,-,10690229.000,USD,,,,
MASTERCARD INC   A,MA,57636Q104,B121557,7.040829,-,5550631.000,USD,,,,
BANK OF AMERICA CORP,BAC,060505104,2295677,4.480675,-,45916745.000,USD,,,,
WELLS FARGO + CO,WFC,949746101,2649100,3.453026,-,25068427.000,USD,,,,
S+P GLOBAL INC,SPGI,78409V104,BYV2325,2.741561,-,2165753.000,USD,,,,
MORGAN STANLEY,MS,617446448,2262314,2.463697,-,8595139.000,USD,,,,
GOLDMAN SACHS GROUP INC,GS,38141G104,2407966,2.430461,-,2227733.000,USD,,,,
AMERICAN EXPRESS CO,AXP,025816109,2026082,2.246656,-,3916692.000,USD,,,,
BLACKROCK INC,BLK,09247X101,2494504,2.236035,-,985093.000,USD,,,,
CITIGROUP INC,C,172967424,2297907,2.008684,-,12742134.000,USD,,,,
MARSH + MCLENNAN COS,MMC,571748102,2567741,1.918382,-,3256457.000,USD,,,,
SCHWAB (CHARLES) CORP,SCHW,808513105,2779397,1.829430,-,10034599.000,USD,,,,
CHUBB LTD,CB,H1467J104,B3BQMF6,1.746739,-,2730509.000,USD,,,,
PROGRESSIVE CORP,PGR,743315103,2705024,1.667420,-,3847927.000,USD,,,,
PAYPAL HOLDINGS INC,PYPL,70450Y103,BYW36M8,1.615628,-,7443050.000,USD,,,,
FISERV INC,FISV,337738108,2342034,1.593151,-,4177662.000,USD,,,,
CME GROUP INC,CME,12572Q105,2965839,1.456511,-,2366612.000,USD,,,,
AON PLC CLASS A,AON,G0403H108,BLP1HW5,1.409281,-,1351359.000,USD,,,,
INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,BFSSDS9,1.330980,-,3676533.000,USD,,,,
MOODY S CORP,MCO,615369105,2252058,1.143371,-,1035673.000,USD,,,,
PNC FINANCIAL SERVICES GROUP,PNC,693475105,2692665,1.113069,-,2638154.000,USD,,,,
US BANCORP,USB,902973304,2736035,0.998438,-,9165593.000,USD,,,,
TRUIST FINANCIAL CORP,TFC,89832Q109,BKP7287,0.962002,-,8718889.000,USD,,,,
ARTHUR J GALLAGHER + CO,AJG,363576109,2359506,0.956518,-,1395327.000,USD,,,,
CAPITAL ONE FINANCIAL CORP,COF,14040H105,2654461,0.938136,-,2508574.000,USD,,,,
AMERICAN INTERNATIONAL GROUP,AIG,026874784,2027342,0.912654,-,4887852.000,USD,,,,
TRAVELERS COS INC/THE,TRV,89417E109,2769503,0.887997,-,1520387.000,USD,,,,
MSCI INC,MSCI,55354G100,B2972D2,0.837171,-,525453.000,USD,,,,
AFLAC INC,AFL,001055102,2026361,0.831281,-,3679664.000,USD,,,,
METLIFE INC,MET,59156R108,2573209,0.772062,-,4330792.000,USD,,,,
AMERIPRISE FINANCIAL INC,AMP,03076C106,B0J7D57,0.723304,-,692269.000,USD,,,,
FIDELITY NATIONAL INFO SERV,FIS,31620M106,2769796,0.715574,-,3898579.000,USD,,,,
BANK OF NEW YORK MELLON CORP,BK,064058100,B1Z77F6,0.700505,-,4833681.000,USD,,,,
PRUDENTIAL FINANCIAL INC,PRU,744320102,2819118,0.677447,-,2417766.000,USD,,,,
DISCOVER FINANCIAL SERVICES,DFS,254709108,B1YLC43,0.657943,-,1754483.000,USD,,,,
ALLSTATE CORP,ALL,020002101,2019952,0.635341,-,1730254.000,USD,,,,
GLOBAL PAYMENTS INC,GPN,37940X102,2712013,0.581672,-,1728176.000,USD,,,,
ARCH CAPITAL GROUP LTD,ACGL,G0450A105,2740542,0.577872,-,2431128.000,USD,,,,
STATE STREET CORP,STT,857477103,2842040,0.568428,-,2293165.000,USD,,,,
T ROWE PRICE GROUP INC,TROW,74144T108,2702337,0.551224,-,1473971.000,USD,,,,
WILLIS TOWERS WATSON PLC,WTW,G96629103,BDB6Q21,0.524872,-,701158.000,USD,,,,
HARTFORD FINANCIAL SVCS GRP,HIG,416515104,2476193,0.487974,-,2070667.000,USD,,,,
M + T BANK CORP,MTB,55261F104,2340168,0.471868,-,1112068.000,USD,,,,
NASDAQ INC,NDAQ,631103108,2965107,0.424872,-,2227668.000,USD,,,,
RAYMOND JAMES FINANCIAL INC,RJF,754730109,2718992,0.403664,-,1274253.000,USD,,,,
FIFTH THIRD BANCORP,FITB,316773100,2336747,0.401520,-,4491102.000,USD,,,,
FLEETCOR TECHNOLOGIES INC,FLT,339041105,B4R28B3,0.385926,-,485228.000,USD,,,,
REGIONS FINANCIAL CORP,RF,7591EP100,B01R311,0.375193,-,6137944.000,USD,,,,
HUNTINGTON BANCSHARES INC,HBAN,446150104,2445966,0.356789,-,9482956.000,USD,,,,
PRINCIPAL FINANCIAL GROUP,PFG,74251V102,2803014,0.349476,-,1494821.000,USD,,,,
CINCINNATI FINANCIAL CORP,CINF,172062101,2196888,0.348852,-,1032974.000,USD,,,,
NORTHERN TRUST CORP,NTRS,665859104,2648668,0.345396,-,1369249.000,USD,,,,
FACTSET RESEARCH SYSTEMS INC,FDS,303075105,2329770,0.334074,-,251682.000,USD,,,,
EVEREST RE GROUP LTD,RE,G3223R108,2556868,0.329215,-,282148.000,USD,,,,
BROWN + BROWN INC,BRO,115236101,2692687,0.329067,-,1545212.000,USD,,,,
SYNCHRONY FINANCIAL,SYF,87165B103,BP96PS6,0.323307,-,2866045.000,USD,,,,
CITIZENS FINANCIAL GROUP,CFG,174610105,BQRX1X3,0.308984,-,3236135.000,USD,,,,
CBOE GLOBAL MARKETS INC,CBOE,12503M108,B5834C5,0.306917,-,697953.000,USD,,,,
WR BERKLEY CORP,WRB,084423102,2093644,0.256638,-,1335771.000,USD,,,,
LOEWS CORP,L,540424108,2523022,0.250348,-,1279031.000,USD,,,,
JACK HENRY + ASSOCIATES INC,JKHY,426281101,2469193,0.248143,-,478308.000,USD,,,,
MARKETAXESS HOLDINGS INC,MKTX,57060D108,B03Q9D0,0.219273,-,246616.000,USD,,,,
KEYCORP,KEY,493267108,2490911,0.217007,-,6120753.000,USD,,,,
